N	2gram	Bakhtin_Pr	Russkaja
1	не может	26	22
2	и не	55	19
3	в том	12	17
4	в этом	33	17
5	с другом	3	14
6	и в	64	14
7	друг с	4	14
8	то что	21	13
9	точки зрения	31	11
10	то же	18	11
11	таким образом	15	11
12	в то	15	10
13	но и	26	10
14	же время	13	10
15	не только	26	9
16	том что	8	9
17	может быть	43	9
18	в себе	11	9
19	с точки	21	9
20	во всяком	7	9
21	того чтобы	2	8
22	как на	4	8
23	прежде всего	16	8
24	и с	9	7
25	к тому	4	7
26	о том	5	7
27	в данном	2	7
28	мы должны	3	7
29	и если	2	7
30	самом деле	10	7
31	на самом	5	6
32	и для	7	6
33	в своих	4	6
34	в россии	2	6
35	и к	5	6
36	если бы	12	6
37	всяком случае	4	6
38	все это	9	6
39	и при	2	6
40	что он	15	6
41	в своем	12	6
42	для него	23	6
43	вопрос о	3	5
44	а в	10	5
45	на то	5	5
46	было бы	8	5
47	хотя бы	4	5
48	а между	2	5
49	из которых	3	5
50	между собой	2	5
51	и на	16	5
52	потому что	8	5
53	при этом	8	5
54	в нем	28	5
55	он должен	2	5
56	в своей	11	5
57	себя и	5	5
58	конечно не	4	5
59	только в	13	5
60	никогда не	11	5
61	и только	3	5
62	он не	14	5
63	сих пор	9	5
64	между тем	7	5
65	во всех	4	5
66	по существу	6	5
67	до сих	9	5
68	а потому	2	5
69	что в	11	4
70	но не	12	4
71	его в	8	4
72	все же	11	4
73	себя в	3	4
74	не могут	10	4
75	не в	15	4
76	как и	25	4
77	более или	4	4
78	в мире	7	4
79	как бы	33	4
80	все что	4	4
81	можно было	3	4
82	а лишь	3	4
83	приводит к	8	4
84	так как	9	4
85	что же	9	4
86	жизни и	3	4
87	в его	30	4
88	в их	6	4
89	то ни	3	4
90	точку зрения	7	4
91	в этой	5	4
92	себе и	5	4
93	от того	4	4
94	в другое	2	4
95	бы то	3	4
96	или менее	4	4
97	данном случае	2	3
98	да и	2	3
99	все они	2	3
100	одна из	5	3
101	то это	3	3
102	для этого	3	3
103	в большинстве	11	3
104	что все	2	3
105	что это	2	3
106	точке зрения	3	3
107	с нею	2	3
108	лучшем случае	2	3
109	что для	2	3
110	на том	2	3
111	в сознании	3	3
112	именно в	5	3
113	из этих	3	3
114	во что	2	3
115	она может	2	3
116	должно быть	8	3
117	не есть	4	3
118	всех этих	2	3
119	и потому	7	3
120	что оно	2	3
121	при условии	2	3
122	в другом	3	3
123	в конце	8	3
124	из них	3	3
125	в самом	17	3
126	и как	9	3
127	в лучшем	2	3
128	несмотря на	7	3
129	так чтобы	7	3
130	что и	7	3
131	конце концов	7	3
132	или в	7	3
133	лишь в	4	3
134	он сам	5	3
135	таким же	3	3
136	и во	3	3
137	связи с	3	3
138	еще не	10	3
139	того что	3	3
140	друг друга	4	3
141	не было	5	3
142	и т	14	3
143	что может	4	3
144	тем что	6	3
145	а следовательно	2	3
146	ибо в	2	3
147	то в	2	3
148	согласиться с	2	2
149	не о	3	2
150	и о	7	2
151	и от	3	2
152	с этим	3	2
153	есть и	5	2
154	были бы	5	2
155	следовательно и	3	2
156	большинстве случаев	10	2
157	ее в	3	2
158	для себя	3	2
159	тому что	3	2
160	к нему	11	2
161	чтобы в	2	2
162	указывает на	2	2
163	она не	10	2
164	мировоззрения в	2	2
165	но в	14	2
166	ни в	5	2
167	в котором	7	2
168	что такое	2	2
169	остается в	2	2
170	так же	8	2
171	их в	8	2
172	на себя	4	2
173	на почве	5	2
174	сама по	5	2
175	это в	2	2
176	в настоящее	3	2
177	и человек	2	2
178	в ней	2	2
179	уже не	15	2
180	этот вопрос	4	2
181	в результате	7	2
182	благодаря этому	3	2
183	по отношению	12	2
184	но для	3	2
185	с самим	3	2
186	настоящее время	3	2
187	отношении к	5	2
188	отличается от	5	2
189	и даже	5	2
190	а не	29	2
191	для нас	2	2
192	себя как	3	2
193	по себе	16	2
194	нисколько не	3	2
195	целый ряд	2	2
196	к себе	6	2
197	в других	2	2
198	ведь в	2	2
199	и является	2	2
200	другом случае	2	2
201	и что	5	2
202	но это	6	2
203	все эти	13	2
204	том же	4	2
205	совершенно не	5	2
206	бы ни	3	2
207	и наконец	7	2
208	а с	2	2
209	является не	2	2
210	в этих	5	2
211	только на	3	2
212	себя на	2	2
213	в таком	3	2
214	и есть	3	2
215	так что	6	2
216	как будто	4	2
217	друг другу	3	2
218	именно на	3	2
219	должна быть	8	2
220	его и	3	2
221	отношения к	5	2
222	если же	7	2
223	всем этим	2	2
224	с ним	8	2
225	быть и	2	2
226	у него	11	2
227	видеть в	2	2
228	мы уже	4	2
229	в мировоззрении	3	2
230	том и	2	2
231	ее он	3	2
