N	2gram	Losev_Dial	PoTuStor
1	может быть	30	17
2	и в	34	16
3	и пр	16	12
4	мы можем	3	9
5	в этом	14	9
6	и только	6	9
7	таким образом	14	9
8	прежде всего	20	9
9	и с	10	8
10	точки зрения	43	8
11	совершенно не	6	8
12	не может	29	8
13	и его	8	8
14	сказать что	7	7
15	не только	35	7
16	с его	7	7
17	и это	12	6
18	с точки	25	6
19	к отцу	2	6
20	конечно не	6	6
21	самом деле	7	6
22	я и	2	6
23	и к	5	6
24	для него	4	6
25	при этом	7	6
26	ни в	20	5
27	все эти	4	5
28	что такое	25	5
29	как бы	19	5
30	еще не	7	5
31	в чем	11	5
32	в него	2	5
33	сознание и	4	5
34	как мы	4	4
35	и на	6	4
36	все это	13	4
37	на самом	2	4
38	его в	2	4
39	в его	6	4
40	и ее	8	4
41	но и	14	4
42	и не	50	4
43	и все	17	4
44	но в	3	4
45	в этой	3	4
46	с ее	10	4
47	и наконец	2	4
48	так как	12	4
49	все что	3	4
50	и может	2	4
51	только в	10	4
52	в нем	7	4
53	хотя бы	9	4
54	с ними	3	4
55	можно сказать	5	4
56	так и	11	4
57	в один	2	4
58	отнюдь не	16	4
59	и даже	21	4
60	едва ли	2	3
61	и она	4	3
62	что в	12	3
63	и притом	10	3
64	даже не	8	3
65	жизни и	8	3
66	и как	13	3
67	и потому	6	3
68	тех же	2	3
69	а в	3	3
70	в том	17	3
71	их в	2	3
72	и вот	13	3
73	только на	8	3
74	крайней мере	10	3
75	и есть	24	3
76	но оно	2	3
77	в этих	3	3
78	пр и	2	3
79	отношения к	4	3
80	с их	4	3
81	как это	8	3
82	то что	25	3
83	только как	7	3
84	во всех	2	3
85	по крайней	10	3
86	мира и	3	3
87	могут быть	5	3
88	всяком случае	3	3
89	вместе с	3	3
90	учение о	11	3
91	в одном	3	3
92	на этом	3	3
93	мы знаем	3	3
94	во всяком	5	3
95	том что	18	3
96	в основе	6	3
97	никогда не	9	2
98	для нас	2	2
99	что мы	10	2
100	по своему	2	2
101	мы видим	4	2
102	есть и	14	2
103	на них	2	2
104	в них	6	2
105	не можем	3	2
106	в жизни	4	2
107	в каком	9	2
108	понятия и	2	2
109	для этого	3	2
110	и вообще	7	2
111	же как	4	2
112	и для	5	2
113	внешний мир	4	2
114	что не	8	2
115	в область	2	2
116	что это	20	2
117	другими словами	8	2
118	и по	2	2
119	вообще не	3	2
120	необходимость и	3	2
121	что и	8	2
122	не менее	11	2
123	ее в	3	2
124	на первый	4	2
125	не существует	10	2
126	нет никаких	3	2
127	и мы	6	2
128	было бы	13	2
129	не могут	6	2
130	как не	4	2
131	о том	11	2
132	можно назвать	3	2
133	то же	9	2
134	они не	3	2
135	с этим	4	2
136	как и	14	2
137	что он	18	2
138	так же	7	2
139	говорить о	13	2
140	в глубину	2	2
141	но ведь	2	2
142	в науке	3	2
143	в своей	4	2
144	мы не	11	2
145	себя и	3	2
146	из этих	5	2
147	но как	3	2
148	в самом	9	2
149	находится в	2	2
150	и говорить	3	2
151	с этой	7	2
152	не на	7	2
153	в частности	3	2
154	сознания и	5	2
155	что можно	2	2
156	он не	8	2
157	у него	2	2
158	между собою	3	2
159	для меня	2	2
160	если мы	5	2
161	со всеми	2	2
162	как с	2	2
163	и о	9	2
164	оно не	7	2
165	не есть	95	2
166	за пределы	3	2
167	к этому	3	2
168	что на	3	2
169	всего а	2	2
170	нем нет	3	2
171	нет и	5	2
172	только и	3	2
173	не знает	4	2
174	что оно	9	2
175	и так	2	2
176	быть может	3	2
177	и этим	3	2
178	есть в	4	2
179	в этот	3	2
180	мы уже	6	2
181	только то	2	2
182	не будет	5	2
183	с ним	3	2
184	об его	3	2
185	но это	10	2
186	но зато	2	2
