N	2gram	Berdyaev_N	Otkroven
1	у него	2	22
2	и в	16	19
3	но и	3	13
4	и не	11	13
5	в этом	7	12
6	не только	5	11
7	не в	6	11
8	а не	17	11
9	может быть	7	11
10	и все	4	10
11	человека и	3	10
12	в нем	5	10
13	вопрос о	3	10
14	никогда не	6	9
15	потому что	4	9
16	не было	4	9
17	прежде всего	4	9
18	лишь в	6	7
19	он не	8	7
20	как и	7	6
21	все это	5	6
22	а в	2	5
23	в россии	3	5
24	в том	8	5
25	то что	4	5
26	что в	9	4
27	есть лишь	4	4
28	того чтобы	2	4
29	все эти	2	4
30	не может	16	4
31	с его	6	4
32	в себе	2	3
33	и от	2	3
34	о том	4	3
35	это не	4	3
36	жизни все	2	3
37	во имя	15	3
38	еще не	3	3
39	и есть	10	3
40	хотя бы	2	3
41	нем нет	2	3
42	могут быть	2	3
43	это было	3	3
44	быть может	4	3
45	мысли и	2	3
46	сказать что	3	2
47	и на	2	2
48	с тем	3	2
49	и для	4	2
50	совсем не	12	2
51	что все	2	2
52	не имеет	4	2
53	не могли	2	2
54	и с	2	2
55	и потому	4	2
56	в ее	3	2
57	но в	2	2
58	том что	2	2
59	жизни в	3	2
60	в своей	3	2
61	в истории	3	2
62	должно быть	4	2
63	не есть	3	2
64	свободы и	2	2
65	и к	5	2
66	так и	2	2
67	хотя и	2	2
