N	4gram	Losev_Dial	Problema
1	и тем не менее	2	15
2	не что иное как	6	14
3	в то время как	6	12
4	ни в каком случае	2	12
5	или по крайней мере	4	11
6	есть не что иное	3	11
7	и т д и	8	9
8	т д и т	7	8
9	не говоря уже о	6	7
10	д и т д	7	7
11	то это значит что	3	6
12	по крайней мере в	3	6
13	если иметь в виду	2	4
14	одно и то же	2	4
15	ни в коем случае	4	4
16	с этой точки зрения	4	3
17	в каком смысле не	3	3
18	и в то же	2	3
19	ни в каком смысле	5	3
20	уже по одному тому	2	3
21	а это значит что	2	3
22	по одному тому что	3	3
23	в себе не содержит	2	2
24	это значит что мы	3	2
25	только тогда когда есть	2	2
26	ничем не отличается от	4	2
27	ничего не говорит о	2	2
28	одной и той же	4	2
29	только на то что	2	2
30	уже о том что	2	2
31	говоря уже о том	2	2
