N	2gram	Losev_Vesc	Formalny
1	и в	44	95
2	т е	79	94
3	и не	57	78
4	может быть	37	66
5	в этом	17	61
6	не может	44	57
7	и пр	10	53
8	вовсе не	11	53
9	таким образом	16	52
10	и его	4	51
11	так и	4	50
12	точки зрения	10	47
13	в нем	6	42
14	в его	5	42
15	прежде всего	17	41
16	с точки	6	40
17	как и	15	39
18	и т	37	37
19	не в	14	35
20	в самом	13	35
21	а не	34	34
22	но и	19	33
23	то же	12	32
24	самом деле	7	32
25	не только	48	30
26	в том	15	26
27	отнюдь не	8	26
28	если бы	8	26
29	то что	47	25
30	в своей	6	24
31	на почве	6	24
32	в ней	14	23
33	было бы	24	23
34	в то	11	22
35	и ее	19	22
36	в истории	3	21
37	как бы	19	21
38	что в	11	21
39	и с	11	21
40	в их	4	20
41	не менее	11	20
42	между ними	6	20
43	и от	4	20
44	с тем	8	20
45	как мы	6	20
46	же время	4	20
47	все это	7	19
48	хотя бы	9	19
49	т д	36	19
50	по себе	22	19
51	все же	18	18
52	и все	6	18
53	все эти	5	18
54	должна быть	8	18
55	с его	2	18
56	и их	11	18
57	только в	23	18
58	как в	3	17
59	как раз	16	17
60	так же	4	16
61	во всяком	4	16
62	совершенно не	11	16
63	с другой	8	16
64	потому что	25	16
65	всяком случае	2	16
66	его в	8	15
67	но в	8	15
68	бы в	9	15
69	с другими	8	15
70	так как	17	15
71	должно быть	8	15
72	во всех	5	15
73	именно в	2	15
74	и на	2	15
75	что он	7	14
76	только на	3	14
77	в целом	3	14
78	в ее	8	14
79	в своем	9	14
80	еще не	12	14
81	в жизни	5	14
82	в этой	4	14
83	если мы	12	14
84	и потому	8	14
85	жизни и	6	14
86	вместе с	4	14
87	как ее	2	13
88	со стороны	9	13
89	того что	16	13
90	языка как	2	13
91	а в	6	13
92	что же	17	13
93	что и	11	13
94	сводится к	4	13
95	независимо от	5	13
96	в результате	9	13
97	она не	9	13
98	тем что	7	13
99	ни в	11	13
100	в действительности	7	12
101	как это	4	12
102	того чтобы	4	12
103	лишь как	2	12
104	и здесь	5	12
105	к тому	3	12
106	и для	13	12
107	оно не	6	12
108	уже не	15	12
109	никогда не	5	11
110	этом отношении	2	11
111	это и	12	11
112	социальной действительности	4	11
113	в основе	4	11
114	но не	9	11
115	то ни	13	11
116	слова и	7	11
117	что они	12	11
118	для него	8	11
119	не о	2	10
120	не есть	79	10
121	действительности и	5	10
122	не как	2	10
123	мы не	8	10
124	не было	4	10
125	по существу	3	10
126	бы то	12	10
127	мы видели	3	10
128	другой стороны	3	10
129	с ее	10	10
130	не является	3	10
131	как о	5	10
132	в первом	2	10
133	и как	12	10
134	в своих	3	10
135	главным образом	3	10
136	раз и	2	10
137	конечно не	2	10
138	он не	4	10
139	если же	5	10
140	в слове	2	10
141	тем же	2	10
142	быть и	5	9
143	ничего не	12	9
144	совсем не	2	9
145	здесь не	2	9
146	но это	14	9
147	и до	6	9
148	и может	3	9
149	бы ни	3	9
150	и даже	12	9
151	но ведь	2	9
152	у нас	9	9
153	от всех	5	9
154	еще более	4	9
155	в свою	5	9
156	ни было	12	9
157	говорить о	9	9
158	отношения к	3	9
159	это не	9	8
160	была бы	3	8
161	между собой	2	8
162	одной стороны	3	8
