N	2gram	Bakhtin_KF	Tvorches
1	и в	28	56
2	как бы	9	41
3	в его	42	37
4	в то	3	30
5	то же	5	25
6	не только	5	24
7	но в	5	24
8	же время	2	24
9	и его	18	23
10	и не	28	23
11	а в	5	23
12	как и	5	23
13	в этом	15	22
14	в том	6	21
15	что в	4	21
16	том что	4	19
17	он не	6	19
18	может быть	45	19
19	потому что	2	19
20	то что	7	18
21	что он	2	17
22	все это	10	17
23	и на	3	17
24	никогда не	5	16
25	прежде всего	4	16
26	как в	2	16
27	при этом	4	16
28	не может	29	16
29	но и	9	16
30	в этой	2	15
31	с его	2	15
32	но это	6	15
33	в мире	8	15
34	это не	10	14
35	о том	3	13
36	а не	17	13
37	тем самым	4	12
38	в целом	10	12
39	же с	2	12
40	в котором	24	12
41	все же	5	11
42	в своей	11	11
43	для него	13	11
44	отнюдь не	7	11
45	не в	13	10
46	так и	2	10
47	но не	12	10
48	только в	18	10
49	в свою	3	9
50	в нем	32	9
51	один из	2	9
52	жизни в	5	9
53	в своих	4	9
54	в себе	21	8
55	человека и	3	8
56	в их	9	8
57	не менее	3	8
58	это уже	2	8
59	вовсе не	7	8
60	к этому	2	8
61	в соответствии	2	8
62	еще не	5	8
63	именно в	5	8
64	соответствии с	2	8
65	самом деле	3	7
66	в чем	4	7
67	уже не	7	7
68	его в	5	6
69	и все	9	6
70	место в	6	6
71	все эти	11	6
72	в принципе	2	6
73	и ее	2	6
74	хотя бы	5	6
75	и как	2	6
76	если бы	8	6
77	еще более	2	6
78	в момент	3	6
79	с ним	5	6
80	бы не	3	5
81	ничего не	3	5
82	до конца	3	5
83	по отношению	26	5
84	но эта	6	5
85	и других	2	5
86	в виде	2	5
87	в своем	17	5
88	а с	2	5
89	и это	12	5
90	что этот	3	5
91	что не	3	5
92	что и	7	5
93	в ее	17	5
94	в ту	2	5
95	мы не	3	5
96	во всей	4	5
97	тот же	3	5
98	что это	4	5
99	дело не	2	5
100	та же	3	5
101	между тем	4	5
102	отношению к	22	5
103	что я	5	5
104	если не	2	5
105	я не	6	5
106	не было	8	5
107	и потому	2	4
108	это и	3	4
109	не знает	5	4
110	того что	3	4
111	к нему	12	4
112	точки зрения	13	4
113	могут быть	3	4
114	с ними	4	4
115	и я	6	4
116	в основе	5	4
117	и когда	2	4
118	и мы	2	4
119	дело в	2	4
120	в каждом	3	4
121	себя в	8	4
122	тем что	3	4
123	он ни	2	4
124	и есть	10	4
125	времени и	4	4
126	его и	2	4
127	отказаться от	2	4
128	действительной жизни	3	4
129	с точки	10	4
130	говорить о	2	4
131	не есть	22	3
132	ее и	6	3
133	его к	2	3
134	на самом	3	3
135	в процессе	2	3
136	от него	3	3
137	к себе	2	3
138	в другом	3	3
139	отношение к	6	3
140	как к	2	3
141	едва ли	2	3
142	для себя	7	3
143	подхода к	2	3
144	в виду	3	3
145	и тем	3	3
146	со стороны	8	3
147	в области	2	3
148	людей и	3	3
149	и мир	2	3
150	не по	4	3
151	в него	2	3
152	только с	3	3
153	во главе	2	3
154	гораздо более	2	3
155	в ней	3	3
156	во мне	3	3
157	себя как	2	3
158	совсем не	2	3
159	там где	5	3
160	в мир	2	3
161	других людей	3	3
162	бы он	2	3
163	его с	2	3
164	его как	5	3
165	действительности в	2	3
166	с ее	2	3
167	я и	5	3
168	лишь в	8	3
169	был бы	3	3
170	для того	3	3
171	и их	6	3
172	со всеми	2	3
173	в жизни	2	3
174	нет и	3	3
175	с другим	4	3
176	в себя	8	3
177	для которого	3	3
178	и время	2	3
179	а по	2	3
180	он и	2	3
181	по себе	2	3
182	может не	2	3
183	жизни и	8	3
184	сводится к	2	3
185	и только	7	3
186	жизни но	3	3
187	в одном	5	3
188	но как	5	2
189	не потому	2	2
190	включает в	2	2
191	когда я	3	2
192	философии но	2	2
193	должен быть	7	2
194	я должен	7	2
195	ведь это	2	2
196	я буду	3	2
197	а как	2	2
198	в современной	3	2
199	здесь нет	3	2
200	смысл и	6	2
201	о нем	4	2
202	с тем	2	2
203	этот факт	2	2
204	нем и	3	2
205	для этой	3	2
206	тому что	2	2
207	она не	2	2
208	не могу	3	2
209	и та	3	2
210	не будет	2	2
211	меня не	4	2
212	со своего	5	2
213	того чтобы	2	2
214	познания и	4	2
215	было бы	8	2
216	в качестве	2	2
217	первом плане	2	2
218	рядом с	3	2
219	и того	2	2
220	проникает в	5	2
221	здесь мы	4	2
222	кажется что	2	2
223	все попытки	4	2
224	всех этих	3	2
225	мышления и	2	2
226	в данном	2	2
227	ли это	2	2
228	во всех	11	2
229	не нужно	2	2
230	из нее	2	2
231	тем не	2	2
232	но этот	2	2
233	мир в	12	2
234	пространства и	2	2
235	мира в	6	2
236	но ведь	5	2
237	где он	3	2
238	ни к	2	2
239	отношении к	2	2
240	жизнь и	2	2
241	культуры и	5	2
242	не имеет	6	2
243	ни в	12	2
244	и здесь	7	2
245	входит в	4	2
246	целом и	3	2
247	из себя	11	2
248	но для	3	2
249	на первом	2	2
250	не из	2	2
251	ко всему	5	2
252	которой он	2	2
253	только как	4	2
254	и делает	3	2
255	человек и	2	2
256	но ни	2	2
257	и будущее	2	2
258	как его	4	2
259	этот момент	7	2
260	бытия но	5	2
261	меня в	3	2
262	не значит	6	2
263	не дает	3	2
264	ясно что	3	2
