N	2gram	Nazirov_Tv	Marksizm
1	может быть	11	64
2	и в	40	63
3	и не	12	55
4	как бы	26	53
5	не может	9	47
6	и его	14	41
7	в этом	11	39
8	таким образом	14	38
9	в процессе	3	33
10	не только	16	29
11	в нем	4	28
12	то же	19	28
13	но и	10	27
14	самом деле	4	25
15	связи с	2	25
16	прежде всего	10	24
17	как и	16	24
18	в самом	6	24
19	так и	5	23
20	только в	7	23
21	в том	13	22
22	то что	9	22
23	а не	9	22
24	при этом	14	20
25	так сказать	4	20
26	для него	9	20
27	том что	14	19
28	не в	3	19
29	в его	19	19
30	если бы	4	19
31	но в	11	18
32	в ее	3	18
33	вовсе не	5	18
34	все же	9	17
35	в то	23	16
36	по отношению	3	16
37	и как	5	16
38	что он	11	15
39	в связи	2	15
40	во всех	2	15
41	отношению к	3	15
42	отнюдь не	9	15
43	же время	18	15
44	в данном	2	14
45	хотя бы	5	14
46	ничего не	3	13
47	так же	6	13
48	мы не	3	13
49	было бы	2	13
50	в своей	8	13
51	не является	3	13
52	и здесь	2	13
53	в направлении	2	13
54	что в	17	13
55	а в	10	12
56	того же	2	12
57	в основе	3	12
58	он не	10	12
59	между тем	2	12
60	на самом	3	11
61	друг друга	2	11
62	как в	10	11
63	и все	6	11
64	и на	12	11
65	в ней	2	11
66	не столько	4	11
67	все эти	3	11
68	и от	8	11
69	так как	6	11
70	еще не	5	11
71	и того	2	11
72	и что	2	11
73	мы уже	2	11
74	никогда не	13	10
75	его в	2	10
76	и потому	4	10
77	в каждом	4	10
78	в основном	9	10
79	отличие от	3	10
80	самого начала	3	10
81	здесь мы	2	10
82	более того	2	10
83	с самого	3	10
84	во всяком	2	10
85	с его	12	10
86	сказать что	3	10
87	одна из	5	10
88	к этому	4	10
89	в своем	4	10
90	в отличие	3	10
91	с другой	4	10
92	именно в	6	10
93	в таком	4	10
94	в себе	3	9
95	а как	2	9
96	это не	9	9
97	только на	2	9
98	одной из	7	9
99	и это	2	9
100	к тому	2	9
101	в истории	2	9
102	рядом с	2	9
103	не имеет	2	9
