N	3gram	Bakhtin_Fr	Freidism
1	с точки зрения	6	15
2	не может быть	5	14
3	по отношению к	2	11
4	в том что	6	9
5	во всяком случае	2	8
6	как мы видели	2	8
7	и прежде всего	4	7
8	в то же	5	6
9	то же время	5	6
10	в большинстве случаев	2	5
11	можно сказать что	3	5
12	как мы уже	8	5
13	в этом отношении	5	4
14	не могут быть	2	4
15	на самом деле	2	4
16	на этот вопрос	2	3
17	на этом мы	2	3
18	но в то	2	3
19	о том что	3	3
20	в собственном смысле	3	3
21	так и в	3	3
22	для того чтобы	2	3
23	и не может	2	3
24	до сих пор	7	3
25	нужно отметить что	2	2
26	в применении к	3	2
27	вовсе не в	2	2
28	в другом месте	2	2
29	как раз и	2	2
30	в отличие от	4	2
31	это как бы	2	2
32	с одной стороны	2	2
33	на самом же	3	2
34	самом же деле	3	2
35	в узком смысле	2	2
36	выходит за пределы	4	2
37	в его целом	2	2
