N	2gram	Losev_Vesc	VelikijI
1	во имя	3	32
2	и не	57	20
3	и в	44	16
4	так как	17	9
5	то что	47	9
6	еще не	12	8
7	в истории	3	8
8	и потому	8	7
9	что они	12	7
10	а не	34	7
11	не есть	79	6
12	человека и	3	6
13	религиозного сознания	2	5
14	как бы	19	5
15	на себя	5	5
16	но и	19	5
17	все это	7	5
18	хотя и	5	5
19	что есть	8	5
20	того что	16	5
21	что все	2	4
22	к личности	3	4
23	и все	6	4
24	как и	15	4
25	в котором	4	4
26	потому что	25	4
27	все что	3	4
28	в нем	6	4
29	в ней	14	4
30	что не	11	4
31	что мы	17	4
32	в его	5	4
33	о смысле	5	4
34	говорить о	9	4
35	в этом	17	4
36	что он	7	4
37	и есть	40	4
38	так и	4	4
39	никогда не	5	3
40	превращается в	3	3
41	в жизни	5	3
42	что в	11	3
43	в том	15	3
44	и для	13	3
45	от этого	3	3
46	не имеет	2	3
47	тому что	2	3
48	но в	8	3
49	к тому	3	3
50	ни в	11	3
51	их в	6	3
52	нет ничего	2	3
53	то это	5	3
54	но это	14	3
55	бы и	9	3
56	должно быть	8	3
57	оно не	6	3
58	хотя бы	9	3
59	в своей	6	3
60	во всех	5	3
61	в абсолютном	2	3
62	к чему	2	3
63	в конце	3	3
64	жизни и	6	3
65	как не	2	3
66	что и	11	3
67	и мы	5	3
68	не было	4	3
69	если не	3	3
70	и что	22	3
71	не в	14	3
72	все эти	5	3
73	что я	26	3
74	должна быть	8	3
75	к бытию	3	3
76	и они	2	3
77	в чем	10	3
78	тот же	4	3
79	с его	2	3
80	и то	14	2
81	с тем	8	2
82	да и	5	2
83	самого себя	2	2
84	одна из	6	2
85	не так	2	2
86	но не	9	2
87	нет и	4	2
88	ее и	2	2
89	и это	17	2
90	это не	9	2
91	не только	48	2
92	является в	2	2
93	а в	6	2
94	том что	13	2
95	истории и	2	2
96	и во	3	2
97	во всяком	4	2
98	и тогда	7	2
99	есть уже	4	2
100	уже не	15	2
101	зачем же	2	2
102	нем нет	2	2
103	когда я	5	2
104	не к	3	2
105	один из	5	2
106	т д	36	2
107	в смысл	2	2
108	не будет	13	2
109	того чтобы	4	2
110	тем что	7	2
111	вот почему	3	2
112	мы не	8	2
113	конечно не	2	2
114	можно было	6	2
115	это все	3	2
116	только в	23	2
117	на нас	3	2
118	раз навсегда	3	2
119	а есть	5	2
120	и сам	3	2
121	все равно	6	2
122	его и	4	2
123	для нас	2	2
124	в себя	13	2
125	прежде всего	17	2
126	и т	37	2
127	будет уже	3	2
128	с ним	8	2
129	а с	3	2
130	личность как	2	2
131	для него	8	2
132	не с	8	2
