N	2gram	Berdyaev_O	Freidism
1	и не	13	34
2	не может	4	30
3	может быть	11	28
4	и в	19	28
5	в этом	12	28
6	прежде всего	9	26
7	в его	7	25
8	и его	4	22
9	как бы	3	19
10	то что	5	17
11	так как	2	15
12	все эти	4	15
13	так и	2	14
14	в своей	2	14
15	с ним	3	14
16	и все	10	13
17	в душе	2	13
18	но в	2	13
19	как и	6	13
20	и потому	2	12
21	том что	2	12
22	что он	3	12
23	в самом	5	12
24	для него	5	12
25	все это	6	12
26	сказать что	2	11
27	его в	2	11
28	никогда не	9	10
29	и с	2	10
30	не только	11	10
31	но и	13	10
32	не в	11	10
33	он не	7	10
34	в том	5	10
35	все что	3	10
36	что же	2	10
37	могут быть	3	9
38	к этому	2	9
39	к нему	3	9
40	и на	2	9
41	а не	11	9
42	с его	4	9
43	все же	2	8
44	было бы	3	8
45	и вот	3	8
46	еще не	3	8
47	а в	5	8
48	не могут	3	7
49	до конца	7	7
50	в себе	3	7
51	что в	4	7
52	и ее	3	7
53	хотя бы	3	7
54	и для	2	7
55	отношение к	5	7
56	того что	3	7
57	что все	2	7
58	в нем	10	7
59	и к	2	7
60	в этой	5	7
61	одно из	2	6
62	в человеке	9	6
63	человека и	10	6
64	для того	3	6
65	и о	2	6
66	совсем не	2	6
67	учение о	2	6
68	ничего не	2	5
69	в которой	2	5
70	в этих	3	5
71	что и	2	5
72	ее в	2	5
73	в своих	3	5
74	это не	3	5
75	того чтобы	4	5
76	не было	9	5
77	в ее	2	5
78	он сам	4	5
79	человека в	11	4
80	мысли и	3	4
81	в другом	2	4
82	в этот	2	4
83	у него	22	4
84	к ней	2	4
85	в своем	2	4
86	человека к	2	4
87	потому что	9	4
88	личности и	2	4
89	по себе	2	4
90	в истории	2	4
91	и то	2	3
92	и от	3	3
93	жизни в	2	3
94	он был	8	3
95	и ни	2	3
96	и очень	2	3
97	к человеку	9	3
98	о том	3	3
99	и этим	2	3
100	можно ли	2	3
101	уже в	2	3
102	когда он	3	3
103	и есть	3	3
104	природы и	2	3
105	о которой	2	3
106	человека все	2	2
107	вопрос о	10	2
108	к этой	2	2
109	должно быть	2	2
110	это было	3	2
111	влечет к	3	2
112	и мысли	4	2
113	как к	2	2
114	из всего	2	2
115	их не	2	2
116	его не	2	2
117	подойти к	2	2
118	не имеет	2	2
119	не есть	2	2
120	он в	2	2
121	человек не	7	2
122	в глубине	7	2
123	одного только	2	2
