N	2gram	Propp_Russ	Russkaja
1	не может	6	22
2	и не	6	19
3	в том	33	17
4	в этом	18	17
5	и в	59	14
6	то что	10	13
7	точки зрения	3	11
8	то же	6	11
9	таким образом	10	11
10	в то	3	10
11	но и	20	10
12	не только	28	9
13	том что	33	9
14	церкви и	3	9
15	может быть	14	9
16	с точки	3	9
17	того чтобы	6	8
18	как на	2	8
19	прежде всего	2	8
20	и с	12	7
21	к тому	4	7
22	о том	14	7
23	в данном	7	7
24	мы должны	3	7
25	отнюдь не	3	7
26	с тем	14	6
27	если в	3	6
28	на самом	3	6
29	и для	3	6
30	в своих	3	6
31	в россии	4	6
32	и к	3	6
33	все это	12	6
34	для того	6	6
35	и при	2	6
36	что он	2	6
37	в своем	3	6
38	вопрос о	4	5
39	а в	16	5
40	на то	2	5
41	было бы	3	5
42	из которых	2	5
43	между собой	4	5
44	и на	14	5
45	потому что	15	5
46	при этом	11	5
47	в нем	3	5
48	он должен	2	5
49	себя и	2	5
50	только в	4	5
51	между тем	9	5
52	во всех	6	5
53	по существу	7	5
54	и то	2	4
55	что в	35	4
56	но не	7	4
57	его в	9	4
58	к вопросу	2	4
59	все же	7	4
60	не в	2	4
61	как и	19	4
62	как бы	18	4
63	все что	2	4
64	можно было	3	4
65	приводит к	4	4
66	так как	25	4
67	тогда когда	4	4
68	в его	3	4
69	в их	5	4
70	на земле	3	4
71	когда они	2	4
72	во всем	2	4
73	в этой	4	4
74	вместе с	16	4
75	данном случае	8	3
76	одна из	12	3
77	том чтобы	3	3
78	для этого	6	3
79	в большинстве	2	3
80	что все	2	3
81	что это	4	3
82	этом случае	9	3
83	что для	4	3
84	именно в	3	3
85	из этих	6	3
86	ни одна	2	3
87	должно быть	2	3
88	всех этих	2	3
89	и потому	3	3
90	главным образом	5	3
91	из них	12	3
92	но если	2	3
93	и как	2	3
94	несмотря на	4	3
95	для них	5	3
96	так чтобы	2	3
97	что и	8	3
98	или в	7	3
99	вряд ли	2	3
100	таким же	4	3
101	и во	2	3
102	говорить о	2	3
103	и по	10	3
104	связи с	6	3
105	еще не	7	3
106	в виде	10	3
107	того что	6	3
108	в качестве	5	3
109	что они	8	3
110	друг друга	3	3
111	не было	3	3
112	собой и	2	3
113	и т	13	3
114	тем что	7	3
115	и о	4	2
116	в течение	7	2
117	и от	2	2
118	не к	3	2
119	но она	3	2
120	с этим	4	2
121	в таких	3	2
122	есть и	2	2
123	и те	3	2
124	следовательно и	2	2
125	большинстве случаев	2	2
126	ее в	7	2
127	тому что	4	2
128	к нему	3	2
129	на этой	3	2
130	она не	4	2
131	только с	2	2
132	но в	5	2
133	в котором	2	2
134	так же	7	2
135	их в	7	2
136	на себя	4	2
137	в настоящее	3	2
138	состоит в	18	2
139	в ней	3	2
140	чтобы она	2	2
141	уже не	9	2
142	на которой	2	2
143	этот вопрос	4	2
144	в некоторых	11	2
145	но даже	2	2
146	настоящее время	3	2
147	их к	2	2
148	в силу	2	2
149	а не	3	2
150	для нас	12	2
151	по этому	4	2
152	мы можем	2	2
153	не можем	5	2
154	место в	2	2
155	в других	24	2
156	тогда как	4	2
157	и что	8	2
158	но это	5	2
159	что с	2	2
160	все эти	5	2
161	том же	6	2
162	только для	3	2
163	и наконец	2	2
164	а с	6	2
165	совершенно очевидно	2	2
166	не просто	3	2
167	в этих	3	2
168	только на	4	2
169	в частности	2	2
170	в таком	5	2
171	так что	4	2
172	во время	23	2
173	как будто	6	2
174	во многих	14	2
175	его и	2	2
176	в области	3	2
177	вся эта	2	2
178	с ним	2	2
179	быть и	3	2
180	у него	2	2
181	там и	2	2
182	мы уже	2	2
183	и более	3	2
184	их не	2	2
