N	2gram	Tiupa_Hudo	Poddanst
1	не только	22	17
2	и в	34	14
3	и не	15	12
4	в этом	22	10
5	н а	2	10
6	но в	6	9
7	то же	14	9
8	в том	24	9
9	в качестве	13	9
10	хотя бы	2	8
11	в пределах	4	8
12	в то	12	7
13	только в	8	7
14	же время	11	7
15	быть может	7	6
16	но и	13	6
17	было бы	8	6
18	в ней	6	6
19	с другой	4	5
20	не в	16	5
21	и о	8	5
22	может быть	12	5
23	по себе	3	4
24	первой половины	3	4
25	что в	8	4
26	если бы	7	4
27	и потому	3	4
28	тех кто	2	4
29	в своем	9	4
30	том что	31	4
31	а также	4	4
32	в котором	5	4
33	в русской	4	4
34	и к	6	4
35	как бы	11	4
36	то что	13	4
37	не может	10	4
38	а в	11	4
39	же в	3	4
40	но не	7	3
41	тем самым	2	3
42	это не	12	3
43	т е	6	3
44	с точки	5	3
45	сводится к	7	3
46	столь же	6	3
47	мы не	2	3
48	я и	7	3
49	для того	3	3
50	в себе	19	3
51	точки зрения	7	3
52	потому что	7	3
53	одной стороны	4	3
54	в нем	5	3
55	между тем	14	3
56	вслед за	3	3
57	прежде всего	12	3
58	и т	15	3
59	хотя и	3	3
60	с одной	4	3
61	с ними	3	3
62	наряду с	4	3
63	для нас	4	2
64	должно быть	2	2
65	не о	3	2
66	да и	5	2
67	взгляда на	2	2
68	по-видимому не	2	2
69	в них	3	2
70	в жизни	9	2
71	в мире	10	2
72	если в	4	2
73	одна из	4	2
74	в е	2	2
75	никак не	3	2
76	и это	7	2
77	более чем	2	2
78	и тем	2	2
79	в его	17	2
80	с этим	3	2
81	в ряду	3	2
82	в xix	2	2
83	не менее	9	2
84	говорить о	4	2
85	со стороны	6	2
86	именно в	9	2
87	где в	2	2
88	в начале	3	2
89	в виде	2	2
90	все это	2	2
91	в частности	10	2
92	как на	2	2
93	а не	23	2
94	не было	8	2
95	мысль о	2	2
96	одних и	2	2
97	л а	2	2
98	например в	3	2
99	и с	10	2
100	может и	3	2
101	во всех	2	2
102	в ее	16	2
103	в тот	3	2
104	не нужно	3	2
105	заключает в	2	2
106	как раз	7	2
107	с с	4	2
108	в сфере	2	2
109	в значительной	3	2
110	того что	5	2
111	в силу	2	2
112	из них	5	2
113	не столько	4	2
114	отнюдь не	4	2
