N	2gram	Ircho_Kome	DiskursI
1	в качестве	8	72
2	может быть	16	56
3	не только	12	49
4	и в	40	49
5	как и	12	47
6	при этом	5	46
7	в том	19	44
8	и не	19	44
9	том что	19	40
10	в этом	9	38
11	в себе	3	37
12	в частности	7	36
13	но и	14	35
14	но не	3	31
15	со стороны	3	28
16	так и	17	28
17	отличие от	4	28
18	но в	6	28
19	не может	3	27
20	в отличие	3	27
21	по своей	2	26
22	как в	8	25
23	такого рода	6	24
24	в рамках	3	23
25	еще не	7	23
26	отнюдь не	2	23
27	а также	5	20
28	все же	7	19
29	прежде всего	8	19
30	в нем	8	19
31	в своей	3	19
32	по отношению	5	17
33	то же	7	17
34	с другой	7	17
35	отношению к	5	17
36	в мире	3	17
37	точки зрения	7	16
38	только в	6	16
39	роль в	2	15
40	в его	8	15
41	то что	8	15
42	о том	12	15
43	это не	2	14
44	не в	8	14
45	не менее	6	14
46	одной стороны	5	14
47	не является	2	14
48	с одной	5	14
49	в целом	6	13
50	как бы	3	13
51	в своем	6	12
52	и все	4	12
53	того же	4	12
54	в своих	2	12
55	и на	9	12
56	что в	12	11
57	с его	4	11
58	и как	3	11
59	как правило	5	11
60	столь же	9	11
61	для себя	2	10
62	а в	9	10
63	же время	5	10
64	в то	14	9
65	в силу	4	9
66	между тем	9	9
67	в них	7	9
68	еще в	9	9
69	себя в	2	9
70	человека в	2	8
71	в соответствии	2	8
72	этом отношении	3	8
73	и о	3	8
74	к тому	15	8
75	потому что	8	8
76	хотя и	6	8
77	если в	3	8
78	в противоположность	2	8
79	и даже	5	8
80	в этих	5	8
81	в себя	3	8
82	в котором	6	8
83	соответствии с	2	8
84	в одном	10	8
85	из них	16	8
86	он не	5	8
87	не следует	2	8
88	его в	6	7
89	о чем	2	7
90	могут быть	3	7
91	и ее	5	7
92	одной из	6	7
93	и для	4	7
94	но это	2	7
95	на сцене	5	7
96	что и	10	7
97	в этой	9	7
98	другой стороны	6	7
99	к этому	8	7
100	мира в	5	7
101	ни в	9	7
102	той же	3	7
103	и его	17	7
104	таким образом	13	7
105	нового времени	7	7
106	тому же	14	7
107	к его	3	6
108	отношение к	3	6
109	что он	11	6
110	в трагедии	3	6
111	именно в	5	6
112	времени в	2	6
113	одного из	7	6
114	однако в	4	6
115	что же	2	6
116	в принципе	3	6
117	в сущности	3	6
118	в истории	10	6
119	в ее	2	6
120	одна из	4	6
121	во всех	4	6
122	и одновременно	3	6
123	времени и	2	6
124	в период	5	6
125	в первую	5	5
126	ничего не	4	5
127	в другом	5	5
128	в виду	2	5
129	в их	6	5
130	не всегда	2	5
131	для своего	2	5
132	несмотря на	5	5
133	один из	9	5
134	здесь в	4	5
135	первую очередь	6	5
136	принадлежит к	2	5
137	того как	3	5
138	как будто	3	5
139	из этих	5	5
140	за пределы	2	5
141	с ее	2	5
142	во второй	4	5
143	из двух	2	5
144	но они	2	5
145	что касается	5	5
146	на протяжении	14	5
147	в свою	2	5
148	в литературе	2	5
149	следует признать	2	5
150	зрения на	2	5
151	может служить	2	5
152	на этом	3	5
153	не вполне	2	5
154	в той	2	5
155	как раз	4	5
156	говорить о	3	5
157	же самое	2	5
158	не к	2	5
159	в ней	2	5
160	тем что	5	5
161	до конца	3	4
162	трагедии в	3	4
163	из того	2	4
164	одну из	2	4
165	а на	2	4
166	более чем	4	4
167	с той	2	4
168	и тем	2	4
169	одном из	4	4
170	по своему	5	4
171	как это	7	4
172	и это	3	4
173	только на	2	4
174	ни одна	2	4
175	на его	5	4
176	в году	3	4
177	аналогии с	2	4
178	и во	4	4
179	что они	4	4
180	в первом	2	4
181	по свидетельству	3	4
182	во всяком	4	4
183	а к	2	4
184	в результате	5	4
185	тем не	3	4
186	наше время	2	4
187	связи с	3	4
188	а сам	2	4
189	одним из	3	4
190	в какой	2	4
191	или на	2	4
192	восходит к	4	4
193	частности в	2	4
194	в самом	5	4
195	будто бы	2	4
196	и к	2	4
197	со своим	6	4
198	по себе	2	4
199	не более	2	4
200	или в	5	4
201	еще и	2	3
202	вопрос о	5	3
203	и притом	2	3
204	идет о	5	3
205	указывает на	2	3
206	в полном	2	3
207	в тех	5	3
208	этого рода	2	3
209	в обоих	3	3
210	в форме	2	3
211	там же	4	3
212	ли не	8	3
213	к которому	4	3
214	и столь	3	3
215	речь о	2	3
216	в области	3	3
217	в действительности	4	3
218	на основании	7	3
219	как на	2	3
220	своего времени	2	3
221	жизненных ситуаций	2	3
222	об этом	2	3
223	ему в	2	3
224	уже о	4	3
225	что на	4	3
226	на себя	5	3
227	не говоря	4	3
228	для этого	2	3
229	о его	5	3
230	было бы	8	3
231	мы не	4	3
232	говоря уже	4	3
233	том числе	4	3
234	как мы	5	3
235	да и	5	3
236	не столь	2	3
237	и от	2	3
238	тут же	2	3
239	с этим	5	3
240	в начале	7	3
241	с их	4	3
242	хотя бы	2	3
243	в которой	9	3
244	к ней	2	3
245	и по	6	3
246	в греческой	2	3
247	перед лицом	5	3
248	при всем	3	3
249	дело с	3	3
250	и более	2	3
251	или менее	2	3
252	обоих случаях	3	3
253	но все	4	3
254	уже в	9	3
255	всяком случае	4	3
256	жизни и	4	3
257	к числу	2	3
258	то ни	4	3
259	место в	7	3
260	и сам	5	3
261	в большинстве	2	3
262	и что	2	3
263	однако не	2	3
264	и без	3	3
265	тем же	2	3
266	вместе с	8	3
267	в отношении	6	2
268	своему происхождению	2	2
269	которых не	2	2
270	для всех	5	2
271	вслед за	4	2
272	каждый из	3	2
273	в каждом	2	2
274	едва ли	16	2
275	друг друга	2	2
276	за счет	3	2
277	с достаточной	4	2
278	художественного мышления	4	2
279	из трех	2	2
280	в любви	2	2
281	о которых	6	2
282	представления о	2	2
283	в чем	3	2
284	всего в	5	2
285	не являются	2	2
286	мы видели	2	2
287	действующих лиц	8	2
288	к нему	5	2
289	с самого	3	2
290	в г	28	2
291	или по	3	2
292	собой и	2	2
293	случая и	2	2
294	так в	6	2
295	ответ на	2	2
296	большинстве случаев	2	2
297	на ее	2	2
298	же не	2	2
299	речь идет	6	2
300	самого начала	2	2
301	все это	7	2
302	который в	2	2
303	же как	3	2
304	в честь	3	2
305	интерес к	2	2
306	чем по	2	2
307	вовсе не	3	2
308	бы то	4	2
309	и и	3	2
310	по поводу	7	2
311	представление о	3	2
312	это еще	2	2
313	хоть и	7	2
314	не могли	2	2
315	могла бы	2	2
316	до нас	9	2
317	право на	2	2
318	тех же	4	2
319	его с	2	2
320	х годов	5	2
321	в первой	2	2
322	что она	3	2
323	в новое	2	2
324	это было	5	2
325	к концу	3	2
326	могли быть	2	2
327	мы можем	6	2
328	на него	4	2
329	за ним	2	2
330	переходит к	2	2
331	целый ряд	2	2
332	если бы	4	2
333	ни было	4	2
334	для того	3	2
335	и их	3	2
336	с этой	3	2
337	такой же	2	2
338	отказаться от	2	2
339	не по	5	2
340	одновременно с	3	2
341	нас в	3	2
342	указания на	2	2
343	на этот	5	2
344	у него	6	2
345	из наиболее	2	2
346	ее в	2	2
347	на то	3	2
348	в самой	2	2
349	новое время	3	2
350	еще более	2	2
351	событий в	2	2
352	в и	3	2
353	под названием	2	2
354	видеть в	2	2
355	время и	3	2
356	и с	8	2
357	путь к	2	2
358	из которых	5	2
359	в настоящем	2	2
360	со своей	3	2
361	к их	2	2
362	и теперь	3	2
363	то ли	2	2
364	первого и	2	2
365	впрочем не	2	2
366	является не	2	2
367	по его	2	2
368	нельзя не	2	2
369	в нашем	2	2
370	в нескольких	2	2
371	восходят к	2	2
