N	3gram	Tiupa_Hudo	FransuaR
1	в то же	11	55
2	то же время	11	55
3	до сих пор	3	27
4	в том что	15	27
5	в этом отношении	4	20
6	но в то	3	20
7	с точки зрения	5	20
8	для того чтобы	2	17
9	о том что	14	17
10	в связи с	3	16
11	жизни и смерти	4	15
12	не может быть	5	13
13	с одной стороны	4	13
14	и в то	2	12
15	в данном случае	3	10
16	как и в	5	10
17	не только в	4	10
18	в значительной степени	3	10
19	по отношению к	15	9
20	в следующей главе	3	7
21	можно было бы	5	7
22	в самом деле	5	7
23	подобно тому как	4	7
24	о том как	4	7
25	это прежде всего	2	6
26	но все же	2	6
27	то же самое	3	5
28	в первом случае	2	5
29	как бы в	2	5
30	вместо того чтобы	2	5
31	в это время	2	5
32	как раз в	2	5
33	не было ни	2	5
34	и в самом	4	4
35	связи с этим	2	4
36	так же как	2	4
37	во второй половине	2	4
38	не только для	2	4
39	том что в	4	4
40	но и для	2	3
41	это своего рода	2	3
42	содержит в себе	2	3
43	все же не	2	3
44	так и не	3	3
45	не только не	3	3
46	мы уже отмечали	3	3
47	на этом свете	2	3
48	в предыдущей главе	3	3
49	и в этом	3	3
50	друг от друга	2	3
51	по своей природе	2	2
52	к себе самому	2	2
53	то что было	2	2
54	к жизни и	3	2
55	в третьей главе	2	2
56	в конечном счете	4	2
57	так и от	2	2
58	но при этом	3	2
59	мы уже знаем	2	2
60	же как и	2	2
61	самом деле в	2	2
62	что у него	2	2
63	мы узнаем что	2	2
