N	3gram	Propp_Isto	Problemy
1	по отношению к	2	18
2	не может быть	6	14
3	до сих пор	7	10
4	с другой стороны	10	9
5	друг с другом	2	8
6	в том что	4	8
7	и т д	36	7
8	подобно тому как	2	5
9	но все же	6	5
10	тем не менее	6	4
11	он не может	2	4
12	о том что	5	4
13	так и в	2	4
14	как и в	4	4
15	и то же	2	3
16	как мы видели	2	3
17	в то время	3	3
18	в данном случае	2	3
19	на то что	3	3
20	как мы увидим	4	3
21	одно и то	2	3
22	на этот вопрос	2	3
23	т е в	6	3
24	то время как	3	3
25	в этом случае	13	3
26	тем что он	3	3
27	что и в	3	2
28	же как и	4	2
29	этой точки зрения	2	2
30	то что он	2	2
31	но это не	2	2
32	не только в	2	2
33	в нем и	3	2
34	вместе с тем	7	2
35	для того чтобы	3	2
36	в этих случаях	7	2
