N	2gram	Ircho_Kome	Narrotol
1	не только	13	62
2	и не	28	50
3	при этом	11	47
4	но и	18	45
5	а не	5	38
6	в качестве	4	35
7	в частности	4	31
8	может быть	14	30
9	и в	37	30
10	в том	24	29
11	том что	22	28
12	в этом	18	28
13	а в	12	27
14	такого рода	2	26
15	состоит в	2	25
16	представляет собой	5	25
17	только в	3	25
18	как и	10	24
19	не в	7	23
20	то что	5	23
21	не может	9	20
22	в себе	4	17
23	так и	4	17
24	а также	3	17
25	со стороны	16	16
26	в его	12	16
27	но в	7	15
28	к тому	11	15
29	и его	10	14
30	в своем	9	13
31	в своей	6	13
32	то же	14	13
33	времени и	2	13
34	у него	10	13
35	о том	21	13
36	все же	9	12
37	прежде всего	7	12
38	как в	4	12
39	как бы	7	12
40	по отношению	6	11
41	к себе	9	11
42	и тем	4	11
43	отличие от	5	11
44	об этом	12	11
45	в нем	8	11
46	в этой	7	11
47	если бы	18	11
48	отношению к	4	11
49	в отличие	3	11
50	в мире	2	11
51	хотя и	6	11
52	никогда не	5	10
53	всего лишь	2	10
54	в то	14	10
55	ничего не	6	10
56	как это	5	10
57	один из	6	10
58	точки зрения	8	10
59	не является	5	10
60	и все	6	10
61	но не	9	10
62	тому же	11	10
63	между тем	6	10
64	с его	6	10
65	еще не	10	9
66	что он	15	9
67	что в	11	9
68	отнюдь не	5	9
69	тем не	3	9
70	далеко не	3	9
71	столь же	5	9
72	потому что	19	9
73	с ним	10	9
74	как раз	9	9
75	о чем	11	8
76	самом деле	13	8
77	но при	2	8
78	не менее	9	8
79	того чтобы	9	8
80	мы имеем	4	8
81	и он	5	8
82	у нее	2	8
83	этом отношении	2	8
84	действующих лиц	7	8
85	и для	7	8
86	в самом	17	8
87	и к	4	8
88	в той	2	8
89	же время	12	8
90	в таком	2	8
91	он не	11	8
92	не мог	2	8
93	в свою	12	7
94	это не	3	7
95	при всей	2	7
96	в конце	14	7
97	едва ли	16	7
98	в чем	7	7
99	в ней	7	7
100	одного из	4	7
101	на себя	10	7
102	в целом	4	7
103	в ее	3	7
104	же в	3	7
105	в силу	2	7
106	в глазах	10	7
107	с другой	5	7
108	в котором	6	7
109	и на	6	7
110	одной стороны	4	6
111	вплоть до	2	6
112	в детстве	2	6
113	они не	2	6
114	во втором	2	6
115	ответ на	7	6
116	не могла	3	6
117	однако в	5	6
118	между двумя	2	6
119	что и	12	6
120	о ней	2	6
121	представляют собой	3	6
122	например в	3	6
123	сказать что	4	6
124	никак не	2	6
125	из этих	2	6
126	здесь не	2	6
127	в результате	2	6
128	на него	6	6
129	не по	7	6
130	с одной	5	6
131	что у	2	6
132	на то	3	6
133	в конечном	2	6
134	к его	4	6
135	все что	6	6
136	в случае	2	6
137	таким образом	16	6
138	том как	5	5
139	в другом	2	5
140	и у	4	5
141	не всегда	2	5
142	дело с	4	5
143	и о	3	5
144	о любви	3	5
145	а для	2	5
146	к нему	8	5
147	может служить	2	5
148	между собой	5	5
149	не столько	3	5
150	исходя из	2	5
151	было бы	7	5
152	мы не	6	5
153	свою очередь	10	5
154	я не	4	5
155	и здесь	11	5
156	да и	3	5
157	и от	3	5
158	в начале	5	5
159	тем более	9	5
160	себя в	3	5
161	и даже	6	5
162	в центре	2	5
163	стало быть	2	5
164	только что	11	5
165	для того	9	5
166	в пределах	3	5
167	в какой	4	5
168	его жизни	2	5
169	не случайно	3	5
170	за пределами	3	5
171	их в	3	5
172	в своих	4	5
173	если не	7	5
174	из них	11	5
175	в одном	3	5
