N	2gram	Voloshinov	StatiiOP
1	и в	16	103
2	в том	3	89
3	том что	3	77
4	в этом	9	76
5	что в	3	74
6	не только	7	60
7	о том	2	47
8	но и	4	46
9	то что	3	44
10	что он	2	42
11	в его	4	42
12	и не	4	41
13	может быть	17	38
14	было бы	2	32
15	в этой	4	31
16	все это	4	29
17	таким образом	9	28
18	а в	3	27
19	но в	4	26
20	что это	2	25
21	так и	4	25
22	и его	8	24
23	точки зрения	8	23
24	в области	3	22
25	прежде всего	9	22
26	и пр	12	21
27	до сих	3	20
28	сих пор	3	19
29	в своей	2	19
30	только в	4	19
31	не может	8	18
32	он не	2	18
33	самом деле	6	17
34	в самом	2	17
35	как бы	5	17
36	с этим	2	16
37	сказать что	7	16
38	в этих	3	16
39	как и	2	15
40	для него	6	15
41	из этих	2	15
42	и на	4	15
43	у него	2	15
44	то же	2	14
45	с точки	6	14
46	но это	2	13
47	в нем	4	13
48	во всяком	3	13
49	всяком случае	3	13
50	жизни и	3	13
51	вместе с	3	13
52	не менее	2	12
53	так как	4	12
54	хотя бы	4	12
55	ни в	5	12
56	никогда не	2	11
57	и с	8	11
58	в них	2	11
59	все эти	5	11
60	и по	2	11
61	на самом	4	10
62	в каком	2	10
63	так же	2	10
64	в частности	2	10
65	что и	2	10
66	в начале	2	10
67	во всех	3	10
68	что такое	5	10
69	в чем	5	9
70	во время	3	9
71	можно сказать	4	9
72	в одном	3	9
73	с этой	2	9
74	и для	2	9
75	и к	6	9
76	для нас	2	9
77	что мы	2	9
78	и это	6	9
79	могут быть	3	8
80	отношение к	5	8
81	и др	3	8
82	в общем	3	8
83	к этому	2	8
84	и даже	4	8
85	но ведь	2	8
86	совершенно не	8	8
87	и о	2	8
88	того же	2	7
89	как это	3	7
90	с самого	4	7
91	кажется что	2	7
92	еще не	5	7
93	можно назвать	2	7
94	и все	4	6
95	по крайней	3	6
96	что на	2	6
97	же как	2	6
98	и вообще	2	6
99	с его	7	6
100	крайней мере	3	6
101	мы не	2	6
102	в жизни	2	6
103	этом смысле	3	6
104	говорить о	2	6
105	его в	4	5
106	даже не	3	5
107	в свое	2	5
108	и потому	3	5
109	если б	3	5
110	что не	2	5
111	один из	2	5
112	при этом	6	5
113	не на	2	5
114	самого начала	4	5
115	на протяжении	2	5
116	нет и	2	5
117	вообще не	2	5
118	ее в	2	5
119	оно не	2	5
120	конечно не	6	5
121	и только	9	5
122	не могут	2	4
123	на этом	3	4
124	что оно	2	4
125	в развитии	2	4
126	не знает	2	4
127	но как	2	4
128	они не	2	4
129	а потому	4	4
130	с нею	2	4
131	мы видим	2	4
132	на язык	3	4
133	как мы	4	4
134	для этого	2	4
135	за пределы	2	4
136	есть в	2	4
137	и их	4	4
138	и так	2	4
139	все что	4	4
140	связанные с	2	4
141	меньше всего	2	4
142	не существует	2	4
143	а на	2	4
144	в основе	3	4
145	при всей	2	3
146	и наконец	4	3
147	связанных с	2	3
148	и других	2	3
149	быть это	3	3
150	в одно	2	3
151	нет никаких	2	3
152	и вся	2	3
153	и как	3	3
154	в голову	2	3
155	почти не	2	3
156	на них	2	3
157	совсем не	2	3
158	не будет	2	3
159	себя и	2	3
160	и ее	4	3
161	во всей	2	3
162	со всеми	2	3
163	их в	3	3
164	я и	6	3
165	в один	4	3
166	отношения к	3	3
167	на основе	2	3
168	с помощью	2	3
169	это делает	2	2
170	таким путем	2	2
171	никаких оснований	3	2
172	для всех	4	2
173	и говорить	2	2
174	нуждается в	5	2
175	да еще	2	2
176	едва ли	3	2
177	и таким	2	2
178	мы знаем	3	2
179	по своему	2	2
180	и этот	2	2
181	из сказанного	2	2
182	и оно	3	2
183	на этой	3	2
184	не существовало	2	2
185	и она	3	2
186	что можно	2	2
187	ту же	2	2
188	цели и	2	2
189	между собой	2	2
190	и этим	2	2
191	и может	4	2
192	но зато	2	2
193	тех же	3	2
194	всю жизнь	2	2
195	поэтому и	2	2
196	с ее	4	2
197	этих трех	2	2
198	и вот	3	2
199	и лишь	2	2
200	ни было	2	2
201	между собою	2	2
202	чем не	3	2
203	в пределах	2	2
204	с историей	2	2
205	своей жизни	2	2
206	те же	3	2
207	протяжении всей	2	2
208	и теперь	3	2
209	как не	2	2
210	с их	3	2
211	художественного творчества	4	2
