N	2gram	Tiupa_Narr	EvropaiC
1	в том	18	31
2	и в	19	24
3	том что	14	20
4	все эти	2	19
5	не может	10	18
6	то что	11	18
7	может быть	25	17
8	все же	7	15
9	точки зрения	10	14
10	в этом	17	13
11	в своем	2	12
12	самом деле	2	12
13	между тем	3	12
14	по отношению	7	11
15	но и	23	11
16	отношению к	6	11
17	не только	32	10
18	так и	9	10
19	как и	7	10
20	как бы	4	10
21	в результате	2	9
22	и не	20	9
23	не в	14	9
24	что в	3	9
25	и все	2	9
26	при этом	9	9
27	так же	2	8
28	из этих	3	8
29	или менее	2	8
30	к тому	7	8
31	более или	2	8
32	с точки	2	8
33	в силу	4	7
34	по своей	3	7
35	что он	6	7
36	того что	2	7
37	не менее	3	7
38	о том	6	7
39	приобщение к	2	7
40	в этой	5	7
41	по существу	2	7
42	в мире	9	6
43	отличается от	4	6
44	только в	4	6
45	еще не	7	6
46	что касается	2	6
47	в то	3	6
48	должна быть	2	6
49	и для	2	6
50	с другой	8	6
51	и на	3	6
52	несмотря на	2	6
53	тогда как	12	6
54	тому же	5	6
55	его в	2	5
56	но все	4	5
57	в себе	8	5
58	как к	2	5
59	из них	3	5
60	что это	3	5
61	так или	2	5
62	у него	4	5
63	далеко не	5	5
64	но в	6	5
65	столь же	3	5
66	именно в	6	5
67	или иначе	3	5
68	и с	4	5
69	другой стороны	4	5
70	не будет	3	5
71	между двумя	5	5
72	в его	9	5
73	как будто	3	5
74	никогда не	3	4
75	хотя бы	4	4
76	то ни	3	4
77	тем не	3	4
78	отношение к	2	4
79	и т.д	7	4
80	иначе говоря	6	4
81	та же	2	4
82	то же	4	4
83	в области	2	4
84	а с	3	4
85	одним из	2	4
86	совершенно не	2	4
87	то они	2	4
88	между собой	2	4
89	и сейчас	2	4
90	не есть	3	4
91	из которых	4	4
92	что мы	2	4
93	связи с	4	4
94	в таком	2	4
95	он не	3	4
96	хотя и	3	4
97	даже в	2	3
98	данном случае	4	3
99	тем самым	6	3
100	это не	2	3
101	и потому	2	3
102	что по	2	3
103	и до	2	3
104	тем более	2	3
105	каждый из	2	3
106	ни было	3	3
107	в связи	2	3
108	прежде всего	4	3
109	отличие от	5	3
110	с одной	7	3
111	как известно	2	3
112	одно из	2	3
113	но не	6	3
114	в данном	5	3
115	а в	11	3
116	бы то	3	3
117	в нем	4	3
118	в ней	3	3
119	не то	2	3
120	же не	4	3
121	может не	3	3
122	было бы	4	3
123	же как	3	3
124	и того	2	3
125	как мы	3	3
126	одна из	3	2
127	все то	2	2
128	не от	2	2
129	то в	6	2
130	независимо от	2	2
131	но как	2	2
132	одну из	2	2
133	и ее	2	2
134	то есть	19	2
135	свою очередь	3	2
136	на него	3	2
137	на первый	2	2
138	не было	2	2
139	из двух	3	2
140	в частности	14	2
141	что они	3	2
142	точку зрения	4	2
143	для него	2	2
144	есть в	2	2
145	ни для	7	2
146	не имеет	2	2
147	совершенно иной	2	2
148	что у	2	2
149	к нему	5	2
150	она не	2	2
151	на том	3	2
152	они не	2	2
153	те же	4	2
154	во втором	4	2
155	в свою	3	2
156	что на	2	2
157	одной стороны	7	2
158	между ними	2	2
159	отнюдь не	5	2
160	жизни и	3	2
161	сводится к	3	2
162	говорить о	2	2
163	в общей	2	2
164	себя и	2	2
165	и его	5	2
166	в сущности	3	2
167	же время	4	2
168	и только	2	2
169	с ее	3	2
170	во всей	2	2
171	этого слова	2	2
172	в себя	6	2
173	имеет место	4	2
174	в основе	5	2
