N	3gram	Vygotskiy_	Russkaja
1	друг с другом	10	14
2	с точки зрения	12	9
3	в том что	33	7
4	для того чтобы	20	6
5	во всяком случае	2	6
6	на самом деле	3	6
7	до сих пор	3	5
8	на то что	5	4
9	к тому чтобы	4	4
10	не может быть	4	4
11	вместе с тем	4	3
12	в этом случае	5	3
13	в конце концов	2	3
14	в лучшем случае	3	3
15	в данном случае	3	3
16	и то что	6	3
17	можно было бы	8	3
18	и не может	3	3
19	не может не	3	3
20	к тому что	5	2
21	что он не	3	2
22	и тем самым	3	2
23	в другом случае	2	2
24	только в том	2	2
25	о том что	7	2
26	в настоящее время	2	2
27	сама по себе	4	2
28	друг от друга	5	2
29	и в другом	3	2
