N	2gram	Tiupa_Teor	Freidism
1	и не	17	34
2	таким образом	3	34
3	точки зрения	11	31
4	не может	8	30
5	– это	33	29
6	может быть	22	28
7	и в	24	28
8	в этом	12	28
9	прежде всего	3	26
10	в его	12	25
11	и его	11	22
12	как бы	8	19
13	– в	20	17
14	то что	6	17
15	вовсе не	3	16
16	с точки	3	15
17	все эти	3	15
18	самом деле	2	14
19	так и	14	14
20	в своей	8	14
21	во всех	3	13
22	в душе	9	13
23	но в	12	13
24	как и	6	13
25	по отношению	10	13
26	и потому	3	12
27	том что	11	12
28	– не	4	12
29	то же	12	12
30	что он	4	12
31	ни в	5	12
32	в самом	7	12
33	для него	5	12
34	все это	2	12
35	во внешнем	2	12
36	сказать что	4	11
37	его в	4	11
38	отношению к	10	11
39	только в	9	11
40	никогда не	4	10
41	за пределы	2	10
42	не только	24	10
43	но и	14	10
44	не в	9	10
45	он не	5	10
46	в том	20	10
47	один из	2	10
48	могут быть	5	9
49	и др	3	9
50	к нему	2	9
51	в чем	2	9
52	уже не	6	9
53	и на	2	9
54	а не	14	9
55	с его	6	9
56	– только	3	8
57	– все	3	8
58	и вот	3	8
59	еще не	6	8
60	с другими	6	8
61	а в	15	8
62	на этом	2	8
63	при этом	20	8
64	в каком	2	7
65	не могут	2	7
66	в жизни	3	7
67	в то	9	7
68	в себе	14	7
69	что в	10	7
70	и ее	4	7
71	– и	2	7
72	и для	3	7
73	отношение к	7	7
74	быть и	2	7
75	роль в	3	7
76	я и	2	7
77	не является	5	7
78	того что	5	7
79	но не	13	7
80	об этом	2	7
81	в нем	7	7
82	если мы	2	7
83	и к	3	7
84	и прежде	2	7
85	– с	8	7
86	в этой	3	7
87	мы имеем	7	6
88	из этих	3	6
89	человека и	2	6
90	не менее	6	6
91	для того	5	6
92	в таком	3	6
93	и о	5	6
94	в пределах	5	6
95	– как	2	6
96	к тому	4	6
97	что такое	2	6
98	можно сказать	5	6
99	в свою	4	6
100	как раз	3	6
101	и что	4	6
102	же время	8	6
103	в основе	6	6
104	со стороны	6	5
105	внешней речи	2	5
106	что она	2	5
107	с их	2	5
108	в которой	3	5
109	и по	3	5
110	во второй	7	5
111	между ними	6	5
112	в этих	4	5
113	как это	10	5
114	что может	2	5
115	не знает	4	5
116	внутренней речи	13	5
117	что и	2	5
118	ее в	2	5
119	тому что	2	5
120	далеко не	4	5
121	в большинстве	2	5
122	это не	4	5
123	отнюдь не	3	5
124	в следующей	2	5
125	того чтобы	5	5
126	в ее	6	5
127	с ними	2	5
128	говорить о	4	5
129	заключается в	2	5
130	в себя	5	5
131	вместе с	2	5
132	данном случае	5	4
133	так же	2	4
134	в области	7	4
135	с ее	4	4
136	в другом	4	4
137	тем не	3	4
138	внутренней и	2	4
139	если бы	3	4
140	таком случае	2	4
141	внешнем мире	2	4
142	в виду	5	4
