N	2gram	Losev_Prob	Sotsiolo
1	все это	9	7
2	в том	35	5
3	в этом	25	5
4	для нас	23	3
5	как же	3	3
6	не только	33	3
7	и только	10	3
8	в его	10	3
9	но ведь	2	3
10	не в	21	3
11	и в	62	3
12	литературы и	2	2
13	это и	11	2
14	она может	2	2
15	дело не	4	2
16	еще не	12	2
17	только в	33	2
18	что в	11	2
19	тем более	8	2
20	в частности	4	2
21	том что	25	2
22	было бы	14	2
23	таким образом	13	2
24	в смысле	2	2
25	то же	23	2
26	только как	3	2
27	как будто	11	2
28	и что	9	2
29	конце концов	4	2
30	как только	3	2
31	исторического развития	2	2
32	то что	42	2
33	как бы	11	2
34	но и	20	2
35	в конце	7	2
36	за пределы	6	2
37	или даже	6	2
38	может быть	39	2
39	по существу	2	2
40	в результате	8	2
