N	3gram	Bakhtin_sl	Narrotol
1	в том что	4	18
2	в данном случае	3	17
3	не только в	3	13
4	по отношению к	2	11
5	в отличие от	12	11
6	о том что	2	9
7	в то же	15	8
8	той или иной	13	8
9	тем не менее	2	8
10	в этом отношении	2	8
11	то же время	15	8
12	не может быть	11	8
13	с одной стороны	7	6
14	в известном смысле	2	6
15	но и в	2	5
16	в свою очередь	3	5
17	к тому что	2	4
18	во всяком случае	7	4
19	в первом случае	2	3
20	и не может	2	3
21	того или иного	2	3
22	в связи с	2	3
23	с точки зрения	11	3
24	а также и	3	3
25	до сих пор	4	3
26	в зависимости от	4	3
27	одно и то	2	2
28	и то же	2	2
29	не только не	2	2
30	более или менее	5	2
31	своего и чужого	4	2
32	с установкой на	4	2
33	но и здесь	3	2
34	можно было бы	2	2
35	чужого слова в	5	2
36	не только на	2	2
37	и т п	49	2
38	а между тем	2	2
39	и в то	6	2
40	и чужого слова	2	2
41	в той или	12	2
