N	3gram	Bakhtin_Fr	Freidism
1	с точки зрения	4	15
2	не может быть	2	14
3	по отношению к	2	11
4	в том что	2	9
5	во всяком случае	2	8
6	как мы видели	4	8
7	и прежде всего	3	7
8	в то же	13	6
9	может быть и	2	6
10	то же время	13	6
11	в большинстве случаев	3	5
12	можно сказать что	2	5
13	как мы уже	8	5
14	мы уже указывали	2	4
15	в этом отношении	4	4
16	это вовсе не	2	4
17	в данном случае	3	4
18	на самом деле	5	4
19	и до конца	8	4
20	в свою очередь	2	4
21	все то что	2	3
22	и той же	2	3
23	но в то	7	3
24	и тот же	3	3
25	о том что	3	3
26	один и тот	3	3
27	для того чтобы	5	3
28	только то что	2	3
29	узком смысле слова	2	3
30	до сих пор	6	3
31	одной и той	2	3
32	не дает нам	2	2
33	его отношение к	2	2
34	вовсе не в	2	2
35	в отличие от	3	2
36	в конце концов	3	2
37	с одной стороны	4	2
38	а также и	4	2
39	в узком смысле	2	2
40	в его целом	3	2
41	это и есть	2	2
