N	2gram	Tiupa_Narr	Freidism
1	и не	20	34
2	точки зрения	10	31
3	не может	10	30
4	может быть	25	28
5	и в	19	28
6	в этом	17	28
7	прежде всего	4	26
8	в его	9	25
9	и его	5	22
10	как бы	4	19
11	как мы	3	18
12	то что	11	17
13	точка зрения	6	15
14	с точки	2	15
15	все эти	2	15
16	самом деле	2	14
17	так и	9	14
18	и все	2	13
19	но в	6	13
20	как и	7	13
21	по отношению	7	13
22	точку зрения	4	12
23	и потому	2	12
24	том что	14	12
25	то же	4	12
26	что он	6	12
27	ни в	3	12
28	для него	2	12
29	во внешнем	2	12
30	сказать что	4	11
31	его в	2	11
32	отношению к	6	11
33	только в	4	11
34	никогда не	3	10
35	и с	4	10
36	все те	4	10
37	не только	32	10
38	но и	23	10
39	не в	14	10
40	он не	3	10
41	в том	18	10
42	один из	3	10
43	могут быть	3	9
44	те же	4	9
45	совершенно не	2	9
46	и др	2	9
47	к нему	5	9
48	уже не	5	9
49	и на	3	9
50	а не	12	9
51	с его	6	9
52	все же	7	8
53	было бы	4	8
54	еще не	7	8
55	а в	11	8
56	в ней	3	8
57	при этом	9	8
58	в то	3	7
59	в себе	8	7
60	что в	3	7
61	и ее	2	7
62	хотя бы	4	7
63	и для	2	7
64	отношение к	2	7
65	роль в	2	7
66	не является	8	7
67	того что	2	7
68	на протяжении	6	7
69	его жизни	2	7
70	но не	6	7
71	в нем	4	7
72	из них	3	7
73	жизни и	3	7
74	в этой	5	7
75	одно из	2	6
76	мы имеем	2	6
77	из этих	3	6
78	не менее	3	6
79	в таком	2	6
80	и только	2	6
81	в пределах	2	6
82	она не	2	6
83	к тому	7	6
84	можно сказать	5	6
85	в свою	3	6
86	зрения на	2	6
87	как раз	2	6
88	же время	4	6
89	в основе	5	6
90	что это	3	5
91	ничего не	2	5
92	со стороны	9	5
93	во второй	2	5
94	на первый	2	5
95	между ними	2	5
96	как это	6	5
97	далеко не	5	5
98	это не	2	5
99	отнюдь не	5	5
100	не было	2	5
101	в ее	3	5
102	он сам	2	5
103	и до	2	5
104	говорить о	2	5
105	в себя	6	5
106	данном случае	4	4
107	человека в	2	4
108	одна из	3	4
109	так же	2	4
110	в области	2	4
111	в собственном	2	4
112	с ее	3	4
113	тем не	3	4
114	на него	3	4
115	этом отношении	3	4
116	таком случае	2	4
117	не всегда	2	4
118	свою очередь	3	4
119	у него	4	4
120	как в	7	4
121	между собой	2	4
122	в своем	2	4
123	именно в	6	4
124	и т.п	8	4
125	не существует	3	4
126	по себе	5	4
127	нет и	2	4
128	себя и	2	4
129	то ни	3	4
130	это и	3	4
131	в данном	5	4
132	сводится к	3	4
133	все то	2	3
134	читателя в	2	3
135	независимо от	2	3
136	жизни в	3	3
137	нуждается в	5	3
138	конечном счете	2	3
139	в результате	2	3
140	к себе	5	3
141	и даже	3	3
142	и тот	2	3
143	и как	5	3
144	одним из	2	3
145	в какой	2	3
146	от всех	2	3
147	о том	6	3
148	они не	2	3
149	оно может	2	3
150	в конечном	3	3
151	оно не	2	3
152	на себя	3	3
153	приводит к	2	3
154	что мы	2	3
155	уже в	3	3
156	себя в	5	3
157	между двумя	5	3
158	говорит о	2	3
159	когда он	3	3
160	и есть	2	3
161	во всей	2	3
162	во втором	4	3
163	между тем	3	3
164	себе самом	2	3
165	бы то	3	3
166	да и	4	2
167	или иной	5	2
168	когда мы	2	2
169	а также	7	2
170	то в	6	2
171	время в	2	2
172	такого рода	7	2
173	не как	2	2
174	отличается от	4	2
175	в отличие	5	2
176	как к	2	2
177	и тем	4	2
178	матери и	4	2
179	ни было	3	2
180	может оказаться	2	2
181	а именно	3	2
182	то она	2	2
183	всей его	2	2
184	обратимся к	3	2
185	жизни а	2	2
186	отличие от	5	2
187	с одной	7	2
188	должна быть	2	2
189	а с	3	2
190	о нем	4	2
191	в мире	9	2
192	в прошлом	3	2
193	не имеет	2	2
194	не есть	3	2
195	с другой	8	2
196	они и	2	2
197	зависит от	2	2
198	матери или	2	2
199	но все	4	2
200	одной стороны	7	2
201	из которых	4	2
202	представляет собой	13	2
203	но как	2	2
204	не то	2	2
205	мог бы	3	2
206	на другой	2	2
207	не отличается	2	2
208	жизни но	2	2
209	то или	3	2
210	же как	3	2
211	в качестве	21	2
212	только о	2	2
213	в первом	3	2
214	отношения к	2	2
215	без исключения	2	2
216	совершенно иной	2	2
217	мира в	5	2
218	поведения в	2	2
219	или иное	2	2
220	будто бы	3	2
