N	2gram	Propp_Isto	OGranits
1	и в	44	13
2	и его	15	12
3	прежде всего	7	9
4	и не	19	8
5	не может	10	8
6	может быть	31	8
7	в его	16	7
8	и пр	6	7
9	точки зрения	3	7
10	не только	17	6
11	мы должны	7	6
12	как бы	4	6
13	таким образом	21	6
14	только в	8	6
15	то что	16	6
16	все же	17	5
17	и наконец	2	5
18	хотя бы	2	5
19	мы можем	6	4
20	еще и	2	4
21	но в	7	4
22	лишь в	2	4
23	то же	9	4
24	но мы	5	4
25	в своей	3	4
26	все это	4	4
27	было бы	2	4
28	мы не	6	4
29	никогда не	5	3
30	одно и	2	3
31	и для	3	3
32	и то	5	3
33	и все	4	3
34	в ее	4	3
35	превращается в	10	3
36	с этим	7	3
37	при анализе	2	3
38	отношению к	2	3
39	и уже	2	3
40	как и	12	3
41	в пределах	5	3
42	не в	11	3
43	так как	19	3
44	поставить вопрос	2	3
45	что в	18	3
46	по отношению	2	3
47	но для	4	3
48	самом деле	2	3
49	так и	9	3
50	в которой	4	3
51	не как	5	3
52	в одном	2	3
53	тела и	2	3
54	здесь мы	7	3
55	но и	16	3
56	могут быть	9	2
57	может иметь	2	2
58	мы видим	12	2
59	в этом	20	2
60	в них	3	2
61	данном случае	2	2
62	в книге	3	2
63	уже в	4	2
64	в том	13	2
65	тем что	12	2
66	есть не	2	2
67	несмотря на	3	2
68	в целом	4	2
69	если бы	5	2
70	от этого	6	2
71	думать что	2	2
72	с одной	7	2
73	не имеет	4	2
74	роль в	3	2
75	и др	6	2
76	но так	3	2
77	ее в	8	2
78	с другой	11	2
79	там где	11	2
80	а в	9	2
81	и тем	7	2
82	том что	12	2
83	а как	3	2
84	а также	5	2
85	и к	3	2
86	в связи	6	2
87	в данном	3	2
88	не менее	6	2
89	с ними	4	2
90	все эти	11	2
91	что эта	2	2
92	связанные с	5	2
93	так же	14	2
94	что они	3	2
95	мы уже	6	2
96	героя и	3	2
97	и при	3	2
98	с этой	4	2
99	и может	2	2
100	в своих	4	2
101	его на	5	2
102	в нем	10	2
103	в тех	4	2
104	при этом	4	2
105	а не	5	2
106	в ней	8	2
107	себе что	2	2
108	входит в	5	2
109	еще в	2	2
110	в течение	2	2
111	как в	11	2
112	другой стороны	10	2
113	во всем	4	2
114	мог бы	2	2
115	их функций	2	2
116	одной стороны	7	2
117	в целях	3	2
118	в другом	2	2
119	вовсе не	6	2
120	в этот	2	2
121	не мог	3	2
122	в которую	2	2
123	для него	2	2
