N	2gram	Berdyaev_N	VelikijI
1	во имя	15	32
2	и не	11	20
3	и в	16	16
4	свободы и	2	12
5	то что	4	9
6	к богу	2	8
7	еще не	3	8
8	в истории	3	8
9	от бога	6	8
10	и потому	4	7
11	а не	17	7
12	не есть	3	6
13	человека и	3	6
14	в мире	3	5
15	бога и	3	5
16	но и	3	5
17	все это	5	5
18	хотя и	2	5
19	что все	2	4
20	и все	4	4
21	как и	7	4
22	потому что	4	4
23	в нем	5	4
24	в ней	5	4
25	в этом	7	4
26	и есть	10	4
27	так и	2	4
28	никогда не	6	3
29	в жизни	5	3
30	что в	9	3
31	в том	8	3
32	и для	4	3
33	не имеет	4	3
34	всемирной истории	2	3
35	но в	2	3
36	к тому	3	3
37	ни в	6	3
38	но это	6	3
39	должно быть	4	3
40	хотя бы	2	3
41	в своей	3	3
42	во всех	3	3
43	свободы от	2	3
44	имя свободы	3	3
45	в них	4	3
46	жизни и	8	3
47	как не	8	3
48	и мы	4	3
49	не было	4	3
50	лишь в	6	3
51	и что	2	3
52	не в	6	3
53	все эти	2	3
54	должна быть	3	3
55	с его	6	3
56	к вечности	2	3
57	с тем	3	2
58	одна из	2	2
59	но не	2	2
60	нет и	2	2
61	в прошлом	3	2
62	не могли	2	2
63	и это	2	2
64	это не	4	2
65	не только	5	2
66	а в	2	2
67	том что	2	2
68	мир и	2	2
69	истории и	9	2
70	государства и	4	2
71	жизни все	2	2
72	божественной жизни	2	2
73	уже не	2	2
74	нем нет	2	2
75	могут быть	2	2
76	не к	2	2
77	в духе	3	2
78	не будет	7	2
79	того чтобы	2	2
80	духа и	3	2
81	вот почему	2	2
82	мы не	2	2
83	конечно не	3	2
84	можно было	2	2
85	люди не	2	2
86	прежде всего	4	2
87	будет уже	2	2
