N	2gram	Nazirov_Vr	Tvorches
1	у достоевского	4	91
2	и в	8	56
3	как бы	4	41
4	в его	3	37
5	в романе	6	34
6	в то	5	30
7	достоевского в	7	27
8	м м	2	26
9	то же	5	25
10	не только	9	24
11	но в	6	24
12	в году	18	24
13	же время	5	24
14	и его	3	23
15	и не	5	23
16	а в	2	23
17	как и	6	23
18	достоевского не	4	22
19	в этом	8	22
20	в том	3	21
21	из подполья	3	21
22	что в	7	21
23	том что	3	19
24	он не	3	19
25	может быть	4	19
26	у него	5	18
27	то что	7	18
28	что он	4	17
29	все это	4	17
30	таким образом	2	17
31	никогда не	2	16
32	достоевский не	3	16
33	достоевского с	9	16
34	при этом	4	16
35	не может	2	16
36	в бесах	10	16
37	но и	7	16
38	в этой	2	15
39	с его	3	15
40	но это	2	15
41	в мире	2	15
42	и с	6	15
43	это не	4	14
44	и даже	6	14
45	подпольного человека	4	14
46	достоевский в	8	14
47	там же	2	13
48	о том	4	13
49	в котором	6	12
50	все же	6	11
51	в своей	2	11
52	для него	2	11
53	отнюдь не	2	11
54	что достоевский	4	11
55	в конце	3	10
56	уже в	4	10
57	в русской	3	10
58	по нашему	3	10
59	и наказания	2	10
60	и достоевский	2	10
61	он сам	2	10
62	в свою	2	9
63	в нем	6	9
64	записки из	2	9
65	по мнению	2	9
66	человека в	3	9
67	наряду с	3	9
68	в своих	4	9
69	во многом	4	9
70	в черновиках	3	9
71	так же	4	8
72	в себе	2	8
73	не менее	2	8
74	тогда как	2	8
75	к этому	3	8
76	об этом	5	8
77	еще не	2	8
78	одним из	3	8
79	вместе с	2	8
80	достоевского и	7	7
81	достоевского к	3	7
82	молодого достоевского	2	7
83	в чем	3	7
84	и он	2	7
85	русской литературе	3	7
86	уже не	2	7
87	года в	7	7
88	его в	3	6
89	и далее	2	6
90	в повести	2	6
91	и все	7	6
92	место в	2	6
93	и ее	2	6
94	одна из	2	6
95	и как	3	6
96	в момент	2	6
97	с ним	4	6
98	начиная с	2	5
99	и у	3	5
100	том же	2	5
101	в своем	3	5
102	а с	2	5
103	в них	2	5
104	и это	2	5
105	роман достоевского	2	5
106	в истории	4	5
107	в россии	5	5
108	между тем	5	5
109	что у	3	5
110	что я	2	5
111	из них	2	5
112	я не	3	5
113	не было	5	5
114	апреля года	3	4
115	при помощи	2	4
116	что ж	2	4
117	марта года	3	4
118	в в	2	4
119	точки зрения	2	4
120	так в	2	4
121	в роман	2	4
122	же не	2	4
123	же как	2	4
124	считал что	3	4
125	х годов	4	4
126	о достоевском	2	4
127	тем что	3	4
128	его и	2	4
129	в дневнике	4	4
130	не мог	2	4
131	далеко не	3	4
132	достоевский и	8	4
133	с точки	2	4
134	но он	3	4
135	к себе	2	3
136	отношение к	2	3
137	пришел к	2	3
138	давно уже	3	3
139	г а	5	3
140	в виду	4	3
141	мы знаем	2	3
142	в него	2	3
143	достоевского он	2	3
144	сам достоевский	3	3
145	в ней	4	3
146	этот роман	2	3
147	а н	2	3
148	эти слова	3	3
149	года достоевский	3	3
150	его с	2	3
151	в начале	6	3
152	это в	2	3
153	в этот	3	3
154	страшной мести	3	3
155	неточку незванову	2	3
156	году в	2	3
157	достоевский писал	2	3
158	в письмах	2	3
159	несмотря на	4	3
160	и что	8	3
161	из повести	2	3
162	года он	3	3
163	тургенева что	2	2
164	но как	2	2
165	о чем	2	2
166	после этого	2	2
167	в петербург	3	2
168	о нем	6	2
169	достоевского о	3	2
170	тургенев и	4	2
171	права на	2	2
172	ответ на	2	2
173	в известном	2	2
174	году достоевский	2	2
175	у тургенева	11	2
176	ставрогина и	3	2
177	же в	2	2
178	связи с	3	2
179	в связи	3	2
180	он был	3	2
181	во время	2	2
182	рядом с	2	2
183	к достоевскому	6	2
184	в честь	2	2
185	в россию	4	2
186	и достоевского	9	2
187	в нашей	2	2
188	с князем	2	2
189	тургенев в	4	2
190	в виноградов	2	2
191	относился к	3	2
192	он писал	2	2
193	достоевский уже	3	2
194	и о	3	2
195	ставрогина в	4	2
196	в глазах	2	2
197	человека с	2	2
198	столь же	2	2
199	их в	2	2
200	в эту	2	2
201	с которым	2	2
202	время он	2	2
203	году и	2	2
204	и уже	3	2
205	этот момент	2	2
206	о которой	2	2
207	как раз	2	2
