N	2gram	Bakhtin_Fr	EvropaiE
1	и в	105	37
2	в отношении	7	32
3	в пределах	3	25
4	точки зрения	10	23
5	что в	4	21
6	не только	24	18
7	с точки	6	17
8	в то	5	16
9	хотя бы	2	15
10	то же	6	15
11	в своем	11	14
12	но в	16	14
13	но и	20	14
14	и не	34	14
15	же время	5	14
16	в этом	22	12
17	в том	17	11
18	в их	6	11
19	в области	10	11
20	так и	16	10
21	так же	2	9
22	в смысле	2	9
23	не может	9	9
24	в себе	7	9
25	прежде всего	26	9
26	только в	16	9
27	одной стороны	2	8
28	между тем	5	8
29	в ее	5	8
30	думать что	2	8
31	было бы	4	8
32	в своей	8	8
33	с одной	2	8
34	к тому	3	8
35	по своему	9	7
36	нам кажется	2	7
37	также и	3	7
38	с другой	3	7
39	как и	15	7
40	так как	11	7
41	между прочим	2	7
42	того что	3	7
43	том что	9	6
44	во всех	13	6
45	то есть	71	6
46	и даже	10	6
47	может быть	11	6
48	и на	25	6
49	того чтобы	3	6
50	для того	2	6
51	на то	2	6
52	то что	7	6
53	как бы	33	6
54	вовсе не	25	6
55	но не	7	5
56	и по	3	5
57	и потому	14	5
58	в той	5	5
59	как мы	12	5
60	не в	4	5
61	в частности	6	5
62	в течение	3	5
63	одной из	3	5
64	даже в	6	4
65	сказать что	12	4
66	или иной	5	4
67	во многих	2	4
68	можно сказать	4	4
69	культуры в	4	4
70	именно в	6	4
71	в процессе	2	4
72	в самом	7	4
73	но даже	2	4
74	в ней	7	4
75	для нас	5	4
76	несмотря на	5	4
77	мира в	3	4
78	к ней	2	4
79	той или	5	4
80	не на	2	4
81	никогда не	11	3
82	и от	3	3
83	и для	3	3
84	ни на	3	3
85	из всех	3	3
86	европейской культуры	3	3
87	о том	5	3
88	в общем	4	3
89	время в	3	3
90	можно было	4	3
91	мира и	4	3
92	бы ни	2	3
93	и к	7	3
94	мы можем	2	3
95	но на	3	3
96	из них	7	3
97	и прежде	4	3
98	во все	2	3
99	в них	13	3
100	всяком случае	2	3
101	место в	4	3
102	мы видели	3	3
103	что и	2	3
104	друг с	2	3
105	во второй	2	3
106	отметить что	2	3
107	там где	3	3
108	тем что	5	3
109	говорит о	2	3
110	этом отношении	5	3
111	не является	4	3
112	жизни в	8	3
113	потому что	6	3
114	в таком	2	3
115	и со	3	3
116	себе в	2	3
117	в применении	3	3
118	с другом	2	3
119	как в	6	3
120	связано с	2	3
121	как на	4	3
122	в известной	7	3
123	применении к	3	3
124	большинстве случаев	2	3
125	ее в	2	3
126	во всяком	2	3
127	дело в	2	3
128	известной степени	2	3
129	культуры но	4	2
130	есть в	6	2
131	представление о	2	2
132	на этот	3	2
133	в его	24	2
134	начиная с	2	2
135	в эту	6	2
136	меньшей степени	8	2
137	к нему	5	2
138	не могут	4	2
139	она не	2	2
140	а в	4	2
141	свои пределы	2	2
142	мы должны	2	2
143	и человеческой	3	2
144	идеологии и	3	2
145	его на	2	2
146	но как	3	2
147	далеко не	6	2
148	в своих	8	2
149	притом в	2	2
150	и еще	5	2
151	в большинстве	2	2
152	во многом	3	2
153	и с	8	2
154	бы в	2	2
155	этот вопрос	2	2
156	могут быть	4	2
157	по преимуществу	3	2
158	между ними	4	2
159	в значительной	9	2
160	по своей	3	2
161	и та	2	2
162	на язык	2	2
163	в одном	8	2
164	на них	3	2
165	и как	2	2
166	этой культуры	6	2
167	ко всему	2	2
168	целый ряд	2	2
169	которое в	2	2
170	для них	2	2
171	которого мы	2	2
172	в этих	6	2
173	жизни и	14	2
174	еще более	6	2
175	ссылаться на	3	2
176	в других	3	2
177	и других	6	2
178	мы видим	2	2
179	и во	6	2
180	и наконец	2	2
181	мира то	2	2
182	же в	4	2
183	второй половине	2	2
184	точка зрения	3	2
185	но именно	4	2
186	начало в	5	2
187	этот процесс	5	2
188	и все	7	2
189	влияние на	8	2
190	или в	2	2
191	наряду с	2	2
192	по сравнению	2	2
193	таким образом	5	2
194	в истории	5	2
195	он не	3	2
196	во всей	4	2
197	главным образом	6	2
198	сравнению с	2	2
199	и эта	5	2
200	не к	2	2
201	в этой	11	2
202	в некоторых	2	2
203	но с	2	2
204	в будущее	2	2
205	хотя и	4	2
206	в какой	2	2
207	и более	4	2
208	имеет место	2	2
209	культуры и	11	2
