N	2gram	Berdyaev_N	DiskursI
1	а не	17	60
2	может быть	7	56
3	не только	5	49
4	и в	16	49
5	как и	7	47
6	в том	8	44
7	и не	11	44
8	том что	2	40
9	в этом	7	38
10	в себе	2	37
11	но и	3	35
12	и т.п	2	32
13	но не	2	31
14	так и	2	28
15	но в	2	28
16	не может	16	27
17	как в	3	25
18	такого рода	2	24
19	еще не	3	23
20	прежде всего	4	19
21	в нем	5	19
22	в своей	3	19
23	в основе	3	18
24	с другой	3	17
25	в мире	3	17
26	роль в	2	15
27	то что	4	15
28	о том	4	15
29	это не	4	14
30	не в	6	14
31	не менее	4	14
32	одной стороны	2	14
33	ни к	2	14
34	с одной	2	14
35	и все	4	12
36	и на	2	12
37	что в	9	11
38	с его	6	11
39	не было	4	11
40	а в	2	10
41	в то	2	9
42	в них	4	9
43	уже не	2	9
44	себя в	2	9
45	к тому	3	8
46	потому что	4	8
47	хотя и	2	8
48	и даже	2	8
49	жизни в	3	8
50	он не	8	8
51	могут быть	2	7
52	и для	4	7
53	но это	6	7
54	другой стороны	2	7
55	лишь в	6	7
56	ни в	6	7
57	нового времени	12	7
58	никогда не	6	6
59	не знает	6	6
60	тому как	3	6
61	времени в	2	6
62	в истории	3	6
63	в ее	3	6
64	одна из	2	6
65	в эпоху	9	6
66	во всех	3	6
67	времени и	2	6
68	и потому	4	5
69	к ним	3	5
70	в прошлом	3	5
71	мира и	2	5
72	как будто	2	5
73	сказать что	3	5
74	но она	2	5
75	за пределы	3	5
76	с ее	5	5
77	на протяжении	2	5
78	подобно тому	3	5
79	не к	2	5
80	в ней	5	5
81	по своему	4	4
82	как это	2	4
83	и это	2	4
84	ни одна	2	4
85	к жизни	3	4
86	можно назвать	2	4
87	в наше	3	4
88	я не	2	4
89	наше время	4	4
90	есть в	2	4
91	в жизни	5	4
92	не есть	3	4
93	и к	5	4
94	зависит от	2	4
95	и есть	10	4
96	вопрос о	3	3
97	истории в	5	3
98	это и	2	3
99	в новом	2	3
100	стремится к	3	3
101	бытия в	2	3
102	она не	3	3
103	и было	2	3
104	для этого	2	3
105	все эти	2	3
106	мы не	2	3
107	более не	2	3
108	должна быть	3	3
109	и от	2	3
110	с этим	2	3
111	с их	2	3
112	хотя бы	2	3
113	как не	8	3
114	не имеет	4	3
115	к содержанию	2	3
116	жизни и	8	3
117	место в	2	3
118	и что	2	3
119	жизни не	3	3
120	вместе с	2	3
121	которых не	2	2
122	лицом к	3	2
123	не имеют	2	2
124	должно было	2	2
125	по существу	2	2
126	к вечности	2	2
127	в россии	3	2
128	переходе от	2	2
129	все это	5	2
130	который в	2	2
131	же как	2	2
132	нашего времени	2	2
133	не могли	2	2
134	том чтобы	2	2
135	должно быть	4	2
136	что она	2	2
137	в новое	3	2
138	это было	3	2
139	мысли и	2	2
140	обращение к	2	2
141	связаны с	2	2
142	такой же	2	2
143	том и	2	2
144	и должно	2	2
145	у него	2	2
146	новое время	4	2
147	и с	2	2
148	жизни как	2	2
149	но для	2	2
150	эпохи и	4	2
151	из ее	2	2
152	к лицу	3	2
