N	2gram	Vinokur_Vv	Problema
1	и в	35	182
2	и не	13	152
3	вовсе не	6	145
4	то что	19	144
5	не есть	5	113
6	не только	26	104
7	потому что	18	89
8	в этом	35	88
9	может быть	30	82
10	том что	30	81
11	в том	38	81
12	не просто	5	80
13	только в	16	73
14	сказать что	6	72
15	но и	7	70
16	в виде	4	69
17	у нас	2	68
18	также и	20	68
19	и даже	6	66
20	по себе	11	64
21	даже и	4	63
22	не менее	9	58
23	о том	16	57
24	так и	2	56
25	тем не	9	56
26	а не	5	56
27	но в	10	55
28	так что	5	52
29	и вообще	3	48
30	в себе	4	48
31	при помощи	3	47
32	смысле слова	7	47
33	было бы	7	46
34	в своей	4	45
35	прежде всего	10	45
36	что в	13	44
37	в его	12	44
38	все эти	3	43
39	не в	10	43
40	таким образом	21	42
41	как раз	4	42
42	то же	11	42
43	а именно	6	42
44	так как	15	40
45	что мы	2	40
46	и то	7	40
47	что он	5	40
48	и что	6	40
49	не может	19	39
50	в этой	3	39
51	такого рода	3	39
52	и тем	5	39
53	во всяком	5	39
54	как бы	7	39
55	той или	3	38
56	в данном	11	38
57	хотя бы	6	37
58	того что	12	37
59	в нем	13	37
60	еще не	4	36
61	точки зрения	12	36
62	и т	45	35
63	когда мы	2	35
64	в виду	5	34
65	и с	2	34
66	как и	7	34
67	уже не	6	34
68	или иной	3	33
69	т д	39	33
70	же самое	3	33
71	в то	6	32
72	здесь не	3	32
73	но не	9	32
74	в своем	3	31
75	в конце	3	31
76	связи с	3	31
77	все это	6	31
78	что такое	12	31
79	так же	3	31
80	но это	2	31
81	ясно что	11	30
82	с другой	8	30
83	и для	4	30
84	как мы	11	29
85	все же	9	29
86	об этом	6	29
87	в связи	2	29
88	можно сказать	4	29
89	данном случае	5	28
90	что же	3	28
91	есть только	2	28
92	мы не	2	28
93	а в	6	28
94	и как	9	27
95	ничего не	2	27
96	и это	6	27
97	хотя и	5	27
98	еще и	4	26
99	по крайней	4	26
100	в результате	4	26
101	как будто	3	26
102	вместе с	6	26
103	это не	8	26
104	крайней мере	4	26
105	да и	4	26
106	другой стороны	5	26
107	и его	6	26
108	с точки	4	25
109	и на	3	25
110	мы можем	2	25
111	всяком случае	5	25
112	тем более	2	24
113	не имеет	4	24
114	с тем	6	24
115	а только	8	23
116	на то	2	23
117	есть не	5	23
118	при этом	3	23
119	конце концов	2	23
120	в качестве	8	23
121	по своему	5	23
122	никогда не	3	22
123	сам по	2	22
124	его в	6	22
125	и есть	3	22
126	только на	3	22
127	что и	5	22
128	и к	3	22
129	мы должны	2	21
130	и ее	4	21
131	и без	2	21
132	а также	3	21
133	сама по	3	21
134	в самом	13	21
135	говорить о	5	21
136	и потому	2	20
137	как о	4	20
138	но как	2	20
139	для того	23	20
140	именно в	8	20
141	о чем	4	20
142	можно было	8	20
143	несмотря на	2	20
144	тем что	6	20
145	в отношении	3	19
146	в каком	3	19
147	но если	6	19
148	как нечто	8	19
149	если бы	3	19
150	то это	3	19
151	уже в	5	19
152	самом деле	7	19
153	в них	5	19
154	это есть	2	19
155	как в	3	19
156	этом смысле	11	19
157	жизни и	2	19
158	того же	3	18
159	того чтобы	22	18
160	в ее	11	18
161	в этих	3	18
162	не было	2	18
163	н э	6	18
164	не существует	2	18
165	в ней	3	18
166	что здесь	2	17
167	мы уже	2	17
168	гораздо более	3	17
169	значение и	2	17
170	и здесь	3	17
171	но уже	2	17
172	в языке	2	17
173	совсем не	3	17
174	что они	2	17
175	тех или	3	17
176	во всех	2	17
177	к тому	4	16
178	но все	4	16
179	для этого	3	16
180	как это	5	16
181	точно так	2	16
182	случае не	2	16
183	что она	3	16
184	будто бы	2	16
185	он и	2	16
186	в чем	4	15
187	казалось бы	2	15
188	в частности	3	15
189	что не	5	15
190	с этим	3	15
191	в той	10	15
192	и сам	3	15
193	не что	5	14
194	говорит о	3	14
195	в дальнейшем	2	14
196	уже и	10	14
197	иное как	6	14
198	все равно	2	14
199	что иное	5	14
200	сих пор	7	14
201	искусства и	2	14
202	этом случае	6	14
203	в котором	4	14
204	этого термина	3	14
205	только о	2	14
206	до сих	7	14
207	дело в	5	13
208	иной раз	2	13
209	в их	12	13
210	бы и	3	13
211	тому что	2	13
212	мы имеем	4	13
213	в области	4	13
214	из них	4	13
215	учение о	2	13
216	нисколько не	3	12
217	так или	4	12
218	не говоря	2	12
219	в другом	3	12
220	с одной	4	12
221	в целом	5	12
222	для них	2	12
223	что это	3	12
224	в начале	3	12
225	или иначе	4	12
226	он сам	3	12
227	в истории	9	11
228	вообще не	3	11
229	или иных	3	11
230	мы говорим	3	11
231	в таких	2	11
232	о которых	2	11
233	не могут	6	11
234	одной стороны	4	11
235	по этому	3	11
236	том или	2	11
237	и тогда	3	11
238	к нему	3	11
239	заключается в	4	11
240	и литературы	2	11
241	и сама	2	10
242	один из	6	10
243	однако в	3	10
244	быть и	2	10
245	все время	2	10
246	ни с	2	10
247	в одном	4	10
248	что оно	2	10
249	внимание на	5	10
250	на том	3	10
251	из которых	3	10
252	вопрос о	10	9
253	или как	3	9
254	само собой	2	9
255	тогда когда	4	9
256	же касается	2	9
257	этому поводу	3	9
258	представить себе	7	9
259	языка и	15	9
260	в тех	2	9
261	и до	2	9
262	идет речь	3	9
263	чем же	3	9
264	не вполне	4	9
265	в своих	2	9
266	вообще и	3	9
267	однако не	4	9
268	именно как	3	9
269	в которых	6	9
270	что даже	3	9
271	говоря уже	2	9
272	того как	3	9
273	литературы и	2	9
274	что если	2	9
275	бы в	2	9
276	с ней	2	9
277	о котором	8	9
278	не нужно	2	9
279	то более	3	9
280	и другие	2	9
281	обратить внимание	2	9
282	как он	6	8
283	от этого	5	8
284	в г	5	8
285	а если	2	8
286	значение в	2	8
287	только что	4	8
288	с этой	5	8
289	в силу	3	8
290	себе и	2	8
291	входит в	3	8
292	если же	2	8
293	здесь нет	4	8
294	только с	4	8
295	из этих	9	8
296	которые не	2	8
297	но ведь	4	8
298	и при	2	8
299	это уже	2	8
300	во всем	2	8
301	как только	2	8
302	находятся в	2	7
303	времени и	4	7
304	это только	4	7
305	а с	2	7
306	одной из	4	7
307	на этой	3	7
308	она есть	5	7
309	нечто целое	2	7
310	значительной мере	2	7
311	до нас	3	7
312	в значительной	3	7
313	и так	2	7
314	с понятием	3	7
315	в какой	6	7
316	но что	3	7
317	мере в	6	7
318	такого же	2	7
319	или вообще	5	7
320	же как	3	7
321	же это	2	7
322	этой области	3	7
323	это в	2	7
324	на этот	6	7
325	и всего	2	7
326	не как	3	6
327	в известном	3	6
328	тем или	2	6
329	нами не	2	6
330	в зависимости	3	6
331	само по	4	6
332	можно только	2	6
333	ни к	2	6
334	этого слова	2	6
335	этот вопрос	7	6
336	том смысле	2	6
337	и того	3	6
338	факт что	2	6
339	именно на	2	6
340	что именно	2	6
341	но с	5	6
342	до конца	3	6
343	есть и	5	6
344	после этого	2	6
345	только как	7	6
346	по существу	2	6
347	философии и	2	6
348	стороны и	3	6
349	в общем	14	6
350	могут быть	6	6
