N	3gram	Tiupa_Disk	Tvorches
1	в то же	7	25
2	то же время	9	24
3	в том что	18	11
4	в соответствии с	4	8
5	о том что	8	8
6	по сути дела	3	7
7	и в то	2	7
8	в конечном счете	2	6
9	не может быть	5	6
10	в русской литературе	2	5
11	по отношению к	13	5
12	в наше время	4	5
13	по крайней мере	3	4
14	это прежде всего	3	4
15	в одной из	2	4
16	с точки зрения	3	4
17	с самого начала	2	4
18	дело в том	3	4
19	и все же	3	3
20	как и в	3	3
21	том что в	3	3
22	едва ли не	2	3
23	с другой стороны	4	3
24	и не может	3	3
25	сами по себе	2	3
26	во всяком случае	2	3
27	в отличие от	12	3
28	не сводится к	4	2
29	но при этом	3	2
30	не только в	2	2
31	содержит в себе	3	2
32	можно сказать что	3	2
33	но отнюдь не	2	2
34	так и в	4	2
35	в первую очередь	3	2
36	том числе и	3	2
37	в данном случае	6	2
38	в том числе	3	2
39	только то что	2	2
40	в е годы	2	2
41	к тому же	4	2
42	в свою очередь	3	2
