N	2gram	Bakhtin_sl	Myslijsy
1	потому что	2	182
2	то есть	46	142
3	и в	69	121
4	может быть	40	107
5	в том	7	103
6	то что	2	83
7	в слове	11	78
8	для нас	7	75
9	что в	3	73
10	и не	32	73
11	только в	9	72
12	не только	37	67
13	а не	29	67
14	таким образом	16	64
15	в языке	7	60
16	том что	6	59
17	так как	7	59
18	в этом	21	59
19	но и	37	59
20	то же	17	56
21	не в	14	54
22	в себе	3	53
23	не может	27	52
24	по себе	4	52
25	того что	4	47
26	в сознании	3	46
27	в нем	44	45
28	было бы	3	45
29	и проч	4	45
30	не есть	2	42
31	как и	8	42
32	так что	2	39
33	вместе с	3	39
34	мы не	4	38
35	что и	2	38
36	так и	22	37
37	при этом	12	37
38	как в	18	37
39	тогда когда	2	36
40	и что	2	32
41	по отношению	2	30
42	а в	10	30
43	но не	7	29
44	между тем	5	29
45	вовсе не	16	28
46	для него	8	28
47	что язык	2	27
48	могут быть	25	27
49	с этим	5	27
50	и т	56	26
51	не было	4	26
52	отношению к	2	26
53	языка и	18	25
54	этого слова	2	25
55	в то	17	24
56	того как	2	23
57	как бы	16	23
58	но в	13	22
59	с другой	8	22
60	и потому	9	21
61	не менее	4	21
62	в ней	7	20
63	в одном	4	20
64	это не	8	20
65	и как	3	19
66	с ним	12	19
67	есть не	2	19
68	и то	2	19
69	сказать что	4	19
70	из этих	3	19
71	но это	3	19
72	должно быть	3	19
73	тем не	2	19
74	о том	5	19
75	того же	7	19
76	для того	2	18
77	еще не	9	18
78	не могут	7	18
79	в самом	6	18
80	в таком	5	18
81	в его	19	17
82	слова и	21	17
83	точки зрения	24	17
84	что оно	4	17
85	во всяком	9	17
86	уже в	2	17
87	слова в	19	17
88	в своем	9	16
89	к тому	3	16
90	в которой	4	16
91	так же	2	16
92	в них	11	16
93	на то	2	16
94	и на	17	16
95	и по	3	15
96	т д	7	15
97	в этих	8	15
98	с одной	7	15
99	и тем	3	15
100	что он	2	15
101	прежде всего	14	15
102	только как	2	15
103	с другими	8	15
104	в свою	4	15
105	уже не	5	15
106	свою очередь	3	14
107	и язык	3	14
108	связи с	4	14
109	в истории	6	14
110	там где	10	14
111	то в	2	14
112	так сказать	11	14
113	столь же	2	14
114	в котором	2	14
115	в одно	2	14
116	все же	10	14
117	во всех	25	14
118	бы ни	3	14
119	же время	15	14
120	что все	2	13
121	и все	9	13
122	те же	3	13
123	т п	49	13
124	образом в	4	13
125	и может	4	13
126	например в	6	13
127	а между	2	13
128	в смысле	7	13
129	из них	3	13
130	языка в	21	13
131	и его	45	13
132	есть для	2	13
133	никогда не	9	12
134	язык не	5	12
135	от него	5	12
136	человека и	3	12
137	друг друга	3	12
138	и при	2	12
139	все это	14	12
140	как мы	15	12
141	сих пор	4	12
142	быть только	3	12
143	оно не	12	12
144	или менее	5	12
145	в чем	2	12
146	хотя и	4	12
147	внутреннюю форму	3	12
148	другой стороны	5	12
149	в каждом	5	12
150	более или	5	12
151	всяком случае	7	12
152	до сих	4	12
153	той же	3	11
154	в первом	3	11
155	и вообще	2	11
156	только на	3	11
157	из себя	3	11
158	и их	6	11
159	его в	7	11
160	мы видели	3	11
161	к нему	7	11
162	речи и	4	11
163	же в	2	11
164	к ней	2	11
165	и только	2	11
166	со словом	4	11
167	и следовательно	8	10
168	одной стороны	7	10
169	бы быть	2	10
170	и для	7	10
171	хотя бы	6	10
172	в других	4	10
173	тем и	3	10
174	слово в	18	10
175	тому что	2	10
176	так в	2	10
177	мы видим	2	10
178	и от	5	10
179	он не	5	10
180	если мы	2	10
181	и с	10	10
182	то время	2	10
183	что как	2	10
184	и есть	2	10
185	в нее	3	9
186	и других	5	9
187	но оно	5	9
188	зрения и	4	9
189	могли бы	2	9
190	поэзии и	4	9
191	слова для	2	9
192	не все	2	9
193	это было	2	9
194	и даже	11	9
195	язык в	9	9
196	и о	3	9
197	далеко не	7	9
198	с точки	11	9
199	один из	9	9
200	в целом	3	9
201	языка с	2	9
202	можно сказать	2	9
203	на язык	2	9
204	на самом	2	8
205	смысле в	4	8
206	в более	2	8
207	одно и	3	8
208	не как	4	8
209	слово как	11	8
210	и слово	4	8
211	что они	2	8
212	и более	3	8
213	но все	2	8
214	именно в	5	8
215	только не	2	8
216	во всем	3	8
217	слова не	5	8
218	одним словом	4	8
219	влияние на	3	8
220	и той	2	8
221	между ними	2	8
222	на все	3	8
223	с ними	8	8
224	этом случае	4	8
225	словом и	9	8
226	слова с	3	8
227	не из	2	8
228	говорить о	2	8
229	перестает быть	2	8
230	или в	10	8
231	слова но	2	7
232	но мы	2	7
233	а как	3	7
234	том же	4	7
235	от нас	2	7
236	языка как	10	7
237	в эту	3	7
238	она не	8	7
239	связь с	2	7
240	и во	3	7
241	себя и	2	7
242	из одного	2	7
243	место в	2	7
244	все эти	15	7
245	в собственном	2	7
246	за пределы	6	7
247	слове и	2	7
248	с этой	3	7
249	в другой	2	7
250	для сознания	2	7
251	не знаем	3	7
252	из него	4	7
253	них не	2	7
254	слово может	3	7
255	но как	2	7
256	говорящего и	3	7
257	в разных	3	7
258	на котором	3	7
259	самое слово	2	7
260	для понимания	3	7
261	на себе	2	7
262	даже и	4	7
263	язык как	5	7
264	не были	3	7
265	языке и	3	7
266	в данном	5	7
267	бы и	6	7
268	к этому	3	7
269	сама по	2	7
270	не с	5	7
271	к языку	3	7
272	несмотря на	2	7
273	его на	2	6
274	и слова	6	6
275	слов в	2	6
276	в виду	2	6
277	как он	2	6
278	в один	2	6
279	на его	9	6
280	в ее	2	6
281	в своей	8	6
282	должна быть	3	6
283	слово и	5	6
284	у нас	2	6
285	новое слово	2	6
286	с таким	3	6
287	языка то	4	6
288	самого предмета	3	6
289	друг другу	2	6
290	языка мы	2	6
291	и к	9	6
292	для всех	2	6
293	в их	6	6
294	в виде	4	6
295	может стать	3	6
296	его не	4	6
297	человеческой речи	2	6
298	вне себя	5	6
299	сознание и	4	6
300	к слову	2	6
301	от языка	3	6
302	и до	2	6
303	в сущности	18	6
304	нас в	3	6
305	да и	2	6
306	слово не	3	6
307	как оно	3	6
308	к ним	2	6
309	и самое	3	6
310	ни было	2	6
311	а именно	2	6
312	не могло	3	6
313	язык и	17	6
314	жизни и	5	6
315	же и	4	6
316	у него	5	6
317	лишь в	6	6
318	мы уже	4	6
319	но он	4	6
320	в процессе	14	5
321	а с	2	5
322	можно было	2	5
323	они не	3	5
324	однако в	3	5
325	из которого	2	5
326	как слово	3	5
327	рядом с	7	5
328	и другим	4	5
329	одна из	6	5
330	отношение к	8	5
331	как увидим	2	5
332	предмета и	2	5
333	входит в	8	5
334	языка не	4	5
335	о которых	2	5
336	и языка	5	5
337	чем в	3	5
338	даже в	4	5
339	перед нами	7	5
340	оно и	4	5
341	на предмет	4	5
342	лишь тогда	2	5
343	и у	2	5
344	стремится к	2	5
345	предмета в	2	5
346	как предмет	4	5
347	на том	2	5
348	не столько	4	5
349	с языком	4	5
350	слова так	2	5
351	с каким	2	5
352	известной степени	6	5
353	бы только	2	5
354	слов и	5	5
355	все то	2	5
356	значительной степени	6	5
357	но эти	3	5
358	человека в	5	5
359	одним из	5	5
360	отношении к	9	5
