N	3gram	Losev_Prob	Formalny
1	с точки зрения	13	40
2	не может быть	2	29
3	на самом деле	2	21
4	в то же	2	20
5	во всяком случае	6	16
6	в связи с	11	16
7	в настоящее время	7	13
8	по отношению к	2	12
9	в этом отношении	4	11
10	бы то ни	4	10
11	с другой стороны	7	9
12	для того чтобы	3	8
13	до сих пор	3	8
14	вместе с тем	5	8
15	с одной стороны	5	8
16	то ни было	2	7
17	в свою очередь	2	7
18	того или иного	2	7
19	сам по себе	3	6
20	в данном случае	5	6
21	в том что	13	6
22	в этом смысле	4	5
23	и не в	2	4
24	в конце концов	7	4
25	с самого начала	3	4
26	тем не менее	8	4
27	в нем и	2	4
28	но и в	2	4
29	сама по себе	2	4
30	но все же	2	4
31	то и другое	5	3
32	то же самое	2	3
33	в предисловии к	2	3
34	но в то	2	3
35	в том числе	2	3
36	потому что он	2	3
37	так или иначе	3	3
38	в том смысле	2	3
39	и в частности	4	3
40	в том чтобы	2	3
41	равно как и	2	3
42	и прежде всего	2	2
43	что перед нами	2	2
44	говоря уже о	2	2
45	вовсе не есть	2	2
46	ничего общего с	2	2
47	может быть только	6	2
48	в том или	3	2
49	что в данном	2	2
50	этой точки зрения	2	2
51	с этой точки	2	2
52	но даже и	4	2
53	не говоря уже	2	2
54	по себе а	2	2
55	в это время	3	2
56	в таком случае	2	2
57	не только в	5	2
58	ни в чем	2	2
59	ни в каких	3	2
60	в какой мере	3	2
61	на первом плане	3	2
62	дело в том	4	2
63	тех или иных	2	2
