N	3gram	Vygotskiy_	EvropaiE
1	с точки зрения	12	16
2	в то же	2	15
3	то же время	2	14
4	в отношении к	3	12
5	с одной стороны	6	8
6	в том что	21	6
7	этой точки зрения	7	5
8	для того чтобы	11	5
9	с этой точки	5	5
10	так же как	8	5
11	бы то ни	2	4
12	само по себе	8	4
13	заключает в себе	3	3
14	во всяком случае	7	3
15	в применении к	2	3
16	же как и	2	3
17	в этом отношении	7	3
18	можно сказать что	2	3
19	в этом смысле	3	3
20	можно было бы	2	3
21	сказать что в	3	2
22	в одном из	2	2
23	к тому чтобы	3	2
24	с другой стороны	7	2
25	только в том	4	2
26	на то что	12	2
27	и в частности	2	2
28	по себе не	3	2
29	так и в	2	2
30	заключается в том	13	2
31	в свою очередь	3	2
32	по сравнению с	3	2
33	не может быть	14	2
