N	3gram	Bakhtin_Pr	Tvorches
1	в романах достоевского	4	29
2	в то же	8	25
3	то же время	8	24
4	в преступлении и	4	17
5	преступлении и наказании	4	16
6	в творчестве достоевского	5	11
7	в том что	6	11
8	в братьях карамазовых	4	9
9	у достоевского в	2	9
10	записки из подполья	2	9
11	преступления и наказания	3	9
12	в соответствии с	2	8
13	о том что	3	8
14	униженных и оскорбленных	2	7
15	и в то	3	7
16	но в то	3	6
17	не может быть	8	6
18	по отношению к	5	5
19	по крайней мере	2	4
20	в произведениях достоевского	2	4
21	с точки зрения	13	4
22	с самого начала	4	4
23	до сих пор	8	4
24	дело в том	3	4
25	в xix веке	3	4
26	в известной мере	3	3
27	как и в	4	3
28	хотя и не	3	3
29	сон смешного человека	7	3
30	с другой стороны	3	3
31	и не может	6	3
32	является одним из	2	3
33	тем не менее	2	2
34	и в конце	2	2
35	можно сказать что	6	2
36	сне смешного человека	6	2
37	человека и его	3	2
38	в сне смешного	6	2
39	так и в	2	2
40	не то что	3	2
41	мы уже говорили	3	2
42	том числе и	13	2
43	в его творчестве	4	2
44	в том числе	15	2
45	кризисная вариация сна	2	2
46	нет и не	3	2
47	в этом романе	2	2
48	таким образом и	2	2
49	влияние на достоевского	2	2
