N	3gram	Losev_Prob	FransuaR
1	в то же	2	55
2	до сих пор	3	27
3	в том числе	2	27
4	в том что	13	27
5	в этом отношении	4	20
6	но в то	2	20
7	с точки зрения	13	20
8	для того чтобы	3	17
9	о том что	14	17
10	в связи с	11	16
11	но и в	2	15
12	то есть в	5	15
13	и прежде всего	2	14
14	на самом деле	2	13
15	не может быть	2	13
16	дело в том	4	13
17	с одной стороны	5	13
18	а также и	3	12
19	с другой стороны	7	12
20	можно сказать что	4	11
21	той или иной	4	10
22	в конце концов	7	10
23	в той или	2	10
24	в данном случае	5	10
25	не только в	5	10
26	по отношению к	2	9
27	после того как	3	8
28	в настоящее время	7	7
29	можно было бы	2	7
30	в значительной мере	3	7
31	в то время	4	7
32	с самого начала	3	6
33	то есть только	2	6
34	к тому же	5	6
35	но все же	2	6
36	в свою очередь	2	6
37	за то что	2	6
38	в новое время	3	6
39	во всяком случае	6	5
40	то же самое	2	5
41	в это время	3	5
42	на первом плане	3	5
43	это и есть	2	5
44	и в частности	4	5
45	потому что он	2	5
46	также и в	2	4
47	мы находим и	2	4
48	здесь не в	3	4
49	в нем и	2	4
50	то что в	2	4
51	это уже не	2	4
52	мы находим в	3	4
53	но даже и	4	4
54	не только для	2	4
55	здесь перед нами	6	4
56	и то что	3	4
57	бы то ни	4	3
58	в этом смысле	4	3
59	все же не	3	3
60	всего того что	2	3
61	вместе с тем	5	3
62	что иное как	3	3
63	и как бы	2	3
64	тех или иных	2	3
65	не что иное	3	3
66	в предисловии к	2	3
67	и не в	2	3
68	в те времена	2	3
69	он видит в	2	3
70	а с другой	3	3
71	на эту тему	2	2
72	сам по себе	3	2
73	ничего общего с	2	2
74	с ним в	2	2
75	только тогда когда	3	2
76	а именно в	3	2
77	в нашем смысле	4	2
78	потому что они	2	2
79	никак не может	2	2
80	до некоторой степени	4	2
81	в том или	3	2
82	то ни было	2	2
83	в коем случае	3	2
84	по этому поводу	4	2
85	том что он	3	2
86	ни в коем	3	2
87	и вместе с	3	2
88	мы не будем	3	2
89	может быть только	6	2
90	здесь вовсе не	2	2
91	как и его	2	2
92	в том чтобы	2	2
