N	2gram	Bakhtin_Pr	Formalny
1	и в	59	95
2	и не	66	78
3	может быть	38	66
4	в этом	40	61
5	не может	31	57
6	и пр	3	53
7	вовсе не	13	53
8	таким образом	22	52
9	и его	21	51
10	так и	13	50
11	точки зрения	36	47
12	в нем	38	42
13	в его	44	42
14	прежде всего	17	41
15	с точки	21	40
16	как и	21	39
17	не в	10	35
18	в самом	19	35
19	в процессе	4	34
20	а не	30	34
21	но и	22	33
22	то же	15	32
23	самом деле	9	32
24	не только	26	30
25	в пределах	13	28
26	в том	17	26
27	если бы	12	26
28	то что	21	25
29	на самом	5	24
30	при этом	5	24
31	в своей	17	24
32	лишь в	4	24
33	на почве	5	24
34	в ней	8	23
35	было бы	10	23
36	в то	15	22
37	и ее	5	22
38	в истории	3	21
39	как бы	40	21
40	что в	14	21
41	и с	10	21
42	в их	5	20
43	не менее	3	20
44	между ними	4	20
45	и от	3	20
46	входит в	11	20
47	как мы	10	20
48	же время	10	20
49	место в	2	20
50	не могут	6	19
51	все это	12	19
52	хотя бы	5	19
53	по себе	13	19
54	все же	9	18
55	и все	4	18
56	все эти	12	18
57	должна быть	4	18
58	с его	14	18
59	и их	7	18
60	только в	15	18
61	социальной жизни	2	17
62	более того	5	17
63	идеологического творчества	2	17
64	произведения в	2	17
65	как в	10	17
66	как раз	9	17
67	так же	10	16
68	в искусстве	2	16
69	во всяком	5	16
70	совершенно не	2	16
71	с другой	3	16
72	потому что	20	16
73	всяком случае	3	16
74	его в	6	15
75	все время	4	15
76	но в	7	15
77	бы в	7	15
78	с другими	11	15
79	так как	11	15
80	должно быть	4	15
81	во всех	8	15
82	в литературе	7	15
83	именно в	8	15
84	и на	15	15
85	что он	16	14
86	в целом	8	14
87	в ее	4	14
88	в своем	12	14
89	еще не	11	14
90	в жизни	7	14
91	в этой	5	14
92	и потому	9	14
93	произведения и	2	14
94	в единстве	7	14
95	жизни и	21	14
96	вместе с	2	14
97	как ее	2	13
98	до конца	11	13
99	со стороны	6	13
100	того что	4	13
101	говорит он	9	13
102	а в	9	13
103	что же	5	13
104	могут быть	5	13
105	для них	3	13
106	что и	10	13
107	в результате	6	13
108	она не	9	13
109	тем что	5	13
110	ни в	5	13
111	как таковой	2	13
112	как его	2	13
113	по отношению	17	12
114	как это	2	12
115	того чтобы	5	12
116	лишь как	6	12
117	там где	12	12
118	и здесь	5	12
119	отношению к	17	12
120	и для	5	12
121	оно не	2	12
122	уже не	14	12
123	никогда не	19	11
124	этом отношении	7	11
125	это и	10	11
126	они не	5	11
127	социальной действительности	2	11
128	в основе	6	11
129	так сказать	8	11
130	в большинстве	3	11
131	но не	13	11
132	то ни	3	11
133	слова и	2	11
134	что они	3	11
135	для него	23	11
136	зависимости от	5	11
137	между тем	5	11
138	не о	3	10
139	не есть	2	10
140	не как	15	10
141	его целом	8	10
142	друг друга	10	10
143	здесь и	2	10
144	в художественном	5	10
145	дело идет	12	10
146	в зависимости	5	10
147	мы не	3	10
148	не было	5	10
149	в дальнейшем	2	10
150	по существу	5	10
151	бы то	3	10
152	мы видели	3	10
153	другой стороны	3	10
154	с ее	5	10
155	не является	2	10
156	в первом	3	10
157	и как	10	10
158	в своих	5	10
159	большинстве случаев	3	10
160	раз и	4	10
161	конечно не	7	10
162	он не	11	10
163	если же	3	10
164	ничего не	8	9
165	является лишь	5	9
166	для понимания	5	9
167	здесь не	2	9
168	но это	7	9
169	и до	5	9
170	в каждом	11	9
171	менее всего	4	9
172	и даже	4	9
173	но ведь	4	9
174	у нас	2	9
175	ни было	4	9
176	со всею	3	9
177	говорить о	3	9
178	отношения к	4	9
179	это не	13	8
180	была бы	5	8
181	до сих	3	8
182	в них	5	8
183	в области	3	8
184	же как	5	8
185	для этого	4	8
186	с этим	2	8
187	в данном	3	8
188	всех этих	3	8
189	сих пор	3	8
190	и к	5	8
191	роль в	2	8
192	для того	3	8
193	и понимания	3	7
194	следовательно и	2	7
195	том что	15	7
196	в себе	9	7
197	в одной	9	7
198	как их	3	7
199	как к	3	7
200	что именно	2	7
201	оценки и	2	7
202	даже и	2	7
203	является для	2	7
204	не входит	3	7
205	в сущности	11	7
206	не на	6	7
207	войти в	2	7
208	бы быть	3	7
209	сказать что	9	7
210	к этому	6	7
211	единство произведения	2	7
212	творчества и	2	7
213	в особенности	2	7
214	можно говорить	2	7
215	жизни в	3	7
216	и наконец	5	7
217	и только	2	7
218	смысл и	2	7
219	в какой	2	7
220	и более	2	7
221	но все	8	7
222	сами по	4	7
223	ничем не	2	7
224	за счет	2	7
225	из них	8	7
226	он и	9	7
227	в той	9	7
228	высшей степени	2	7
229	же и	2	7
230	в высшей	2	7
231	чем же	2	7
232	от этого	2	7
233	данном случае	3	6
234	тем самым	3	6
235	в которой	6	6
236	ее и	2	6
237	материал и	2	6
238	в конце	9	6
239	отношение к	4	6
240	и тем	2	6
241	и других	8	6
242	в частности	2	6
243	его и	4	6
244	и это	5	6
245	тому что	3	6
246	в этих	5	6
247	те же	3	6
248	не из	3	6
249	совершенно недопустимо	2	6
250	его не	2	6
251	на ее	2	6
252	один из	4	6
253	смысле этого	2	6
254	нисколько не	2	6
255	этого слова	3	6
256	ее в	2	6
257	его с	2	6
258	из этих	2	6
259	они и	3	6
260	за пределы	10	6
261	отличается от	3	6
262	кроме того	3	6
263	но для	2	6
264	не по	3	6
265	жизнь и	3	6
266	нет и	4	6
267	например в	5	6
268	о том	5	6
269	по преимуществу	3	6
270	их в	8	6
271	в смысле	4	6
272	в произведении	4	6
273	уже в	9	6
274	и навсегда	2	6
275	как она	2	6
276	именно на	2	6
277	в плоскости	5	6
278	с ним	13	6
279	той же	7	6
280	даже в	7	5
281	мы должны	6	5
282	время и	2	5
283	что оно	2	5
284	от того	4	5
285	или же	2	5
286	эти определения	2	5
287	в виду	2	5
288	а как	8	5
289	в основном	2	5
290	мы уже	4	5
291	отличие от	3	5
292	всего в	2	5
293	характерно что	2	5
294	не так	3	5
295	и свою	2	5
296	а только	3	5
297	видения и	10	5
298	в отличие	3	5
299	что не	6	5
300	и по	4	5
301	можно сказать	3	5
302	бы и	6	5
303	да и	3	5
304	не от	2	5
305	в рамки	2	5
306	не столько	3	5
307	как например	2	5
308	художественной воли	4	5
309	то и	2	5
310	в мире	10	5
311	какой бы	2	5
312	и эта	3	5
313	его как	6	5
314	борьба с	2	5
315	а о	4	5
316	совершенно справедливо	2	5
317	перестает быть	4	5
318	мы можем	3	5
319	в условиях	4	5
320	для нас	3	5
321	к нему	13	5
322	непосредственно в	2	5
323	то он	3	5
324	ни на	2	5
325	не имеет	2	5
326	подхода к	2	5
327	в самой	10	5
328	в котором	6	5
329	слова в	4	5
330	а лишь	3	5
331	в отношении	3	5
332	приводит к	4	5
333	этом смысле	12	5
334	тому как	5	5
335	и со	3	5
336	правда в	2	5
337	и что	2	5
338	же в	3	5
339	таким же	4	5
340	как на	4	5
341	друг другу	3	5
342	в нашем	3	5
343	однако не	2	5
344	вопрос о	4	5
345	и притом	3	4
346	или даже	2	4
347	и следовательно	7	4
348	от него	3	4
349	дальнейшее развитие	2	4
350	наконец в	2	4
351	одним из	11	4
352	слово в	3	4
353	конце концов	7	4
354	входящих в	2	4
355	как он	5	4
356	но именно	5	4
357	тогда когда	2	4
358	героя в	9	4
359	должна была	4	4
360	изображения и	6	4
361	в романе	12	4
362	на котором	3	4
363	о нем	16	4
364	он в	3	4
365	идет о	5	4
366	лучшем случае	3	4
367	от других	2	4
368	подходит к	5	4
369	так чтобы	3	4
370	здесь в	3	4
371	или в	2	4
372	самого начала	4	4
373	и во	2	4
374	со всем	2	4
375	был бы	6	4
376	во всей	2	4
377	с самого	3	4
378	одна из	4	4
379	нем и	2	4
380	одной плоскости	7	4
381	не значит	4	4
382	только то	3	4
383	нам кажется	4	4
384	бы к	2	4
385	формы его	2	4
386	на него	4	4
387	сама по	3	4
388	как не	9	4
389	нам важно	3	4
390	превращается в	4	4
391	нигде не	6	4
392	нем как	2	4
393	со всей	2	4
394	в таком	2	4
395	и другие	4	4
396	и о	5	4
397	все остальное	2	4
398	отношении к	3	4
399	на западе	2	4
400	на протяжении	3	4
401	сам он	5	4
402	подобно тому	5	4
403	какую бы	2	4
404	что для	4	4
405	романа в	8	4
406	этот вопрос	3	4
407	им в	4	4
408	и этим	2	4
409	идеологическое творчество	2	4
410	в лучшем	3	4
411	совпадает с	3	4
412	же что	5	4
413	только при	3	4
414	к другому	2	4
415	что было	4	4
416	является не	3	4
417	в художественной	4	4
418	данного произведения	2	4
419	но эта	4	4
420	все в	7	4
421	мы и	2	4
422	этой действительности	2	4
423	все они	4	3
424	перед нами	8	3
425	во все	5	3
426	в плане	5	3
427	или иной	3	3
428	для создания	3	3
429	бытия в	3	3
430	к этим	2	3
431	а и	2	3
432	а что	2	3
433	в каком	2	3
434	есть только	5	3
435	его художественной	2	3
436	из всего	2	3
437	в плоскость	3	3
438	ни были	2	3
439	проявляется в	2	3
440	начала и	3	3
441	этой работы	2	3
442	на своем	2	3
443	в науке	2	3
444	вступает в	5	3
445	вследствие этого	2	3
446	так что	3	3
447	органическое единство	2	3
448	из возможных	2	3
449	существенно и	3	3
450	от них	3	3
451	никак нельзя	2	3
452	как предмет	3	3
453	но как	4	3
454	но конечно	3	3
455	говорить об	2	3
456	с другом	4	3
457	в чисто	2	3
458	стороны его	3	3
459	или точнее	2	3
460	ни одна	2	3
461	точка зрения	14	3
462	из одного	4	3
463	предисловии к	2	3
464	и вне	2	3
465	на его	7	3
466	своеобразие и	2	3
467	ни одного	4	3
468	и через	2	3
469	мы видим	5	3
470	тот же	4	3
471	кажется что	4	3
472	никак не	3	3
473	в сознании	4	3
474	время не	3	3
475	лежит в	3	3
476	быть только	3	3
477	тем более	2	3
478	в словах	2	3
479	это было	3	3
480	поэтому и	3	3
481	друг с	4	3
