N	3gram	Bakhtin_Pr	Stilisti
1	в то же	10	9
2	то же время	10	7
3	для того чтобы	3	7
4	в зависимости от	5	7
5	с точки зрения	21	5
6	с самого начала	3	4
7	той или иной	3	4
8	в конце концов	7	3
9	как мы уже	2	3
10	на самом деле	4	3
11	в той же	3	3
12	как бы в	3	3
13	не только в	2	3
14	но все же	3	3
15	как мы видели	3	3
16	все то что	3	2
17	и как бы	3	2
18	в каждом слове	2	2
19	в самом деле	5	2
20	в этом отношении	7	2
21	можно сказать что	3	2
22	и в то	3	2
23	по отношению к	17	2
24	смысле этого слова	2	2
25	но в то	5	2
26	о том что	5	2
27	мы видим что	2	2
28	не может быть	8	2
