N	2gram	Bakhtin_Pr	VeschiIm
1	не есть	6	79
2	и не	42	57
3	не только	9	48
4	то что	8	48
5	не может	27	46
6	и в	38	45
7	и есть	2	40
8	может быть	26	39
9	и т	14	39
10	а не	5	37
11	было бы	8	24
12	в себе	4	23
13	только в	13	23
14	сказать что	4	22
15	и что	2	22
16	как бы	22	20
17	и ее	2	19
18	что это	2	19
19	но и	9	19
20	есть только	2	18
21	все же	6	18
22	в этом	15	18
23	есть не	2	17
24	и это	3	17
25	прежде всего	13	17
26	того что	2	16
27	таким образом	10	16
28	в том	8	15
29	как и	7	15
30	в ней	4	15
31	не в	7	14
32	но это	3	14
33	том что	3	13
34	и для	11	13
35	в самом	7	13
36	то ни	3	13
37	в себя	2	13
38	ничего не	6	12
39	совершенно не	7	12
40	что в	7	12
41	точки зрения	8	12
42	что и	2	12
43	и как	8	12
44	то же	5	12
45	ни было	3	12
46	еще не	7	12
47	и даже	3	12
48	о том	4	12
49	и с	17	12
50	бы то	3	12
51	в то	4	11
52	не менее	4	11
53	что не	4	11
54	вовсе не	2	11
55	себя в	2	11
56	тем не	3	11
57	и пр	2	11
58	также и	3	11
59	ни в	11	11
60	и только	4	11
61	в чем	2	10
62	что оно	2	10
63	ясно что	3	10
64	это не	5	9
65	в своем	5	9
66	она не	2	9
67	другими словами	2	9
68	как вещь	4	9
69	должно быть	5	9
70	хотя бы	4	9
71	у нас	2	9
72	на то	2	9
73	но не	12	9
74	ни с	2	9
75	говорить о	3	9
76	и его	16	9
77	с ним	5	9
78	его в	9	8
79	и потому	4	8
80	что он	2	8
81	но в	4	8
82	в ее	4	8
83	себя и	3	8
84	все это	3	8
85	должна быть	4	8
86	можно сказать	2	8
87	с другими	3	8
88	мы имеем	2	8
89	отличается от	2	8
90	если бы	3	8
91	не с	4	8
92	с другой	7	8
93	отнюдь не	19	8
94	и тем	3	7
95	самом деле	6	7
96	а в	6	7
97	все эти	5	7
98	я не	2	7
99	относится к	4	7
100	можно только	6	7
101	слова и	3	7
102	тем что	2	7
103	вообще не	7	7
104	оно не	3	7
105	никогда не	5	6
106	независимо от	13	6
107	от ее	2	6
108	и все	3	6
109	в нем	15	6
110	между ними	4	6
111	должны быть	4	6
112	в своей	7	6
113	как мы	7	6
114	одна из	2	6
115	и вообще	2	6
116	в данном	4	6
117	можно было	4	6
118	дело в	2	6
119	быть только	5	6
120	на почве	3	6
121	несмотря на	3	6
122	с точки	6	6
123	как только	3	6
124	да и	3	5
125	мы должны	2	5
126	как к	2	5
127	должен быть	2	5
128	действительности и	3	5
129	как это	2	5
130	точка зрения	3	5
131	в его	43	5
132	хотя и	3	5
133	во всех	11	5
134	но совершенно	2	5
135	и здесь	2	5
136	кроме того	3	5
137	или как	3	5
138	нет и	3	5
139	от всех	4	5
140	все что	3	5
141	в свою	2	5
142	то или	2	5
143	конечно можно	2	4
144	том как	2	4
145	она может	3	4
146	к себе	2	4
147	отношение к	10	4
148	и у	2	4
149	я должен	2	4
150	в их	10	4
151	так и	5	4
152	что все	2	4
153	о сущности	2	4
154	того чтобы	2	4
155	не было	2	4
156	с ними	4	4
157	в основе	5	4
158	и от	3	4
159	слово и	2	4
160	и эта	2	4
161	с самим	2	4
162	мы можем	6	4
163	на него	3	4
164	себя самого	4	4
165	в особенности	2	4
166	и о	5	4
167	и более	2	4
168	в котором	2	4
169	на этом	2	4
170	же время	3	4
171	он не	3	4
172	принципиально не	4	3
173	но можно	2	3
174	но как	2	3
175	можно и	2	3
176	не является	3	3
177	вопроса о	3	3
178	но она	2	3
179	в другом	2	3
180	и смысла	2	3
181	себе не	2	3
182	в виде	2	3
183	в частности	2	3
184	может и	4	3
185	на ее	3	3
186	по существу	2	3
187	к нему	10	3
188	а только	2	3
189	была бы	2	3
190	одной стороны	3	3
191	другой стороны	4	3
192	себя как	5	3
193	в целом	3	3
194	и во	2	3
195	той или	2	3
196	в истории	2	3
197	не все	2	3
198	к личности	2	3
199	как вещи	3	3
200	действительности в	2	3
201	не нужно	5	3
202	применении к	3	3
203	для того	2	3
204	как в	4	3
205	ни к	2	3
206	с одной	3	3
207	случае не	2	3
208	не имеет	9	3
209	в своих	2	3
210	в самой	2	3
211	оно может	2	3
212	из которых	2	3
213	не можем	2	3
214	перестает быть	4	3
215	или в	2	3
216	как нечто	3	3
217	отношения к	6	3
218	не к	6	3
219	мы будем	3	3
220	имеем дело	3	3
221	данном случае	4	2
222	тем самым	4	2
223	к действительности	3	2
224	помнить что	3	2
225	бытия в	3	2
226	для нее	8	2
227	то есть	46	2
228	едва ли	3	2
229	и прежде	5	2
230	слово в	2	2
231	в виду	4	2
232	в работах	2	2
233	как чисто	2	2
234	языка как	2	2
235	вне себя	4	2
236	для науки	2	2
237	форме и	2	2
238	последние годы	2	2
239	понятий и	2	2
240	нуждается в	2	2
241	связи с	2	2
242	в связи	2	2
243	не на	5	2
244	в применении	3	2
245	но зато	2	2
246	ли мы	3	2
247	и внешнего	2	2
248	к его	2	2
249	все то	3	2
250	и должна	3	2
251	она только	2	2
252	в россии	2	2
253	что эта	2	2
254	здесь не	4	2
255	в начале	2	2
256	его как	3	2
257	к этому	2	2
258	о котором	2	2
259	но лишь	2	2
260	человека в	2	2
261	этом отношении	2	2
262	и другие	2	2
263	чем не	2	2
264	но они	4	2
265	лишь как	4	2
266	самим собою	2	2
267	есть выражение	2	2
268	есть лишь	3	2
269	конечно и	4	2
270	далеко не	5	2
271	можно говорить	2	2
272	поэтому в	2	2
273	в слове	3	2
274	не вполне	2	2
275	слова в	7	2
276	и к	3	2
277	приводит к	3	2
278	к чему	2	2
279	о которых	2	2
280	в более	4	2
