N	2gram	Medvedev_U	Analitik
1	не только	10	71
2	и в	14	66
3	но и	4	57
4	в том	2	52
5	может быть	6	52
6	в частности	3	51
7	в этом	7	51
8	как и	3	50
9	и не	8	48
10	а не	10	42
11	том что	2	40
12	не может	7	29
13	в его	2	27
14	не в	2	26
15	но не	2	26
16	в себе	2	24
17	не случайно	2	24
18	в этой	4	22
19	но в	3	19
20	в своей	3	19
21	то же	5	19
22	в самом	2	19
23	с его	2	19
24	в то	3	18
25	с другой	4	17
26	эстетического объекта	6	17
27	только в	2	17
28	могут быть	2	16
29	то что	7	16
30	что и	2	16
31	не есть	2	15
32	в их	4	15
33	прежде всего	8	15
34	между тем	2	15
35	же время	3	14
36	по себе	2	13
37	ничего не	2	13
38	как раз	2	13
39	для него	3	13
40	в конечном	4	12
41	сводится к	2	12
42	это не	3	11
43	конечном счете	4	11
44	не следует	3	11
45	в конце	2	10
46	все же	3	10
47	было бы	3	10
48	не столько	2	9
49	крайней мере	2	9
50	другой стороны	3	9
51	по крайней	2	9
52	таким образом	2	9
53	о чем	2	8
54	что он	2	8
55	этом отношении	2	8
56	если бы	2	8
57	в сторону	2	8
58	все это	5	7
59	художественного произведения	2	7
60	и для	2	7
61	и является	2	7
62	и т.д	3	7
63	для всех	2	6
64	вопроса о	2	6
65	и то	3	6
66	хотя бы	5	6
67	превращается в	2	6
68	художественное произведение	5	6
69	более чем	2	6
70	не о	3	5
71	в широком	2	5
72	не могут	2	5
73	не как	3	5
74	самом деле	2	5
75	в искусстве	6	5
76	в художественном	5	5
77	мы не	2	5
78	тем что	2	5
79	в итоге	2	5
80	что мы	2	5
81	в противовес	2	5
82	все они	2	4
83	или точнее	3	4
84	в области	3	4
85	одним из	2	4
86	нам представляется	2	4
87	а как	2	4
88	истории литературы	3	4
89	его и	2	4
90	то ни	3	4
91	бы и	2	4
92	но это	2	4
93	не все	2	4
94	что она	2	4
95	ни было	3	4
96	или иных	2	4
97	могли бы	2	4
98	этом смысле	2	4
99	произведения искусства	3	4
100	тех или	2	4
101	очевидно что	3	3
102	при таком	2	3
103	же не	2	3
104	только к	3	3
105	что все	2	3
106	бы то	3	3
107	для этого	3	3
108	всех этих	2	3
109	это было	2	3
110	а о	2	3
111	на каждом	2	3
112	представляется нам	2	3
113	и с	2	3
114	противном случае	2	3
115	если не	2	3
116	в противном	2	3
117	по нашему	3	3
118	же самое	2	3
119	на эту	2	2
120	искусства как	2	2
121	является в	2	2
122	должна была	2	2
123	не приходится	2	2
124	смысле этого	2	2
125	т.е в	2	2
126	по существу	2	2
127	на первый	2	2
128	у нас	3	2
129	сих пор	2	2
130	а между	2	2
131	мы и	2	2
132	и только	5	2
133	до сих	2	2
134	художественного творчества	5	2
135	в системе	2	2
