N	2gram	Nazirov_Tv	Komedia
1	и в	40	77
2	в комедии	2	58
3	и не	12	47
4	в том	13	44
5	том что	14	42
6	о том	9	33
7	едва ли	2	32
8	но и	10	32
9	может быть	11	30
10	таким образом	14	29
11	из них	4	29
12	в то	23	28
13	и его	14	28
14	в этом	11	27
15	потому что	10	27
16	что он	11	26
17	к тому	2	26
18	не только	16	25
19	тому же	2	25
20	вместе с	4	25
21	так как	6	24
22	как и	16	23
23	ни в	2	23
24	что в	17	23
25	что и	3	22
26	если бы	4	22
27	в самом	6	22
28	в конце	5	21
29	так и	5	21
30	а в	10	21
31	то же	19	21
32	в его	19	20
33	во время	2	19
34	к этому	4	19
35	в этой	7	18
36	и т	14	17
37	тем что	2	17
38	еще не	5	17
39	и здесь	2	17
40	в нем	4	17
41	же время	18	17
42	все же	9	16
43	у него	11	16
44	не менее	8	16
45	при этом	14	16
46	тот же	3	16
47	и сам	5	16
48	он не	10	16
49	его в	2	15
50	в своем	4	15
51	не в	3	15
52	между тем	2	15
53	прежде всего	10	15
54	один из	5	15
55	на себя	2	15
56	было бы	2	15
57	в которой	5	15
58	и на	12	15
59	ли не	3	14
60	все это	14	14
61	об этом	4	14
62	на протяжении	3	14
63	в свою	8	14
64	и с	9	14
65	столь же	2	14
66	то что	9	13
67	так что	4	13
68	самом деле	4	13
69	но в	11	13
70	того же	2	13
71	в двух	2	13
72	что она	5	13
73	только что	2	13
74	в одном	3	13
75	как раз	2	13
76	так же	6	12
77	с другой	4	12
78	т п	4	12
79	как это	2	12
80	уже в	5	12
81	не по	3	12
82	в качестве	2	12
83	в истории	2	12
84	хотя и	5	12
85	в начале	2	12
86	не может	9	12
87	как в	10	12
88	но не	7	12
89	в котором	8	12
90	по отношению	3	11
91	наряду с	6	11
92	в их	5	11
93	в частности	4	11
94	одного из	3	11
95	что его	4	11
96	к ней	3	11
97	и даже	8	11
98	на этот	3	11
99	с ним	4	11
100	в целом	7	10
101	ничего не	3	10
102	одной из	7	10
103	и все	6	10
104	в чем	4	10
105	на его	4	10
106	в глазах	2	10
107	мы не	3	10
108	он был	2	10
109	свою очередь	2	10
110	с его	12	10
111	с этим	2	10
112	на него	2	10
113	с одной	2	10
114	как бы	26	10
115	еще в	3	10
116	и что	2	10
117	отличие от	3	9
118	тому что	2	9
119	однако в	3	9
120	в образе	4	9
121	и по	5	9
122	в своей	8	9
123	и еще	2	9
124	больше чем	2	9
125	отношению к	3	9
126	друг друга	2	9
127	вовсе не	5	9
128	только в	7	9
129	в ней	2	9
130	и других	5	8
131	в в	2	8
132	с самого	3	8
133	место в	6	8
134	не знает	2	8
135	то это	2	8
136	а затем	5	8
137	связи с	2	8
138	другой стороны	2	8
139	с этой	4	8
140	что у	5	8
141	что для	3	8
142	г в	2	8
143	в которых	3	8
144	если не	4	8
145	не было	3	8
146	во всех	2	8
147	до конца	2	7
148	в себе	3	7
149	и поэтому	2	7
150	и у	3	7
151	это время	2	7
152	со своим	2	7
153	мы знаем	2	7
154	самого начала	3	7
155	и о	2	7
156	но если	4	7
157	и это	2	7
158	в связи	2	7
159	что они	3	7
160	во всяком	2	7
161	если в	3	7
162	х годов	3	7
163	хотя бы	5	7
164	и вот	2	7
165	должен был	2	7
166	не является	3	7
167	в этих	2	7
168	не имеет	2	7
169	отнюдь не	9	7
170	всяком случае	2	7
171	даже в	4	6
172	за то	2	6
173	когда же	2	6
174	в виду	3	6
175	и тем	2	6
176	надо было	2	6
177	могут быть	4	6
178	что не	5	6
179	в дальнейшем	7	6
180	и он	4	6
181	тем не	2	6
182	и как	5	6
183	как правило	3	6
184	во второй	3	6
185	человека в	9	6
186	как будто	5	6
187	в отличие	3	6
188	в своих	8	6
189	еще более	3	6
190	когда он	4	6
191	а по	3	6
192	там же	11	6
193	представляет собой	4	6
194	или в	2	6
195	а не	9	6
196	не мог	3	6
197	никогда не	13	5
198	и если	3	5
199	это не	9	5
200	из всех	5	5
201	вслед за	2	5
202	в каждом	4	5
203	в изображении	2	5
204	одним из	6	5
205	роль в	2	5
206	брак с	2	5
207	одном из	2	5
208	все время	3	5
209	любви к	2	5
210	не так	5	5
211	и без	2	5
212	что на	3	5
213	между собой	2	5
214	же не	2	5
215	в ее	3	5
216	и я	2	5
217	в первом	3	5
218	который в	4	5
219	в честь	2	5
220	сказать что	3	5
221	представление о	9	5
222	и от	8	5
223	себя в	3	5
224	в мире	8	5
225	в первой	4	5
226	т д	10	5
227	даже если	2	5
228	известно что	4	5
229	мира в	2	5
230	отказаться от	4	5
231	восходит к	2	5
232	именно в	6	5
233	что я	4	5
234	приводит к	4	5
235	здесь нет	2	5
236	жизни и	3	5
237	той же	4	5
238	но он	3	5
239	все более	2	4
240	нуждается в	2	4
241	в духе	6	4
242	по мнению	4	4
243	в глаза	2	4
244	не столько	4	4
245	для ее	2	4
246	в пользу	2	4
247	к которому	3	4
248	в принципе	5	4
249	всякого рода	2	4
250	к человеку	3	4
251	может служить	2	4
252	времени в	13	4
253	от ее	2	4
254	же как	3	4
255	что с	2	4
256	здесь мы	2	4
257	например в	3	4
258	в основе	3	4
259	как известно	3	4
260	одна из	5	4
261	у нее	4	4
262	я не	5	4
263	был бы	3	4
264	него в	2	4
265	и их	2	4
266	у нас	2	4
267	времени и	4	4
