N	3gram	Tiupa_Hudo	Vladivir
1	в том что	15	29
2	о том что	14	22
3	тем не менее	6	18
4	что же касается	2	14
5	в связи с	3	12
6	содержит в себе	2	11
7	в то же	11	10
8	с точки зрения	5	10
9	не может быть	5	10
10	то же время	11	9
11	на то что	2	8
12	в это время	2	7
13	в данном случае	3	6
14	том что в	4	6
15	и в этом	3	6
16	так или иначе	3	6
17	и в то	2	5
18	не только в	4	5
19	в этом отношении	4	4
20	можно было бы	5	4
21	с одной стороны	4	4
22	для того чтобы	2	4
23	и т д	5	4
24	что он не	3	3
25	в том случае	2	3
26	в первую очередь	2	3
27	в самом деле	5	3
28	только в том	4	3
29	него и в	2	3
30	во второй половине	2	3
31	так и не	3	3
32	не только не	3	3
33	к тому что	8	3
34	не в том	2	3
35	но еще и	2	2
36	мы уже знаем	2	2
37	л н толстого	4	2
38	не было ни	2	2
39	но в то	3	2
40	том случае если	2	2
41	так же как	2	2
42	до сих пор	3	2
43	для своего времени	2	2
44	связи с этим	2	2
45	что у него	2	2
