N	3gram	Bakhtin_Pr	KulturaY
1	для того чтобы	3	38
2	с точки зрения	21	36
3	в том что	10	33
4	в самом деле	5	29
5	можно было бы	4	25
6	во всяком случае	3	19
7	с другой стороны	3	17
8	в зависимости от	5	16
9	до сих пор	3	14
10	по крайней мере	3	13
11	по отношению к	17	13
12	в этом отношении	7	11
13	не может быть	8	11
14	о том что	5	10
15	в этом смысле	12	10
16	на самом деле	4	8
17	не только в	2	8
18	само по себе	4	8
19	в то же	10	6
20	той или иной	3	6
21	хотя бы и	3	6
22	этой точки зрения	3	6
23	то же время	10	6
24	в отличие от	3	6
25	но все же	3	5
26	потому что он	2	5
27	в данном случае	3	5
28	и в этом	8	5
29	тем более что	2	5
30	как мы видели	3	5
31	не потому что	3	5
32	том что он	4	4
33	заключается в том	2	4
34	так же как	4	4
35	в том и	2	4
36	только то что	2	4
37	смысле этого слова	2	4
38	именно в том	2	4
39	точки зрения на	2	3
40	но с другой	2	3
41	потому что не	2	3
42	в лучшем случае	3	3
43	в то время	3	3
44	как раз и	2	3
45	в конце концов	7	3
46	в той же	3	3
47	сама по себе	3	3
48	между тем как	4	2
49	бы то ни	3	2
50	мы имеем в	2	2
51	но он не	2	2
52	друг от друга	2	2
53	потому что они	2	2
54	потому что она	3	2
55	в большинстве случаев	3	2
56	таким образом в	2	2
57	это не значит	3	2
58	в одном из	3	2
59	может быть только	3	2
60	и в том	2	2
61	а может быть	2	2
62	можно сказать что	3	2
63	в каждом из	2	2
64	сами по себе	4	2
65	и в то	3	2
66	по природе своей	2	2
67	это вовсе не	2	2
68	в той или	2	2
69	по сравнению с	2	2
