N	2gram	Vinokur_Vv	Freidism
1	и не	13	34
2	таким образом	21	34
3	точки зрения	12	31
4	не может	19	30
5	может быть	30	28
6	и в	35	28
7	в этом	35	28
8	прежде всего	10	26
9	в его	12	25
10	и его	6	22
11	мы можем	2	20
12	с помощью	2	20
13	как бы	7	19
14	как мы	11	18
15	то что	19	17
16	вовсе не	6	16
17	так как	15	15
18	с точки	4	15
19	все эти	3	15
20	самом деле	7	14
21	так и	2	14
22	в своей	4	14
23	во всех	2	13
24	но в	10	13
25	как и	7	13
26	по отношению	4	13
27	и потому	2	12
28	том что	30	12
29	то же	11	12
30	что он	5	12
31	мы видели	3	12
32	в самом	13	12
33	все это	6	12
34	сказать что	6	11
35	его в	6	11
36	отношению к	4	11
37	только в	16	11
38	никогда не	3	10
39	и с	2	10
40	не только	26	10
41	но и	7	10
42	не в	10	10
43	в том	38	10
44	мы уже	2	10
45	один из	6	10
46	что же	3	10
47	мы должны	2	9
48	могут быть	6	9
49	к этому	3	9
50	и др	2	9
51	к нему	3	9
52	в чем	4	9
53	уже не	6	9
54	и на	3	9
55	мы не	2	9
56	а не	5	9
57	во всяком	5	9
58	все же	9	8
59	с этим	3	8
60	было бы	7	8
61	и вот	3	8
62	еще не	4	8
63	а в	6	8
64	в ней	3	8
65	на этом	3	8
66	всяком случае	5	8
67	при этом	3	8
68	в каком	3	7
69	не могут	6	7
70	до конца	3	7
71	в то	6	7
72	в себе	4	7
73	что в	13	7
74	и ее	4	7
75	хотя бы	6	7
76	и для	4	7
77	отношение к	3	7
78	быть и	2	7
79	того что	12	7
80	на протяжении	2	7
81	но не	9	7
82	об этом	6	7
83	в нем	13	7
84	и к	3	7
85	из них	4	7
86	жизни и	2	7
87	в этой	3	7
88	одно из	5	6
89	для этого	3	6
90	мы имеем	4	6
91	из этих	9	6
92	не менее	9	6
93	для того	23	6
94	к тому	4	6
95	что такое	12	6
96	можно сказать	4	6
97	чем же	3	6
98	в свою	2	6
99	совсем не	3	6
100	как раз	4	6
101	и что	6	6
102	же время	6	6
103	учение о	2	6
104	что это	3	5
105	ничего не	2	5
106	со стороны	16	5
107	что она	3	5
108	с их	5	5
109	от того	3	5
110	во второй	3	5
111	и те	2	5
112	между ними	3	5
113	в этих	3	5
114	на основании	5	5
115	как это	5	5
116	что может	3	5
117	увидим что	2	5
118	что и	5	5
119	тому что	2	5
120	в общем	14	5
121	таким путем	2	5
122	в более	4	5
123	в своих	2	5
124	это не	8	5
125	той же	4	5
126	того чтобы	22	5
127	не было	2	5
128	в ее	11	5
129	он сам	3	5
130	и до	2	5
131	говорить о	5	5
132	заключается в	4	5
133	вместе с	6	5
134	данном случае	5	4
135	одна из	3	4
136	и вообще	3	4
137	в таких	2	4
138	с которыми	2	4
139	все время	2	4
140	его к	2	4
141	так же	3	4
142	нисколько не	3	4
143	но это	2	4
144	в области	4	4
145	этот процесс	4	4
146	в собственном	3	4
147	мысли и	2	4
148	в другом	3	4
149	в этот	2	4
150	тем не	9	4
151	этом отношении	4	4
152	если бы	3	4
153	в виду	5	4
154	это только	4	4
155	но ведь	4	4
156	этой области	3	4
157	свою очередь	2	4
158	и истории	2	4
159	только на	3	4
160	как в	3	4
161	в своем	3	4
162	только с	4	4
163	по своему	5	4
164	а только	8	4
165	в котором	4	4
166	потому что	18	4
167	именно в	8	4
168	уже знаем	2	4
169	а потому	5	4
170	этот вопрос	7	4
171	что оно	2	4
172	выражение в	2	4
173	не существует	2	4
174	смысле слова	7	4
175	по себе	11	4
176	в целом	5	4
177	зависимости от	3	4
178	только как	7	4
179	в зависимости	3	4
180	сам по	2	4
181	в истории	9	4
182	в данном	11	4
183	и то	7	3
184	о них	2	3
185	независимо от	5	3
186	нуждается в	3	3
187	в результате	4	3
188	и даже	6	3
189	и как	9	3
190	этих двух	2	3
191	а как	5	3
192	одним из	5	3
193	и при	2	3
194	у нас	2	3
195	этого не	2	3
196	и со	2	3
197	одной и	2	3
198	или как	3	3
199	в центре	4	3
200	как на	12	3
201	чаще всего	2	3
202	себе и	2	3
203	и той	3	3
204	сих пор	7	3
205	наших дней	2	3
206	в какой	6	3
207	на этот	6	3
208	из наиболее	4	3
209	значение в	2	3
210	на этой	3	3
211	в г	5	3
212	о том	16	3
213	это уже	2	3
214	если это	2	3
215	того же	3	3
216	на почве	5	3
217	собственном смысле	3	3
218	в конечном	3	3
219	имеет дело	5	3
220	ответ на	4	3
221	мы называем	2	3
222	в одном	4	3
223	же касается	2	3
224	в основу	2	3
225	что мы	2	3
226	в них	5	3
227	уже в	5	3
228	себя в	2	3
229	для них	2	3
230	говорит о	3	3
231	из него	2	3
232	и есть	3	3
233	и сам	3	3
234	природы и	2	3
235	есть только	2	3
236	случае не	2	3
237	них не	2	3
238	о которой	2	3
239	до сих	7	3
240	во втором	2	3
241	между тем	10	3
242	всего к	2	3
243	да и	4	2
244	них и	2	2
245	в широком	7	2
246	в отношении	3	2
247	вопрос о	10	2
248	особого рода	4	2
249	не исчерпывается	2	2
250	в изучении	3	2
251	выводу что	7	2
252	следовательно и	2	2
253	о которых	2	2
254	или иной	3	2
255	когда мы	2	2
256	в различных	5	2
257	а также	3	2
258	из того	2	2
259	время в	2	2
260	и сама	2	2
261	другом месте	2	2
262	для нее	2	2
263	бы и	3	2
264	дело в	5	2
265	должно быть	2	2
266	бы в	2	2
267	такого рода	3	2
268	дело не	5	2
269	не как	3	2
270	в отличие	4	2
271	применении к	6	2
272	в конце	3	2
273	сообщение и	2	2
274	есть и	5	2
275	или же	3	2
276	должен быть	4	2
277	к делу	4	2
278	в следующем	2	2
279	ее от	2	2
280	возникает вопрос	2	2
281	конце концов	2	2
282	связана с	4	2
283	при помощи	3	2
284	и тем	5	2
285	находятся в	2	2
286	в их	12	2
287	может оказаться	3	2
288	к своему	2	2
289	и другие	2	2
290	а именно	6	2
291	этой науки	3	2
292	в течение	5	2
293	то она	2	2
294	меньшей мере	2	2
295	отличие от	4	2
296	с одной	4	2
297	должна быть	2	2
298	и всего	2	2
299	а с	2	2
300	что остается	2	2
301	наука о	5	2
302	в прошлом	2	2
303	от этого	5	2
304	и так	2	2
305	не имеет	4	2
306	материал для	3	2
307	вообще не	3	2
308	также и	20	2
309	не есть	5	2
310	как совокупность	2	2
311	с другой	8	2
312	и творчества	2	2
313	зависит от	3	2
314	входит в	3	2
315	его можно	2	2
316	но все	4	2
317	он и	2	2
318	одной стороны	4	2
319	в применении	7	2
320	этом смысле	11	2
321	свое выражение	3	2
