N	2gram	Berdyaev_V	PoTuStor
1	и в	16	16
2	в этом	4	9
3	прежде всего	2	9
4	не только	2	7
5	с его	3	7
6	и это	2	6
7	конечно не	2	6
8	для него	2	6
9	ни в	3	5
10	все эти	3	5
11	как бы	5	5
12	еще не	8	5
13	в чем	3	5
14	все это	5	4
15	в его	4	4
16	но и	5	4
17	и не	20	4
18	и все	4	4
19	но в	3	4
20	но мы	2	4
21	так как	9	4
22	все что	4	4
23	только в	2	4
24	в нем	4	4
25	хотя бы	3	4
26	так и	4	4
27	что в	3	3
28	жизни и	3	3
29	и теперь	2	3
30	и потому	7	3
31	а в	2	3
32	в том	3	3
33	их в	3	3
34	и есть	4	3
35	в этих	3	3
36	то что	9	3
37	во всех	3	3
38	могут быть	2	3
39	во всяком	2	3
40	том что	2	3
41	один из	2	2
42	никогда не	3	2
43	для нас	2	2
44	что мы	4	2
45	в них	3	2
46	в жизни	3	2
47	и для	3	2
48	что не	4	2
49	что и	3	2
50	ее в	2	2
51	и мы	3	2
52	не могут	2	2
53	как не	3	2
54	как и	4	2
55	что он	4	2
56	говорить о	4	2
57	в своей	3	2
58	мы не	2	2
59	оно не	3	2
60	не есть	6	2
61	на этих	2	2
62	нем нет	2	2
63	нет и	2	2
64	не будет	2	2
65	с ним	2	2
66	этих трех	3	2
67	но это	3	2
