N	2gram	Tiupa_Anal	Tvorches
1	и в	30	56
2	как бы	15	41
3	в его	15	37
4	в романе	2	34
5	в то	10	30
6	то же	12	25
7	не только	30	24
8	но в	11	24
9	же время	7	24
10	то есть	19	23
11	и его	9	23
12	и не	33	23
13	а в	11	23
14	как и	23	23
15	и т	3	22
16	в этом	31	22
17	в том	36	21
18	что в	7	21
19	том что	21	19
20	он не	4	19
21	может быть	33	19
22	потому что	3	19
23	у него	5	18
24	то что	11	18
25	что он	3	17
26	все это	2	17
27	и на	10	17
28	таким образом	5	17
29	никогда не	4	16
30	прежде всего	8	16
31	как в	3	16
32	при этом	20	16
33	не может	26	16
34	но и	29	16
35	в этой	12	15
36	с его	3	15
37	в мире	14	15
38	и с	2	15
39	это не	7	14
40	и даже	10	14
41	времени в	4	13
42	о том	11	13
43	а не	25	13
44	тем самым	9	12
45	в целом	9	12
46	в котором	5	12
47	все же	4	11
48	в своей	7	11
49	для него	5	11
50	отнюдь не	22	11
51	в конце	4	10
52	не в	17	10
53	так и	16	10
54	но не	13	10
55	в самом	12	10
56	только в	8	10
57	как будто	6	10
58	по природе	4	9
59	в нем	3	9
60	один из	4	9
61	а затем	3	9
62	ю м	2	9
63	первой части	2	9
64	даже в	5	8
65	в себе	17	8
66	в их	8	8
67	одной из	2	8
68	не менее	5	8
69	на его	4	8
70	так как	3	8
71	тогда как	30	8
72	вовсе не	4	8
73	к этому	2	8
74	в соответствии	2	8
75	еще не	5	8
76	одним из	3	8
77	именно в	6	8
78	соответствии с	3	8
79	хотя и	4	8
80	вместе с	6	8
81	казалось бы	2	7
82	самом деле	3	7
83	читателя в	3	7
84	своего рода	12	7
85	в чем	2	7
86	в которой	3	7
87	в этих	3	7
88	в рассказе	2	7
89	не случайно	11	7
90	уже не	6	7
91	и сам	4	7
92	его в	2	6
93	приводит к	2	6
94	героя в	2	6
95	так что	3	6
96	и все	5	6
97	место в	3	6
98	не столько	5	6
99	все эти	3	6
100	в принципе	8	6
101	хотя бы	4	6
102	конечном счете	5	6
103	и как	6	6
104	если бы	6	6
105	в конечном	6	6
106	с ним	6	6
107	бы не	3	5
108	ничего не	10	5
109	по отношению	10	5
110	том же	2	5
111	как он	4	5
112	это как	2	5
113	т п	3	5
114	в своем	2	5
115	а с	3	5
116	не так	3	5
117	в творческом	3	5
118	самим собой	3	5
119	быть может	2	5
120	что не	3	5
121	что и	5	5
122	в ее	2	5
123	и по	2	5
124	тот же	2	5
125	в первой	2	5
126	дело не	5	5
127	на него	3	5
128	между тем	7	5
129	отношению к	9	5
130	в литературе	4	5
131	с другой	7	5
132	как правило	7	5
133	если не	2	5
134	из них	2	5
135	я не	2	5
136	в таком	5	5
137	при помощи	2	4
138	и потому	2	4
139	крайней мере	4	4
140	у читателя	2	4
141	не был	2	4
142	роль в	3	4
143	только на	3	4
144	в частности	32	4
145	как это	5	4
146	отличие от	8	4
147	не знает	4	4
148	в такой	2	4
149	того что	5	4
150	что все	2	4
151	к нему	4	4
152	точки зрения	10	4
153	что на	3	4
154	могут быть	12	4
155	однако в	4	4
156	о жизни	3	4
157	же не	3	4
158	с ними	2	4
159	о его	5	4
160	главного героя	3	4
161	который в	3	4
162	в основе	6	4
163	как известно	4	4
164	говорит о	5	4
165	тут же	2	4
166	х годов	2	4
167	восходит к	2	4
168	нет ничего	2	4
169	по преимуществу	4	4
170	особенно в	9	4
171	себя в	8	4
172	и одновременно	4	4
173	наш взгляд	6	4
174	превращается в	3	4
175	тем что	2	4
176	и наконец	2	4
177	и есть	3	4
178	с этой	2	4
179	времени и	7	4
180	такой же	3	4
181	его и	3	4
182	ведет к	3	4
183	по крайней	4	4
184	не означает	2	4
185	в отличие	8	4
186	и более	5	4
187	не мог	3	4
188	далеко не	6	4
189	не вполне	2	4
190	личности и	3	4
191	представляет собой	23	4
192	еще в	4	4
193	личности в	4	4
194	на наш	6	4
195	с точки	6	4
196	говорить о	3	4
197	той же	4	4
198	в ходе	5	3
199	не есть	8	3
200	во времени	6	3
201	для человека	2	3
202	его к	3	3
203	на самом	2	3
204	в процессе	2	3
205	от него	2	3
206	вплоть до	2	3
207	к другим	2	3
208	даже не	2	3
209	в другом	4	3
210	отношение к	2	3
211	как к	2	3
212	едва ли	4	3
213	для себя	3	3
214	таком случае	5	3
215	подхода к	3	3
216	в виду	2	3
217	на все	2	3
218	и тем	4	3
219	со стороны	5	3
220	в области	4	3
221	в один	4	3
222	в искусстве	2	3
223	так например	2	3
224	как уже	5	3
225	более того	4	3
226	мы узнаем	2	3
227	только с	2	3
228	к тому	12	3
229	может служить	3	3
230	к самому	2	3
231	свидетельствует о	4	3
232	одного из	4	3
233	на себя	5	3
234	другой стороны	2	3
235	этой связи	2	3
236	и до	3	3
237	воли и	4	3
238	никто не	3	3
239	в первом	3	3
240	можно сказать	6	3
241	заключается в	2	3
242	как мы	3	3
243	да и	2	3
244	сказать что	2	3
245	если в	3	3
246	других людей	2	3
247	этого персонажа	2	3
248	то в	2	3
249	сами по	3	3
250	из этих	2	3
251	в начале	3	3
252	и тогда	3	3
253	не все	3	3
254	его как	3	3
255	собой в	2	3
256	с ее	2	3
257	отличается от	3	3
258	иного рода	4	3
259	о свободе	2	3
260	мысль о	2	3
261	во второй	3	3
262	я и	8	3
263	лишь в	12	3
264	не является	3	3
265	только для	3	3
266	ее в	2	3
267	для того	4	3
268	и их	2	3
269	себе не	2	3
270	человека к	4	3
271	на протяжении	2	3
272	не с	8	3
273	на этот	2	3
274	нет и	2	3
275	с другим	5	3
276	автора и	4	3
277	в себя	8	3
278	и если	2	3
279	и к	5	3
280	на этом	4	3
281	он и	3	3
282	по себе	6	3
283	несмотря на	5	3
284	может не	2	3
285	сводится к	6	3
286	и что	2	3
287	и особенно	4	3
288	или в	2	3
289	тому же	6	3
290	жизни но	3	3
291	в которую	2	3
292	в одном	3	3
293	данном случае	3	2
294	в отношении	2	2
295	не могут	3	2
296	означает что	3	2
297	но мы	2	2
298	представляет собою	2	2
299	о чем	3	2
300	со смертью	4	2
301	вслед за	3	2
302	в силу	4	2
303	по своей	6	2
304	есть не	9	2
305	должен быть	6	2
