N	2gram	Trubetskoy	Myshleni
1	в том	11	195
2	в этом	15	167
3	то что	7	166
4	и в	26	162
5	том что	7	161
6	таким образом	22	147
7	точки зрения	13	143
8	что в	9	119
9	не только	10	116
10	того что	3	109
11	в процессе	2	101
12	так же	5	100
13	потому что	7	95
14	того чтобы	5	91
15	может быть	10	89
16	с точки	6	89
17	что он	4	86
18	не может	4	81
19	так как	9	78
20	для того	5	78
21	и не	8	78
22	только в	4	75
23	но и	9	70
24	в его	5	67
25	сказать что	2	65
26	как бы	12	64
27	вместе с	15	62
28	в качестве	3	60
29	и что	4	60
30	представляет собой	3	60
31	то же	4	58
32	в отношении	6	55
33	что мы	2	53
34	в силу	5	53
35	в самом	4	52
36	по сравнению	2	51
37	мы должны	6	50
38	к тому	6	49
39	мы можем	2	48
40	тогда когда	2	47
41	сравнению с	2	46
42	если бы	3	46
43	но не	8	45
44	с другой	8	45
45	с тем	18	43
46	же как	3	43
47	отношению к	3	42
48	по своей	2	40
49	одной стороны	7	40
50	о том	6	40
51	так и	6	39
52	никогда не	5	39
53	с одной	7	39
54	в области	9	38
55	мы видели	2	38
56	не в	2	37
57	в этой	4	37
58	и к	5	37
59	в своем	3	36
60	с самого	3	36
61	все эти	6	36
62	самого начала	2	36
63	а не	5	36
64	того же	6	35
65	друг с	5	35
66	с другом	5	35
67	он не	4	35
68	в которой	3	35
69	в себе	6	35
70	и т.д	6	35
71	и как	3	34
72	связи с	9	34
73	приводит к	2	34
74	при этом	3	33
75	прежде всего	2	33
76	что и	6	32
77	именно в	2	32
78	по своему	2	32
79	же самое	2	32
80	но в	7	32
81	что оно	4	32
82	и на	2	32
83	все же	6	31
84	этом отношении	2	30
85	на то	2	30
86	между тем	2	29
87	что все	4	27
88	только что	2	27
89	с этой	3	27
90	в результате	3	27
91	в то	4	27
92	и с	10	27
93	что это	3	26
94	для него	3	26
95	все это	6	25
96	еще не	2	25
97	уже в	2	25
98	только не	2	25
99	можно сказать	3	25
100	так что	3	24
101	тот же	2	24
102	целый ряд	4	24
103	в нем	4	24
104	на этот	4	24
105	в смысле	4	24
106	состоит в	2	23
107	во всяком	6	22
108	не могут	2	22
109	отношение к	5	21
110	представление о	6	21
111	к этому	3	21
112	и все	2	21
113	не имеет	5	21
114	в котором	4	20
115	в виду	2	20
116	по существу	2	20
117	а в	4	20
118	к которому	2	20
119	из них	7	20
120	не менее	3	20
121	из этих	10	20
122	в пользу	2	20
123	из которых	4	19
124	как на	8	19
125	но если	2	19
126	а с	7	19
127	и по	4	19
128	во всех	2	19
129	один из	2	19
130	в связи	3	19
131	всяком случае	6	18
132	для этого	2	17
133	сих пор	5	17
134	и для	5	17
135	все что	2	17
136	в свою	2	17
137	в одном	3	17
138	и от	4	17
139	этой точки	2	17
140	и только	4	17
141	в этих	4	17
142	до сих	5	17
143	и другие	3	16
144	которые в	2	16
145	и даже	3	16
146	в которых	4	16
147	мы имеем	2	16
148	когда он	3	15
149	те же	2	15
150	между этими	2	15
151	в начале	2	15
152	со всеми	2	15
153	хотя бы	3	15
154	отличается от	2	15
155	на все	2	15
156	и это	2	15
157	в них	2	15
158	и является	2	15
159	что эти	3	14
160	из этого	2	14
161	одной из	5	14
162	связанные с	7	14
163	с его	2	14
164	одним из	2	14
165	к которым	2	14
166	и здесь	2	14
167	благодаря этому	2	13
168	но все	7	13
169	лишь в	5	13
170	в виде	4	13
171	точно так	3	13
172	с ней	3	13
173	связана с	2	13
174	к его	2	13
175	для всех	2	13
176	если в	3	13
177	с другими	4	13
178	и потому	6	12
179	тем не	3	12
180	тем и	2	12
181	к другу	2	12
182	несмотря на	6	12
183	ясно что	3	12
184	к нему	7	12
185	тому же	5	12
186	в конце	6	11
187	одно из	2	11
188	и другой	2	11
189	и при	3	11
190	в других	3	11
191	те и	2	11
192	и наконец	2	11
193	или менее	5	11
194	он в	2	11
195	ничего общего	2	11
196	из всех	3	10
197	но вместе	2	10
198	относится к	2	10
199	если не	2	10
200	или иной	2	10
201	вслед за	2	10
202	за собой	3	10
203	том числе	5	10
204	виде в	2	10
205	на друга	2	10
206	и у	8	10
207	числе и	4	10
208	к жизни	5	10
209	не могло	2	10
210	друг на	2	10
211	учение о	4	10
212	что именно	2	10
213	только для	2	9
214	связано с	2	9
215	этот факт	2	9
216	оно является	2	9
217	более или	5	9
218	тенденции к	2	9
219	больше чем	2	9
220	в самой	2	9
221	но с	3	9
222	той или	2	9
223	не с	2	9
224	связь с	2	8
225	во время	4	8
226	еще на	2	8
227	этот путь	2	8
228	главным образом	8	8
229	должен был	4	8
230	не как	2	8
231	в эту	2	8
232	поэтому что	2	8
233	и из	2	8
234	образом в	5	8
235	и те	3	8
236	и тогда	4	8
237	о котором	2	8
238	в течение	4	8
239	связан с	2	8
240	и вместе	4	7
241	у них	3	7
242	а также	2	7
243	том виде	2	7
244	в разных	2	7
245	в общем	8	7
246	и особенно	2	7
247	в таком	3	7
248	но по	3	7
249	общего с	2	7
250	отличаются от	2	7
251	этот период	2	7
252	в значительной	3	7
253	ничем не	4	7
254	случае не	3	7
255	признать что	2	7
256	наконец в	2	6
257	заключает в	2	6
258	начиная с	2	6
259	и больше	2	6
260	уже не	3	6
261	и таким	3	6
262	из которого	3	6
263	и о	3	6
264	требует от	2	6
265	этими двумя	2	6
266	исторического развития	2	5
267	не потому	2	5
268	выступает в	2	5
269	к ним	3	5
270	оказывается что	3	5
271	конце концов	3	5
272	в новом	2	5
273	пути к	2	5
274	ни один	2	5
275	стадии развития	2	5
276	всегда и	3	5
277	на пути	2	4
278	так например	2	4
279	с того	2	4
280	на нее	3	4
281	из него	2	4
282	совершенно иной	2	4
283	и после	2	4
284	к одной	2	4
285	и если	3	4
286	в одно	2	4
287	его не	2	4
288	одновременно и	2	4
289	бы то	2	4
290	но при	2	4
291	ни было	2	4
292	психической жизни	2	4
293	не к	2	4
294	как о	3	4
295	превращается в	2	4
296	путь к	3	4
297	может ли	2	4
298	или по	2	4
299	ему в	2	4
300	влечет за	2	4
301	жизни и	2	4
302	не было	2	4
303	конечно не	2	4
304	и сами	2	4
305	значительной мере	2	3
306	при таком	2	3
307	и иной	2	3
308	из себя	2	3
309	гораздо менее	2	3
310	связанных с	2	3
311	должна была	2	3
312	к сожалению	3	3
313	этой задачи	2	3
314	этого периода	2	3
315	взгляд на	2	3
316	всех других	2	3
317	и сейчас	2	3
318	не могла	2	3
319	с целью	2	3
320	далеко не	4	3
321	от них	2	3
322	положение в	2	3
323	его от	2	3
324	подойти к	3	3
325	всегда на	2	3
326	из этой	2	3
327	то ни	2	3
328	этого последнего	2	3
329	или иначе	3	3
330	по своим	2	3
331	так чтобы	2	3
332	же время	2	3
333	уже с	3	2
334	нужно чтобы	2	2
335	тем чтобы	5	2
336	связывается с	3	2
337	должно было	2	2
338	есть как	2	2
339	вплоть до	2	2
340	эти черты	2	2
341	не всегда	2	2
342	в другое	2	2
343	не должны	2	2
344	выход из	2	2
345	с самых	2	2
346	принято называть	2	2
347	каждая из	3	2
348	особенно в	2	2
349	в мире	5	2
350	для каждого	2	2
351	и действительно	2	2
352	перестает быть	2	2
353	такое положение	2	2
354	его можно	2	2
355	можно только	2	2
356	мысль о	2	2
357	когда же	2	2
358	связанный с	2	2
359	не исчерпывается	2	2
360	ли они	2	2
361	образом если	2	2
362	никем не	2	2
363	ни у	2	2
364	в так	4	2
365	ко всему	2	2
366	можно назвать	2	2
367	но когда	2	2
