N	3gram	Tiupa_Teor	FransuaR
1	в то же	8	55
2	то же время	8	55
3	в том числе	3	27
4	в том что	10	27
5	но в то	2	20
6	с точки зрения	3	20
7	для того чтобы	5	17
8	том числе и	2	17
9	в связи с	3	16
10	не может быть	5	13
11	с одной стороны	3	13
12	с другой стороны	6	12
13	и в то	2	12
14	можно сказать что	3	11
15	в отличие от	7	11
16	той или иной	3	10
17	в данном случае	5	10
18	как и в	2	10
19	в значительной степени	2	10
20	по отношению к	10	9
21	до известной степени	2	9
22	более или менее	6	8
23	включает в себя	2	7
24	в самом деле	2	7
25	подобно тому как	3	7
26	в свою очередь	3	6
27	имеем в виду	3	6
28	мы имеем в	3	5
29	в этой системе	2	5
30	в основе своей	2	5
31	может быть и	2	4
32	и в самом	2	4
33	но он не	2	4
34	в тарасе бульбе	2	4
35	в самом начале	2	4
36	бы то ни	2	3
37	это своего рода	2	3
38	в этом смысле	3	3
39	так и не	5	3
40	не только не	2	3
41	тех или иных	3	3
42	одного и того	4	3
43	и того же	4	3
44	а с другой	2	3
45	по своей природе	3	2
46	что в основе	2	2
47	так и его	2	2
48	не могут быть	2	2
49	в конечном счете	6	2
50	то ни было	2	2
51	в коем случае	2	2
52	том что он	2	2
53	ни в коем	2	2
54	при этом что	2	2
55	во внешнем мире	2	2
56	в известном смысле	2	2
