N	2gram	Medvedev_V	Narrotol
1	не только	26	62
2	и не	20	50
3	но и	10	45
4	а не	7	38
5	в качестве	12	35
6	в частности	12	31
7	может быть	23	30
8	и в	26	30
9	в том	15	29
10	том что	8	28
11	в этом	29	28
12	а в	3	27
13	только в	8	25
14	как и	7	24
15	не в	6	23
16	то что	7	23
17	не может	17	20
18	в себе	6	17
19	так и	6	17
20	в его	15	16
21	но в	2	15
22	можно сказать	4	15
23	к тому	5	15
24	в жизни	2	14
25	и его	6	14
26	в своем	8	13
27	в своей	4	13
28	то же	10	13
29	у него	6	13
30	о том	10	13
31	перед нами	5	12
32	все же	6	12
33	прежде всего	13	12
34	как бы	5	12
35	сводится к	3	12
36	по отношению	7	11
37	об этом	9	11
38	в нем	7	11
39	в этой	4	11
40	если бы	3	11
41	отношению к	7	11
42	хотя и	2	11
43	никогда не	5	10
44	всего лишь	3	10
45	в то	6	10
46	как это	12	10
47	один из	6	10
48	точки зрения	3	10
49	того что	3	10
50	не является	5	10
51	но не	2	10
52	жизни и	3	10
53	между тем	6	10
54	с его	4	10
55	еще не	2	9
56	что он	4	9
57	что в	11	9
58	отнюдь не	4	9
59	для него	9	9
60	далеко не	3	9
61	как раз	4	9
62	или иной	2	8
63	о чем	2	8
64	не менее	2	8
65	того чтобы	3	8
66	одна из	4	8
67	мы имеем	3	8
68	и он	3	8
69	этом отношении	14	8
70	у нас	3	8
71	действующих лиц	5	8
72	и для	2	8
73	в самом	4	8
74	и к	3	8
75	внимание на	2	8
76	же время	5	8
77	он не	2	8
78	это не	7	7
79	вслед за	3	7
80	при всей	2	7
81	в конце	3	7
82	в чем	2	7
83	в ней	2	7
84	в целом	5	7
85	в ее	4	7
86	же в	7	7
87	в силу	14	7
88	также и	2	7
89	с другой	11	7
90	в котором	3	7
91	пока еще	2	7
92	или в	3	7
93	в форме	3	7
94	одной стороны	2	6
95	вплоть до	2	6
96	в сознании	4	6
97	они не	2	6
98	могло бы	2	6
99	что и	3	6
100	например в	3	6
101	сказать что	5	6
102	никак не	3	6
103	из этих	7	6
104	в результате	5	6
105	на него	2	6
106	как у	2	6
107	не по	2	6
108	с одной	2	6
109	что у	3	6
110	на то	2	6
111	в конечном	7	6
112	к его	2	6
113	таким образом	32	6
114	в слове	3	6
115	от его	2	5
116	том как	3	5
117	в другом	2	5
118	и у	2	5
119	не всегда	2	5
120	а для	2	5
121	мира и	3	5
122	не столько	2	5
123	было бы	8	5
124	да и	2	5
125	по поводу	4	5
126	и от	3	5
127	с ними	4	5
128	так сказать	2	5
129	бы и	6	5
130	этом и	2	5
131	и даже	2	5
132	только что	4	5
133	подобно тому	3	5
