N	3gram	Tiupa_Vved	Hudozhes
1	по отношению к	11	10
2	не сводится к	6	9
3	в том что	10	8
4	присутствия в мире	2	7
5	в то же	5	7
6	в отличие от	11	7
7	то же время	4	7
8	с другой стороны	2	6
9	более или менее	2	6
10	в конечном счете	2	5
11	состоит в том	2	5
12	той или иной	4	5
13	так и не	4	4
14	не может быть	6	4
15	по сути дела	4	3
16	с одной стороны	9	3
17	тем не менее	3	3
18	подобно тому как	3	3
19	несет в себе	4	3
20	мастера и маргариты	2	2
21	это своего рода	3	2
22	в противном случае	2	2
23	с легкой руки	2	2
24	войне и мире	2	2
25	причастной вненаходимости бахтин	2	2
26	начало и конец	2	2
27	в самом деле	2	2
28	в значительной степени	2	2
29	мы имеем дело	5	2
30	в войне и	2	2
31	по своей природе	2	2
32	а с другой	3	2
33	в свою очередь	5	2
34	в основе своей	2	2
35	по большей части	4	2
