N	2gram	Propp_Isto	Analitik
1	не только	17	71
2	и в	44	66
3	в качестве	13	61
4	но и	16	57
5	в том	13	52
6	может быть	31	52
7	в частности	9	51
8	в этом	20	51
9	как и	12	50
10	и не	19	48
11	а не	5	42
12	том что	12	40
13	при этом	4	40
14	так и	9	35
15	представляет собой	8	30
16	не может	10	29
17	как бы	4	29
18	а в	9	28
19	в его	16	27
20	и его	15	27
21	не в	11	26
22	но не	8	26
23	и даже	4	22
24	в этой	5	22
25	что в	18	22
26	лишь в	2	21
27	о том	11	20
28	по отношению	2	19
29	но в	7	19
30	в своей	3	19
31	то же	9	19
32	с его	3	19
33	в то	5	18
34	в данном	3	18
35	отношению к	2	18
36	тем самым	2	17
37	с другой	11	17
38	со стороны	6	17
39	такого рода	2	17
40	в целом	4	17
41	только в	8	17
42	могут быть	9	16
43	то что	16	16
44	в пределах	5	16
45	что и	11	16
46	прежде всего	7	15
47	уже не	14	15
48	и на	11	15
49	данном случае	2	14
50	не менее	6	14
51	того же	3	14
52	мы имеем	22	14
53	себя в	6	14
54	в себя	3	14
55	по себе	2	13
56	ничего не	4	13
57	точки зрения	3	13
58	для него	2	13
59	а также	5	13
60	как правило	2	13
61	он не	5	13
62	никогда не	5	12
63	и к	3	12
64	есть не	2	12
65	как это	5	12
66	еще не	16	12
67	как в	11	12
68	и сам	2	12
69	даже в	4	11
70	в свою	3	11
71	это не	8	11
72	и как	5	11
73	можно сказать	2	11
74	той же	2	11
75	все же	17	10
76	на себя	4	10
77	однако в	2	10
78	один из	6	10
79	было бы	2	10
80	особенно в	2	10
81	подобно тому	2	10
82	с одной	7	10
83	здесь не	3	10
84	в своем	3	9
85	того что	3	9
86	одной стороны	7	9
87	другой стороны	10	9
88	во всех	3	9
89	что касается	2	9
90	том чтобы	3	9
91	в русской	8	9
92	тому как	2	9
93	говорит о	4	9
94	таким образом	21	9
95	вместе с	26	9
96	перед нами	2	8
97	о чем	6	8
98	роль в	3	8
99	не всегда	9	8
100	что он	29	8
101	одной из	3	8
102	и все	4	8
103	одного из	3	8
104	в основе	3	8
105	между двумя	7	8
106	если бы	5	8
107	с ним	9	8
108	в другом	2	7
109	как говорит	3	7
110	и тем	7	7
111	от себя	2	7
112	в свое	2	7
113	в ее	4	7
114	все это	4	7
115	одна из	6	7
116	несмотря на	3	7
117	как будто	2	7
118	героя и	3	7
119	и для	3	7
120	у него	7	7
121	приводит к	2	7
122	со своим	2	7
123	в одном	2	7
124	как мы	9	7
125	в таком	2	7
126	не мог	3	7
127	его в	17	6
128	если в	4	6
129	что не	3	6
130	в силу	7	6
131	должен быть	2	6
132	в нем	10	6
133	или в	7	6
134	он был	2	6
135	и то	5	6
136	хотя бы	2	6
137	то в	2	6
138	из этих	5	6
139	превращается в	10	6
140	же в	3	6
141	во всем	4	6
142	тем не	6	6
143	и более	3	6
144	есть в	2	6
145	на этом	5	6
146	из которых	7	6
147	из них	4	6
148	уже в	4	6
149	по его	2	6
150	вовсе не	6	6
151	и потому	2	5
152	не могут	2	5
153	не как	5	5
154	входит в	5	5
155	но как	2	5
156	одну из	5	5
157	совершенно не	2	5
158	на смену	4	5
159	так что	2	5
160	самом деле	2	5
161	на вопрос	3	5
162	а с	2	5
163	он в	3	5
164	в них	3	5
165	с той	2	5
166	а затем	7	5
167	и по	3	5
168	все эти	11	5
169	мы не	6	5
170	этом случае	13	5
171	при рассмотрении	2	5
172	и здесь	12	5
173	к его	2	5
174	одно из	3	5
175	к этому	5	5
176	с другими	4	5
177	и он	9	5
178	в особенности	6	5
179	для того	3	5
180	в этих	7	5
181	такой же	3	5
182	тем что	12	5
183	еще и	2	5
184	ни в	2	5
185	в роли	4	5
186	в котором	2	5
187	все что	5	5
188	о смерти	7	5
189	будто бы	2	5
190	еще в	2	5
191	что мы	4	5
192	таким же	5	5
193	его к	3	4
194	отношение к	3	4
195	одним из	4	4
196	а как	3	4
197	нас к	10	4
198	как он	6	4
199	как у	2	4
200	а именно	8	4
201	только на	2	4
202	его и	2	4
203	о нем	3	4
204	и о	2	4
205	к нему	5	4
206	и что	13	4
207	потому что	18	4
208	связь с	20	4
209	ему в	3	4
210	так в	5	4
211	его не	3	4
212	с ними	4	4
213	того чтобы	3	4
214	и тогда	2	4
215	и т	39	4
216	так у	4	4
217	сказать что	2	4
218	герой не	3	4
219	но при	2	4
220	с этим	7	4
221	но это	10	4
222	что она	3	4
223	в которой	4	4
224	представляют собой	6	4
225	от которого	2	4
226	об этом	6	4
227	на него	10	4
228	человека в	5	4
229	здесь и	2	4
230	ее в	8	4
231	мы уже	6	4
232	между ними	2	4
233	в своих	4	4
234	на которой	4	4
235	не было	2	4
236	это и	3	4
237	и есть	3	4
238	вопрос о	5	3
239	это означает	2	3
240	в таких	3	3
241	очевидно что	3	3
242	означает что	3	3
243	мы должны	7	3
244	от него	2	3
245	с целью	2	3
246	человека и	2	3
247	здесь как	3	3
248	попадает в	5	3
249	он же	2	3
250	может иметь	2	3
251	героя в	11	3
252	к своему	2	3
253	на котором	3	3
254	себе в	3	3
255	с тем	9	3
256	на первом	2	3
257	она не	7	3
258	мы узнаем	2	3
259	к этой	3	3
260	при анализе	2	3
261	том числе	3	3
262	мира и	2	3
263	смерть и	2	3
264	в ней	8	3
265	ли он	2	3
266	что все	4	3
267	в тех	4	3
268	связи с	10	3
269	в связи	6	3
270	что они	3	3
271	во время	12	3
272	никто не	4	3
273	все еще	6	3
274	из его	2	3
275	для этого	3	3
276	например в	11	3
277	тех же	2	3
278	так как	19	3
279	всех этих	2	3
280	до этого	3	3
281	это было	2	3
282	его за	2	3
283	борьбы с	3	3
284	и может	2	3
285	и наконец	2	3
286	с этой	4	3
287	обратим внимание	2	3
288	на этот	2	3
289	то он	2	3
290	они не	5	3
291	человека с	2	3
292	также и	2	3
293	что у	6	3
294	на свою	2	3
295	во сне	5	3
296	на то	3	3
