N	2gram	Trubetskoy	Marksizm
1	точки зрения	14	69
2	может быть	17	64
3	и в	24	63
4	и не	9	55
5	как бы	10	53
6	не может	18	47
7	с точки	8	46
8	и его	2	41
9	в этом	13	39
10	таким образом	34	38
11	в процессе	2	33
12	как мы	3	32
13	лишь в	5	30
14	не только	10	29
15	в нем	3	28
16	то же	4	28
17	но и	11	27
18	самом деле	12	25
19	связи с	4	25
20	прежде всего	3	24
21	как и	10	24
22	в самом	8	24
23	так и	10	23
24	только в	6	23
25	в том	31	22
26	то что	18	22
27	при этом	9	20
28	для него	2	20
29	если мы	4	20
30	том что	20	19
31	не в	9	19
32	в его	5	19
33	если бы	8	19
34	на почве	3	19
35	но в	5	18
36	и для	6	18
37	вовсе не	2	18
38	все же	15	17
39	в сущности	2	17
40	в то	6	16
41	по отношению	11	16
42	ни было	3	16
43	что он	7	15
44	в связи	3	15
45	во всех	10	15
46	отношению к	11	15
47	отнюдь не	2	15
48	же время	2	15
49	в данном	3	14
50	хотя бы	4	14
51	так же	8	13
52	того чтобы	8	13
53	было бы	3	13
54	то ни	4	13
55	что в	9	13
56	в результате	9	12
57	а в	3	12
58	того же	9	12
59	в основе	2	12
60	бы то	3	12
61	в высшей	2	12
62	для того	8	12
63	высшей степени	2	12
64	он не	4	12
65	между тем	12	12
66	на самом	7	11
67	друг друга	2	11
68	и все	9	11
69	к нему	2	11
70	и на	6	11
71	в ней	3	11
72	сих пор	15	11
73	все эти	19	11
74	и от	5	11
75	так как	7	11
76	еще не	6	11
77	и того	3	11
78	и что	9	11
79	мы уже	4	11
80	до сих	15	11
81	никогда не	4	10
82	его в	5	10
83	и потому	3	10
84	отличие от	3	10
85	во всяком	2	10
86	одна из	2	10
87	к этому	5	10
88	в своем	12	10
89	совершенно не	4	10
90	с другой	6	10
91	именно в	5	10
92	конечно не	3	10
93	в таком	4	10
94	в себе	5	9
95	одного и	3	9
96	это не	3	9
97	мы видели	2	9
98	и это	3	9
99	к тому	8	9
100	в истории	3	9
101	в нашем	3	9
102	что это	5	9
103	не имеет	2	9
104	и более	2	9
105	быть и	5	9
106	и ее	2	8
107	и т.д	4	8
108	в их	4	8
109	мы знаем	10	8
110	с этим	12	8
111	тому что	2	8
112	на этой	3	8
113	настоящее время	3	8
114	не будет	5	8
115	что и	7	8
116	в настоящее	3	8
117	этого слова	2	8
118	другой стороны	5	8
119	мы можем	6	8
120	и их	5	8
121	у нас	3	8
122	на то	9	8
123	в свою	2	8
124	и с	5	8
125	столь же	5	8
126	не было	2	8
127	сводится к	2	8
128	у него	5	8
129	ясно что	8	8
130	от него	3	7
131	свою очередь	2	7
132	того что	7	7
133	те же	2	7
134	и те	2	7
135	с ними	2	7
136	в этой	7	7
137	конечно в	2	7
138	в начале	3	7
139	бы в	3	7
140	в этих	3	7
141	следует что	2	7
142	далеко не	5	7
143	о том	7	7
144	в котором	2	7
145	той же	2	7
146	не есть	4	6
147	вопрос о	3	6
148	мы должны	4	6
149	то есть	2	6
150	в другом	2	6
151	одной стороны	2	6
152	что же	2	6
153	должны быть	3	6
154	все это	13	6
155	с ее	2	6
156	должна быть	6	6
157	тот же	3	6
158	этот процесс	2	6
159	из этих	8	6
160	зависимости от	2	6
161	из одного	2	6
162	с одной	3	6
163	между ними	2	6
164	этот вопрос	2	6
165	теперь мы	2	6
166	всяком случае	2	6
167	ничего общего	3	6
168	тем же	2	6
169	но как	2	5
170	в конце	4	5
171	от того	3	5
172	и у	4	5
173	в виду	2	5
174	из него	2	5
175	точку зрения	2	5
176	то в	2	5
177	не менее	7	5
178	этом случае	4	5
179	хотя и	4	5
180	тем более	3	5
181	должно быть	5	5
182	она не	2	5
183	но не	3	5
184	для себя	2	5
185	как на	6	5
186	вместе с	7	5
187	другими словами	2	4
188	следовательно и	2	4
189	не могут	4	4
190	в тех	3	4
191	в области	4	4
192	так что	6	4
193	и к	5	4
194	всех других	2	4
195	что все	5	4
196	в них	2	4
197	между двумя	5	4
198	можно назвать	3	4
199	и до	3	4
200	что они	2	4
201	во всей	2	4
202	мы сказали	4	4
203	и то	4	4
204	психологии в	2	4
205	независимо от	2	4
206	в которой	5	4
207	что она	2	4
208	целый ряд	4	4
209	только что	3	4
210	одним из	4	4
211	не знает	2	4
212	но все	5	4
213	только при	2	4
214	но для	2	4
215	из них	5	4
216	несмотря на	6	4
217	жизни и	2	4
218	от нее	2	4
219	из этого	7	4
220	и особенно	2	4
221	если же	3	4
222	даже в	3	3
223	между этими	2	3
224	по своей	7	3
225	но если	2	3
226	как к	5	3
227	социальной жизни	4	3
228	должен быть	2	3
229	конце концов	4	3
230	у них	6	3
231	тогда когда	3	3
232	и при	6	3
233	в виде	4	3
234	в целом	5	3
235	или менее	8	3
236	мы говорили	8	3
237	ко всем	3	3
238	с тем	4	3
239	не так	4	3
240	общего с	2	3
241	в ту	2	3
242	они не	2	3
243	более или	8	3
244	все его	2	3
245	потому что	9	3
246	во втором	2	3
247	что оно	3	3
248	между собой	4	3
249	одной и	2	3
250	и по	3	3
251	есть только	2	3
252	все без	2	3
253	имеет место	2	3
254	и вообще	3	3
255	все то	2	3
256	к двум	2	3
257	этими двумя	2	3
258	тем не	4	3
259	друг с	9	3
260	на первый	2	3
261	на нее	2	3
262	в дальнейшем	4	3
263	также и	2	3
264	со своими	2	3
265	с другом	9	3
266	в своих	2	3
267	или иначе	5	3
268	в общей	2	3
269	в которых	2	3
270	из которых	4	3
271	если он	2	3
272	что эта	4	3
273	говорить о	2	3
274	данный момент	4	3
275	и только	2	3
276	а следовательно	2	3
277	не следует	2	3
278	с ним	6	3
279	этих двух	2	3
280	на все	5	3
281	слагается из	3	3
282	и других	3	3
283	он должен	2	2
284	тем самым	3	2
285	ее и	4	2
286	из всех	5	2
287	образом в	3	2
288	одну из	2	2
289	или поздно	2	2
290	в состоянии	5	2
291	и поэтому	2	2
292	каждый из	3	2
293	ему и	2	2
294	всех остальных	2	2
295	не без	2	2
296	от себя	2	2
297	друг от	6	2
298	в частности	2	2
299	тем как	2	2
300	но по	3	2
301	а с	4	2
