N	2gram	Medvedev_F	Myslijsy
1	потому что	2	182
2	и в	54	121
3	может быть	30	107
4	в том	17	103
5	то что	14	83
6	в слове	4	78
7	что в	10	73
8	и не	34	73
9	только в	6	72
10	не только	14	67
11	а не	11	67
12	таким образом	28	64
13	в языке	5	60
14	том что	3	59
15	так как	4	59
16	в этом	39	59
17	но и	18	59
18	то же	16	56
19	не в	16	54
20	если бы	8	53
21	в себе	4	53
22	не может	26	52
23	по себе	10	52
24	того что	7	47
25	в душе	2	45
26	в нем	25	45
27	было бы	10	45
28	не есть	4	42
29	как и	18	42
30	так что	2	39
31	вместе с	8	39
32	мы не	6	38
33	что и	10	38
34	так и	24	37
35	при этом	14	37
36	как в	12	37
37	тем что	6	33
38	и что	2	32
39	по отношению	4	30
40	а в	11	30
41	но не	5	29
42	что не	4	29
43	между тем	4	29
44	вовсе не	18	28
45	есть только	3	28
46	для него	9	28
47	что язык	2	27
48	могут быть	7	27
49	с этим	6	27
50	и т	22	26
51	то и	2	26
52	не было	7	26
53	независимо от	5	26
54	отношению к	4	26
55	языка и	13	25
56	этого слова	4	25
57	в то	14	24
58	с тем	11	23
59	от того	2	23
60	как бы	10	23
61	но в	9	22
62	не имеет	2	22
63	с другой	8	22
64	и потому	9	21
65	не менее	12	21
66	внутренняя форма	2	21
67	в ней	15	20
68	в одном	2	20
69	это не	4	20
70	тем самым	5	19
71	и как	6	19
72	с ним	3	19
73	сказать что	3	19
74	из этих	4	19
75	но это	4	19
76	должно быть	13	19
77	тем не	2	19
78	очевидно что	2	18
79	для того	3	18
80	еще не	6	18
81	не могут	8	18
82	в самом	17	18
83	в таком	2	18
84	в его	30	17
85	слова и	5	17
86	со стороны	7	17
87	точки зрения	21	17
88	что оно	4	17
89	во всяком	6	17
90	не можем	3	17
91	слова в	2	17
92	в своем	12	16
93	к тому	6	16
94	а только	4	16
95	в которой	5	16
96	так же	5	16
97	или же	4	16
98	в звуке	2	16
99	в них	4	16
100	что если	2	16
101	на то	2	16
102	слово есть	2	16
103	и на	10	16
104	и по	3	15
105	т д	11	15
106	в этих	3	15
107	с одной	5	15
108	думать что	4	15
109	в ряду	2	15
110	и тем	3	15
111	что он	8	15
112	прежде всего	34	15
113	только как	3	15
114	с другими	11	15
115	в свою	8	15
116	уже не	9	15
117	свою очередь	6	14
118	в действительности	3	14
119	должны быть	6	14
120	связи с	12	14
121	в истории	10	14
122	там где	3	14
123	то в	3	14
124	мысли в	2	14
125	так сказать	6	14
126	столь же	2	14
127	в котором	2	14
128	все же	8	14
129	сам по	2	14
130	во всех	9	14
131	бы ни	5	14
132	же время	13	14
133	смысле этого	4	13
134	и все	9	13
135	зависит от	2	13
136	не следует	5	13
137	т п	11	13
138	том смысле	3	13
139	и может	6	13
140	в смысле	2	13
141	из них	5	13
142	языка в	8	13
143	и его	27	13
144	как на	5	13
145	никогда не	6	12
146	от него	2	12
147	друг друга	4	12
148	что же	6	12
149	что на	3	12
150	не то	3	12
151	все это	11	12
152	под влиянием	3	12
153	как мы	10	12
154	сих пор	7	12
155	что такое	2	12
156	оно не	6	12
157	или менее	7	12
158	поэтического произведения	10	12
159	в чем	2	12
160	это последнее	3	12
161	хотя и	3	12
162	все остальные	2	12
163	другой стороны	5	12
164	в каждом	3	12
165	более или	7	12
166	всяком случае	6	12
167	до сих	7	12
168	к одному	2	11
169	и притом	2	11
170	той же	2	11
171	того чтобы	4	11
172	в первом	8	11
173	только на	8	11
174	что для	3	11
175	и если	2	11
176	и их	13	11
177	же что	2	11
178	его в	5	11
179	мы видели	5	11
180	к нему	3	11
181	речи и	2	11
182	же в	4	11
183	к ней	3	11
184	сами по	4	11
185	и это	4	11
186	и только	5	11
187	одной стороны	5	10
188	бы быть	3	10
189	и для	5	10
190	мы говорим	4	10
191	хотя бы	10	10
192	в других	5	10
193	если же	4	10
194	тем же	3	10
195	тем и	2	10
196	слово в	2	10
197	тому что	3	10
198	так в	3	10
199	и от	9	10
200	не от	3	10
201	бы в	6	10
202	он не	8	10
203	если мы	5	10
204	и с	17	10
205	вопрос о	3	9
206	и других	4	9
207	нам кажется	2	9
208	не будет	2	9
209	никто не	2	9
210	это было	3	9
211	и даже	7	9
212	на него	3	9
213	язык в	2	9
214	и о	3	9
215	далеко не	2	9
216	с точки	17	9
217	от нее	6	9
218	самом деле	12	9
219	один из	4	9
220	в целом	7	9
221	можно сказать	2	9
222	на язык	5	9
223	ко всем	2	9
224	таким же	2	9
225	на самом	8	8
226	при помощи	2	8
227	так например	3	8
228	в более	2	8
229	не как	7	8
230	что они	4	8
231	и более	4	8
232	но все	4	8
233	в самой	2	8
234	их в	2	8
235	именно в	12	8
236	только не	2	8
237	во всем	3	8
238	одним словом	8	8
239	влияние на	3	8
240	была бы	4	8
241	от них	2	8
242	между ними	3	8
243	на все	3	8
244	не так	4	8
245	художественное произведение	8	8
246	от одного	2	8
247	не из	5	8
248	мы в	2	8
249	говорить о	4	8
250	перестает быть	3	8
251	или в	2	8
252	к другим	4	7
253	а как	5	7
254	самого начала	2	7
255	в искусстве	6	7
256	языка как	11	7
257	в эту	3	7
258	она не	8	7
259	с самого	2	7
260	что содержание	2	7
261	во втором	7	7
262	и во	2	7
263	значение и	4	7
264	место в	8	7
265	его с	5	7
266	все эти	12	7
267	за пределы	2	7
268	поэтическое произведение	2	7
269	превращается в	2	7
270	с этой	4	7
271	в своих	3	7
272	в другой	2	7
273	но что	2	7
274	как она	5	7
275	вряд ли	2	7
276	из него	2	7
277	все в	3	7
278	но как	2	7
279	что именно	2	7
280	на котором	2	7
281	даже и	5	7
282	язык как	8	7
283	было в	3	7
284	могла бы	3	7
285	в данном	2	7
286	к этому	3	7
287	сама по	2	7
288	этот образ	2	7
289	не с	2	7
290	в жизни	3	7
291	этом смысле	3	7
292	несмотря на	2	7
293	в создании	2	6
294	в виду	2	6
295	как он	2	6
296	оно должно	3	6
297	друг от	2	6
298	на его	2	6
299	могло бы	2	6
300	она есть	2	6
301	в ее	10	6
302	в своей	16	6
303	должна быть	11	6
304	в этой	10	6
305	вопрос об	2	6
306	слово и	2	6
307	в мире	4	6
308	при таком	5	6
309	художественного произведения	27	6
310	от их	2	6
311	у нас	6	6
312	в последнем	2	6
313	прежде чем	2	6
314	на нее	2	6
315	от друга	2	6
316	из виду	3	6
317	главным образом	5	6
318	языка то	2	6
319	друг другу	2	6
320	языка мы	2	6
321	все более	4	6
322	и к	7	6
323	для всех	2	6
324	но есть	2	6
325	к которому	2	6
326	в их	16	6
327	в виде	2	6
328	его не	2	6
329	себе в	2	6
330	между двумя	3	6
331	и до	8	6
332	в сущности	3	6
333	восприятия и	4	6
334	ни было	2	6
335	а именно	3	6
336	не могло	6	6
337	язык и	8	6
338	жизни и	10	6
339	человек не	3	6
340	ничего общего	2	6
341	же и	2	6
342	лишь в	15	6
343	и сами	2	6
344	но он	2	6
345	в процессе	17	5
346	для нее	2	5
347	но даже	2	5
348	общего с	2	5
349	его содержание	2	5
350	они не	7	5
351	состоит в	3	5
352	для создания	2	5
353	при таких	2	5
354	если в	3	5
355	одна из	2	5
356	определенное место	2	5
357	себе а	2	5
358	отношение к	4	5
359	том чтобы	3	5
360	как увидим	2	5
361	входит в	8	5
362	языка не	2	5
363	этот вопрос	2	5
364	этих последних	2	5
365	в нашем	2	5
366	даже в	2	5
367	перед нами	3	5
368	виду что	3	5
369	в области	6	5
370	предмета в	2	5
371	как предмет	3	5
372	в произведении	2	5
373	не столько	5	5
374	нужно было	2	5
375	известной степени	4	5
376	значительной степени	3	5
377	а к	2	5
378	том случае	2	5
379	о языке	4	5
380	в единстве	8	5
381	а от	2	5
382	не по	4	5
383	отношении к	2	5
384	в какой	3	5
385	мысли об	2	5
386	само собою	2	5
387	только при	2	5
388	и здесь	8	5
389	время и	2	5
390	в той	3	5
391	к другому	2	5
392	конечно не	5	5
393	не к	2	5
394	следовательно и	2	4
395	данном случае	2	4
396	в другом	2	4
397	не могла	3	4
398	и чем	3	4
399	в такой	3	4
400	от этого	3	4
401	в поэзии	5	4
402	без нее	4	4
403	то ни	5	4
404	не на	3	4
405	был бы	2	4
406	значение не	2	4
407	в применении	4	4
408	произведения не	3	4
409	его как	5	4
410	иначе как	2	4
411	как средство	2	4
412	в какие	2	4
413	именно того	2	4
414	та же	3	4
415	ни в	3	4
416	что бы	6	4
417	еще более	6	4
418	к новому	3	4
419	равно как	2	4
420	из этого	2	4
421	в противном	2	4
422	или даже	3	4
423	не дает	3	4
424	чтобы не	2	4
425	он должен	4	4
426	ничего не	5	4
427	между этими	2	4
428	произведения и	9	4
429	противном случае	2	4
430	но эта	2	4
431	в науке	2	4
432	самый предмет	4	4
433	говорит он	7	4
434	он в	3	4
435	одного из	4	4
436	по этому	2	4
437	в поэтическом	6	4
438	и многие	2	4
439	в связи	11	4
440	бы то	4	4
441	с его	12	4
442	более и	3	4
443	смысле что	2	4
444	стороны и	4	4
445	этом отношении	7	4
446	такой же	2	4
447	языком и	2	4
448	этой последней	4	4
449	перейти к	3	4
450	во многом	2	4
451	на этом	2	4
452	влияния на	3	4
453	в некоторых	2	4
454	отношения к	6	4
455	явления и	2	4
456	как ее	4	3
457	ни о	3	3
458	к этим	2	3
459	нисколько не	2	3
460	и ее	15	3
461	в отношении	3	3
462	должно было	4	3
463	должен быть	5	3
464	и прежде	3	3
465	ни были	2	3
466	эти явления	2	3
467	в формах	4	3
468	действительности и	3	3
469	отличие от	2	3
470	одною из	4	3
471	и др	8	3
472	мы знаем	3	3
473	одной из	2	3
474	в известной	2	3
475	и непосредственно	4	3
476	для них	4	3
477	не была	2	3
478	перехода от	2	3
479	как для	2	3
480	о необходимости	2	3
481	художественном произведении	4	3
482	самое понятие	4	3
483	для этого	6	3
484	время в	4	3
485	в развитии	2	3
486	языка а	4	3
487	применении к	4	3
488	ее от	2	3
489	кроме того	3	3
490	и наконец	7	3
491	от его	3	3
492	содержания в	2	3
493	чтобы понять	2	3
494	искусства и	5	3
495	каждой из	3	3
496	значения и	4	3
497	что эта	2	3
498	именно на	4	3
499	ясно что	3	3
500	в различных	2	3
501	и поэзия	2	3
502	ближайшим образом	4	3
503	но для	4	3
504	до известной	3	3
505	даже не	2	3
506	из всего	2	3
507	ничем не	4	3
508	как это	8	3
509	движения в	2	3
510	оторваться от	2	3
511	к этой	4	3
512	в общем	8	3
513	языка к	2	3
514	большинстве случаев	5	3
515	и совершенно	2	3
516	совсем не	2	3
517	здесь не	5	3
518	при известных	2	3
519	в результате	8	3
520	их отношения	3	3
521	все содержание	2	3
522	единство и	2	3
523	мы увидим	5	3
524	в первый	5	3
525	должен был	3	3
526	как о	8	3
527	предполагает уже	2	3
528	ее в	3	3
529	или иначе	2	3
530	жизни не	2	3
531	для всякого	2	3
532	в большинстве	6	3
533	настоящего времени	3	3
534	чтобы показать	2	3
535	в форме	2	3
