N	2gram	Losev_Prob	StatiiOP
1	в и	2	145
2	и в	64	103
3	в том	19	89
4	том что	26	77
5	в этом	30	76
6	что в	21	74
7	не только	37	60
8	и т	13	51
9	о том	25	47
10	у пушкина	2	46
11	но и	23	46
12	то что	72	44
13	что он	11	42
14	в его	12	42
15	и не	63	41
16	может быть	29	38
17	т е	2	33
18	было бы	16	32
19	т д	12	32
20	в этой	14	31
21	вовсе не	60	31
22	все это	11	29
23	тем что	10	29
24	таким образом	9	28
25	а в	7	27
26	а не	21	27
27	но в	19	26
28	что это	4	25
29	так и	17	25
30	этом отношении	2	24
31	и его	3	24
32	все же	7	23
33	не в	6	23
34	так что	12	23
35	точки зрения	5	23
36	потому что	24	23
37	того что	18	22
38	в области	8	22
39	прежде всего	17	22
40	для того	10	22
41	у нас	31	22
42	в которой	2	22
43	как в	5	22
44	того чтобы	10	21
45	и пр	4	21
46	это не	7	20
47	до сих	6	20
48	в то	7	19
49	сих пор	6	19
50	в своей	8	19
51	г в	2	19
52	только в	19	19
53	об этом	10	18
54	не может	18	18
55	с другой	8	18
56	в котором	5	18
57	он не	5	18
58	самом деле	10	17
59	между прочим	3	17
60	в данном	16	17
61	как на	3	17
62	в самом	10	17
63	как бы	18	17
64	с этим	7	16
65	сказать что	33	16
66	можно было	8	16
67	если бы	8	16
68	в этих	7	16
69	в отношении	7	15
70	с тем	6	15
71	как и	7	15
72	для него	2	15
73	например в	2	15
74	по поводу	6	15
75	другой стороны	7	15
76	из этих	5	15
77	также и	22	15
78	и на	11	15
79	как раз	20	15
80	была бы	2	14
81	так например	2	14
82	к тому	5	14
83	между тем	3	14
84	то же	10	14
85	но все	5	14
86	с точки	3	14
87	и что	21	14
88	в своем	7	13
89	в конце	13	13
90	со стороны	2	13
91	тому что	6	13
92	но это	11	13
93	в качестве	3	13
94	в нем	14	13
95	во всяком	18	13
96	дело в	3	13
97	в языке	13	13
98	именно в	5	13
99	из них	3	13
100	всяком случае	11	13
101	в той	2	13
102	вместе с	4	13
103	не менее	26	12
104	что они	5	12
105	так как	16	12
106	хотя бы	15	12
107	ни в	13	12
108	в своих	3	12
109	никогда не	8	11
110	вопрос о	4	11
111	и с	12	11
112	в другом	2	11
113	в них	8	11
114	все эти	15	11
115	и по	3	11
116	того как	3	11
117	это было	3	11
118	на то	12	11
119	не было	7	11
120	ясно что	7	11
121	на самом	9	10
122	в каком	7	10
123	так же	12	10
124	в виду	10	10
125	в частности	5	10
126	ничего не	20	10
127	речь идет	2	10
128	что и	2	10
129	в истории	6	10
130	во всех	9	10
131	кроме того	7	10
132	но не	13	10
133	что такое	23	10
134	но он	3	10
135	в чем	3	9
136	такого рода	20	9
137	что же	18	9
138	несмотря на	6	9
139	место в	2	9
140	по этому	6	9
141	он был	2	9
142	можно сказать	9	9
143	не является	12	9
144	и для	10	9
145	и к	2	9
146	для нас	11	9
147	что мы	23	9
148	внимание на	4	9
149	говорит о	4	9
150	что эта	2	9
151	и тем	16	9
152	и это	13	9
153	при помощи	21	8
154	могут быть	2	8
155	в их	7	8
156	к сожалению	6	8
157	и др	2	8
158	той же	2	8
159	в общем	5	8
160	связи с	8	8
161	а также	6	8
162	мы имеем	3	8
163	это в	3	8
164	что она	8	8
165	в результате	6	8
166	тем не	25	8
167	и даже	19	8
168	но ведь	6	8
169	одним из	2	8
170	совершенно не	7	8
171	и о	11	8
172	действующих лиц	2	8
173	заключается в	2	8
174	и более	4	8
175	не имеет	8	8
176	в которых	4	8
177	по его	3	8
178	нужно сказать	3	8
179	данном случае	10	7
180	том как	2	7
181	о чем	11	7
182	уже в	6	7
183	в это	2	7
184	что здесь	4	7
185	конце концов	11	7
186	в виде	20	7
187	и очень	3	7
188	что все	9	7
189	в эту	2	7
190	гораздо более	6	7
191	того же	3	7
192	что этот	2	7
193	уже о	5	7
194	а а	6	7
195	этому поводу	5	7
196	как это	7	7
197	тем более	13	7
198	в ее	3	7
199	с самого	3	7
200	не все	4	7
201	и то	15	7
202	кажется что	2	7
203	с которыми	4	7
204	то в	6	7
205	пушкина что	2	7
206	отличается от	2	7
207	мы находим	2	7
208	лишь в	4	7
209	еще не	18	7
210	еще и	9	7
211	на этот	3	7
212	что для	4	7
213	года в	2	7
214	по себе	20	7
215	из этого	2	7
216	то время	2	7
217	не просто	30	7
218	этой области	5	7
219	но с	2	7
220	на почве	2	7
221	представление о	6	7
222	даже в	2	6
223	о которых	6	6
224	в себе	16	6
225	из которых	2	6
226	по существу	2	6
227	к нему	5	6
228	в в	2	6
229	и все	9	6
230	по крайней	8	6
231	что на	4	6
232	на его	2	6
233	языка и	5	6
234	и во	4	6
235	в значении	2	6
236	же как	2	6
237	и вообще	13	6
238	с его	3	6
239	крайней мере	8	6
240	одно из	2	6
241	что с	2	6
242	независимо от	2	6
243	его как	2	6
244	мы не	6	6
245	и здесь	8	6
246	отношения между	2	6
247	же и	4	6
248	и сам	3	6
249	время как	2	6
250	в жизни	3	6
251	ни на	5	6
252	этот вопрос	2	6
253	обратить внимание	3	6
254	этом смысле	8	6
255	этих двух	2	6
256	только не	4	6
257	говорить о	14	6
258	тем же	2	6
259	не о	7	5
260	его в	9	5
261	на себя	2	5
262	на эту	2	5
263	даже не	3	5
264	но если	6	5
265	не был	4	5
266	для себя	9	5
267	как он	4	5
268	нас не	5	5
269	и потому	3	5
270	не приходится	2	5
271	а то	2	5
272	одного из	2	5
273	одной стороны	4	5
274	что не	8	5
275	же касается	3	5
276	один из	7	5
277	можно ли	9	5
278	при этом	8	5
279	думать что	2	5
280	в тех	2	5
281	в сущности	2	5
282	не на	4	5
283	никто не	2	5
284	должна быть	2	5
285	что эти	2	5
286	в москве	2	5
287	хотя и	8	5
288	не потому	2	5
289	самого начала	2	5
290	или иного	6	5
291	во многих	4	5
292	того или	8	5
293	утверждать что	2	5
294	то это	3	5
295	всех этих	11	5
296	не как	2	5
297	как будто	6	5
298	с одной	4	5
299	на нее	2	5
300	нет и	5	5
301	вообще не	5	5
302	ее в	2	5
303	поэтому в	2	5
304	и если	9	5
305	уже не	9	5
306	оно не	6	5
307	если не	6	5
308	о значении	4	5
309	и который	3	5
310	конечно не	3	5
311	является не	4	5
312	и только	7	5
313	без всякого	5	5
314	не могут	6	4
315	одна из	4	4
316	нисколько не	3	4
317	то есть	61	4
318	что оно	4	4
319	и всегда	3	4
320	казалось бы	11	4
321	еще в	2	4
322	что ни	3	4
323	не знает	4	4
324	в такой	3	4
