N	2gram	Propp_Isto	Sotsiolo
1	все это	6	7
2	в том	12	5
3	в этом	13	5
4	для нас	17	3
5	не только	28	3
6	и только	4	3
7	в его	10	3
8	не в	11	3
9	и в	40	3
10	дело не	8	2
11	должна быть	5	2
12	отношению к	6	2
13	по отношению	6	2
14	еще не	14	2
15	только в	16	2
16	что в	19	2
17	в частности	3	2
18	том что	11	2
19	было бы	11	2
20	таким образом	13	2
21	то же	21	2
22	как будто	7	2
23	и что	14	2
24	к которому	5	2
25	нужно было	2	2
26	то что	17	2
27	как бы	6	2
28	но и	21	2
29	главным образом	2	2
30	и мы	2	2
31	или даже	3	2
32	может быть	37	2
33	по существу	7	2
34	в результате	2	2
