N	2gram	Voloshinov	EvropaiC
1	таким образом	34	34
2	в том	10	31
3	и в	28	24
4	том что	12	20
5	все эти	15	19
6	не может	30	18
7	то что	17	18
8	может быть	28	17
9	до сих	3	15
10	все же	8	15
11	сих пор	3	15
12	точки зрения	31	14
13	в этом	28	13
14	все это	12	13
15	в своем	4	12
16	с этим	8	12
17	самом деле	14	12
18	между тем	3	12
19	по отношению	13	11
20	но и	10	11
21	отношению к	11	11
22	не только	10	10
23	так и	14	10
24	во всех	13	10
25	мы знаем	11	10
26	как и	13	10
27	все что	10	10
28	как бы	19	10
29	в результате	3	9
30	и не	34	9
31	не в	10	9
32	что в	7	9
33	и все	13	9
34	того же	3	9
35	потому что	4	9
36	при этом	8	9
37	и что	6	9
38	так же	4	8
39	из этих	6	8
40	если бы	4	8
41	для того	6	8
42	к тому	6	8
43	в самом	12	8
44	знаем что	8	8
45	того чтобы	5	8
46	с точки	15	8
47	мы говорили	2	8
48	ясно что	2	8
49	на самом	6	7
50	для этого	6	7
51	о которых	2	7
52	в сознании	3	7
53	в психике	6	7
54	так как	15	7
55	что он	12	7
56	того что	7	7
57	не менее	6	7
58	о том	3	7
59	из этого	2	7
60	что и	5	7
61	в этой	7	7
62	что при	2	7
63	вместе с	5	7
64	в мире	2	6
65	отличается от	2	6
66	только в	11	6
67	все они	2	6
68	еще не	8	6
69	и при	3	6
70	в то	7	6
71	должна быть	2	6
72	и для	7	6
73	с другой	2	6
74	в общем	5	6
75	и на	9	6
76	мы можем	20	6
77	что с	2	6
78	как на	3	6
79	с ним	14	6
80	и от	3	5
81	его в	11	5
82	но все	2	5
83	в себе	7	5
84	в состоянии	2	5
85	должно быть	2	5
86	к этому	9	5
87	в которой	5	5
88	как к	2	5
89	на все	3	5
90	и их	2	5
91	ничем не	2	5
92	между собою	2	5
93	из них	7	5
94	что это	5	5
95	по своему	4	5
96	у него	4	5
97	что все	7	5
98	далеко не	5	5
99	но в	13	5
100	именно в	4	5
101	и истории	4	5
102	а потому	4	5
103	и с	10	5
104	и к	7	5
105	в целом	4	5
106	между двумя	3	5
107	в его	25	5
108	быть и	7	5
109	никогда не	10	4
110	в одну	2	4
111	и то	3	4
112	самого себя	2	4
113	в такой	2	4
114	не могут	7	4
115	из того	2	4
116	мы должны	9	4
117	всех этих	6	4
118	хотя бы	7	4
119	то ни	4	4
120	тем не	4	4
121	в конце	2	4
122	которых мы	2	4
123	отношение к	7	4
124	и у	7	4
125	социальной жизни	2	4
126	конце концов	2	4
127	то же	12	4
128	в их	2	4
129	в области	4	4
130	а с	2	4
131	одним из	3	4
132	совершенно не	9	4
133	в течение	2	4
134	между собой	4	4
135	не так	3	4
136	ни один	3	4
137	не есть	2	4
138	из которых	2	4
139	что мы	3	4
140	в психологии	4	4
141	что как	2	4
142	этой области	4	4
143	в таком	6	4
144	он не	10	4
145	это есть	2	4
146	если мы	7	4
147	в дальнейшем	2	4
148	мы уже	10	4
149	данном случае	4	3
150	и вообще	4	3
151	вопрос о	2	3
152	при помощи	2	3
153	в культурном	2	3
154	это не	5	3
155	и потому	12	3
156	к которой	2	3
157	и до	5	3
158	бы в	2	3
159	ни было	2	3
160	от того	5	3
161	даже если	2	3
162	в этих	5	3
163	конечно не	10	3
164	и наконец	12	3
165	за ними	2	3
166	у нас	3	3
167	прежде всего	26	3
168	отличие от	2	3
169	с одной	2	3
170	образом в	2	3
171	одно из	6	3
