N	2gram	Potebnia_M	Sotsiolo
1	все это	3	7
2	в том	38	5
3	в этом	18	5
4	для нас	29	3
5	не только	32	3
6	и только	6	3
7	в его	7	3
8	не в	23	3
9	и в	58	3
10	она может	3	2
11	должна быть	4	2
12	отношению к	13	2
13	по отношению	15	2
14	еще не	9	2
15	только в	36	2
16	что в	34	2
17	тем более	2	2
18	том что	21	2
19	было бы	21	2
20	таким образом	21	2
21	в смысле	4	2
22	то же	13	2
23	только как	5	2
24	как будто	2	2
25	и что	13	2
26	к которому	5	2
27	нужно было	3	2
28	то что	24	2
29	как бы	12	2
30	но и	26	2
31	главным образом	4	2
32	очевидно что	5	2
33	за пределы	4	2
34	или даже	3	2
35	далеко не	4	2
36	может быть	47	2
