N	2gram	Bakhtin_KF	TeoriaLi
1	в качестве	2	33
2	в мире	8	26
3	не только	5	24
4	и в	28	24
5	может быть	45	22
6	в том	6	20
7	при этом	4	20
8	и не	28	17
9	а в	5	15
10	но и	9	14
11	так и	2	14
12	а не	17	14
13	в себе	21	14
14	но не	12	13
15	в этом	15	12
16	то же	5	12
17	но в	5	12
18	сводится к	2	12
19	в его	42	12
20	том что	4	11
21	точки зрения	13	11
22	и его	18	11
23	по отношению	26	10
24	лишь в	8	10
25	отношению к	22	10
26	что в	4	10
27	в данном	2	9
28	не в	13	9
29	в то	3	9
30	только в	18	9
31	не может	29	8
32	как бы	9	8
33	в своей	11	8
34	же время	2	8
35	или иной	2	7
36	в своем	17	7
37	мы имеем	5	7
38	себя в	8	7
39	отношение к	6	7
40	в принципе	2	7
41	в области	2	7
42	место в	6	7
43	в нем	32	7
44	тем самым	4	6
45	или иного	3	6
46	того или	3	6
47	эстетическая деятельность	2	6
48	со стороны	8	6
49	не менее	3	6
50	еще не	5	6
51	то что	7	6
52	как и	5	6
53	уже не	7	6
54	в ее	17	6
55	в основе	5	6
56	с его	2	6
57	как в	2	5
58	как к	2	5
59	ни в	12	5
60	в виду	3	5
61	и тем	3	5
62	для того	3	5
63	для него	13	5
64	между тем	4	5
65	могут быть	3	5
66	жизни как	5	5
67	того чтобы	2	5
68	того что	3	5
69	он не	6	5
70	в себя	8	5
71	никогда не	5	4
72	его в	5	4
73	это не	10	4
74	или иным	2	4
75	и ее	2	4
76	в другом	3	4
77	этого слова	2	4
78	и т.д	4	4
79	в их	9	4
80	одного и	2	4
81	что он	2	4
82	по своему	3	4
83	слова в	2	4
84	мира и	4	4
85	входит в	4	4
86	в свою	3	4
87	в целом	10	4
88	отношении к	2	4
89	и того	2	4
90	говорить о	2	4
91	с ее	2	4
92	не следует	2	4
93	не знает	5	4
94	и то	2	3
95	в соответствии	2	3
96	мышления и	2	3
97	и потому	2	3
98	во всех	11	3
99	и для	10	3
100	тем не	2	3
101	и как	2	3
102	если бы	8	3
103	мира в	6	3
104	эстетического созерцания	5	3
105	в момент	3	3
106	ни к	2	3
107	а с	2	3
108	в жизни	2	3
109	для себя	7	3
110	в контексте	5	3
111	в акте	3	3
112	именно в	5	3
113	потому что	2	3
114	имеем в	2	3
115	прежде всего	4	3
116	к содержанию	2	3
117	этом смысле	3	3
118	отнюдь не	7	3
119	ценностного центра	4	3
120	от себя	10	3
121	не будет	2	3
122	с точки	10	3
123	все эти	11	3
124	той или	3	3
125	во всей	4	3
126	в этой	2	3
127	в одном	5	3
128	вовсе не	7	3
129	в единое	2	3
130	в каком	4	2
131	чтобы не	2	2
132	могла бы	4	2
133	свою жизнь	2	2
134	для меня	22	2
135	сознания в	2	2
136	но как	5	2
137	дело не	2	2
138	автора как	2	2
139	человека и	3	2
140	ни был	2	2
141	дело в	2	2
142	вокруг него	2	2
143	включает в	2	2
144	это было	2	2
145	эстетического субъекта	2	2
146	и здесь	7	2
147	я и	5	2
148	это и	3	2
149	события в	3	2
150	времени и	4	2
151	жизни в	5	2
152	ни было	4	2
153	вследствие этого	2	2
154	самом деле	3	2
155	этом мире	2	2
156	в чем	4	2
157	здесь мы	4	2
158	с человеком	3	2
159	жизни но	3	2
160	вытекает из	2	2
161	к нему	12	2
162	всей своей	2	2
163	всей его	2	2
164	а для	2	2
165	и это	12	2
166	тому что	2	2
167	о том	3	2
168	оно не	2	2
169	должен быть	7	2
170	и на	3	2
171	вступает в	3	2
172	соответствии с	2	2
173	во мне	3	2
174	к чему	3	2
175	из которых	2	2
176	он и	2	2
177	переживание переживания	2	2
178	один из	2	2
179	по себе	2	2
180	здесь не	3	2
181	что и	7	2
182	в данный	3	2
183	с ними	4	2
184	то ни	2	2
185	себя и	5	2
186	данный момент	3	2
187	все это	10	2
188	ценностный центр	2	2
189	жить и	2	2
190	бы то	2	2
191	я не	6	2
192	основе своей	2	2
193	на основе	7	2
194	быть и	3	2
195	при условии	2	2
