N	3gram	Potebnia_M	RusskieA
1	в том что	18	49
2	и т д	6	21
3	тем не менее	10	14
4	но это не	2	8
5	для того чтобы	4	8
6	подобно тому как	7	8
7	мы не можем	2	7
8	не может быть	11	6
9	после того как	3	6
10	во многих случаях	2	6
11	в связи с	2	5
12	к тому что	2	5
13	мы видели что	2	5
14	не что иное	2	4
15	во всяком случае	7	4
16	в то время	3	4
17	только тогда когда	5	4
18	что иное как	2	4
19	и потому что	2	3
20	более или менее	6	3
21	по отношению к	13	3
22	с тем что	4	3
23	с точки зрения	3	3
24	и в том	3	3
25	и что в	3	3
26	до сих пор	5	3
27	на то что	3	3
28	мы не имеем	2	3
29	в свою очередь	8	3
30	на самом деле	2	2
31	так как в	2	2
32	но тем не	6	2
33	как и в	3	2
34	по его мнению	4	2
35	не только в	3	2
36	и в этом	7	2
37	с одной стороны	6	2
38	мы увидим что	3	2
39	может быть только	2	2
40	и т п	4	2
41	с другой стороны	7	2
42	не только по	2	2
43	но все же	2	2
44	в таком виде	2	2
