N	2gram	Trubetskoy	TeoriaLi
1	в мире	6	26
2	не только	10	24
3	и в	24	24
4	в частности	2	23
5	то есть	2	22
6	может быть	17	22
7	в том	31	20
8	при этом	9	20
9	я в	2	18
10	тогда как	6	18
11	и не	9	17
12	а в	3	15
13	но и	11	14
14	так и	10	14
15	в себе	5	14
16	но не	3	13
17	в этом	13	12
18	то же	4	12
19	но в	5	12
20	сводится к	2	12
21	в его	5	12
22	том что	20	11
23	точки зрения	14	11
24	и его	2	11
25	по отношению	11	10
26	лишь в	5	10
27	отношению к	11	10
28	что в	9	10
29	в данном	3	9
30	не в	9	9
31	с другой	6	9
32	в то	6	9
33	только в	6	9
34	не может	18	8
35	по своей	7	8
36	как бы	10	8
37	же время	2	8
38	в своем	12	7
39	отношение к	4	7
40	в области	4	7
41	отличие от	3	7
42	в самом	8	7
43	в нем	3	7
44	тем самым	3	6
45	другой стороны	5	6
46	не менее	7	6
47	еще не	6	6
48	то что	18	6
49	или менее	8	6
50	как и	10	6
51	более или	8	6
52	или иначе	5	6
53	между ними	2	6
54	в основе	2	6
55	данном случае	3	5
56	а и	8	5
57	как к	5	5
58	иначе говоря	4	5
59	в виду	2	5
60	для того	8	5
61	для него	2	5
62	так или	5	5
63	на почве	3	5
64	между тем	12	5
65	того чтобы	8	5
66	того что	7	5
67	он не	4	5
68	в себя	2	5
69	никогда не	4	4
70	его в	5	4
71	это не	3	4
72	и ее	2	4
73	в другом	2	4
74	в силу	7	4
75	этого слова	2	4
76	и т.д	4	4
77	в их	4	4
78	одного и	3	4
79	в этих	3	4
80	что он	7	4
81	по своему	5	4
82	далеко не	5	4
83	к тому	8	4
84	того же	9	4
85	в свою	2	4
86	в целом	5	4
87	со своей	2	4
88	и того	3	4
89	и что	9	4
90	говорить о	2	4
91	с ее	2	4
92	и сам	2	4
93	не следует	2	4
94	в нашем	3	4
95	не знает	2	4
96	хотя и	4	4
97	даже в	3	3
98	и то	4	3
99	и потому	3	3
100	во всех	10	3
101	из этих	8	3
102	одной стороны	2	3
103	в которой	5	3
104	и для	6	3
105	тем не	4	3
106	если бы	8	3
107	он должен	2	3
108	свою очередь	2	3
109	в таком	4	3
110	одним из	4	3
111	с этой	3	3
112	никто не	2	3
113	между собой	4	3
114	с одной	3	3
115	а с	4	3
116	есть в	2	3
117	в жизни	3	3
118	для себя	2	3
119	в точке	2	3
120	столь же	5	3
121	их в	2	3
122	культуры в	10	3
123	именно в	5	3
124	потому что	9	3
125	все прочие	4	3
126	в сторону	3	3
127	во втором	2	3
128	прежде всего	3	3
129	однако при	2	3
130	и к	5	3
131	отнюдь не	2	3
132	только не	2	3
133	от себя	2	3
134	не будет	5	3
135	с точки	8	3
136	все эти	19	3
137	и по	3	3
138	связи с	4	3
139	в связи	3	3
140	таким образом	34	3
141	во всей	2	3
142	в этой	7	3
143	имеет место	2	3
144	вовсе не	2	3
145	между двумя	5	3
146	может служить	3	2
147	не от	2	2
148	не могут	4	2
149	то в	2	2
150	для меня	4	2
151	так же	8	2
152	но как	2	2
153	тем более	3	2
154	одну из	2	2
155	что она	2	2
156	отличается от	6	2
157	но на	2	2
158	в конце	4	2
159	ни было	3	2
160	у нас	3	2
161	вследствие этого	3	2
162	у него	5	2
163	это может	2	2
164	самом деле	12	2
165	и состоит	2	2
166	на вопрос	4	2
167	вместе с	7	2
168	в одно	2	2
169	нашем случае	2	2
170	к нему	2	2
171	ни для	2	2
172	этом что	2	2
173	а для	2	2
174	и это	3	2
175	тому что	2	2
176	о том	7	2
177	в самой	2	2
178	со временем	2	2
179	не вполне	3	2
180	если мы	4	2
181	образом и	2	2
182	должен быть	2	2
183	и на	6	2
184	на этом	2	2
185	из которых	4	2
186	в европейской	4	2
187	в них	2	2
188	несмотря на	6	2
189	что и	7	2
190	а затем	2	2
191	с ними	2	2
192	то ни	4	2
193	себя и	2	2
194	заключается в	3	2
195	данный момент	4	2
196	и особенно	2	2
197	и некоторые	2	2
198	все это	13	2
199	что они	2	2
200	как будто	5	2
201	совершенно иной	2	2
202	бы то	3	2
203	этих двух	2	2
204	я не	2	2
205	тем же	2	2
206	быть и	5	2
207	при условии	2	2
