N	3gram	Bakhtin_Pr	Myshleni
1	в том что	3	133
2	с точки зрения	6	89
3	для того чтобы	2	78
4	по отношению к	19	42
5	с одной стороны	3	39
6	то же самое	2	31
7	в этом отношении	2	30
8	можно было бы	3	28
9	с другой стороны	4	26
10	не может быть	11	23
11	в высшей степени	5	22
12	можно сказать что	2	21
13	и тем самым	2	19
14	в самом деле	3	19
15	в отличие от	5	18
16	в этом смысле	3	18
17	в данном случае	4	15
18	тем не менее	3	12
19	на первый план	2	12
20	на самом деле	3	9
21	в конечном счете	4	9
22	не могут быть	2	8
23	той или иной	2	8
24	в том же	2	8
25	в лучшем случае	2	6
26	и не может	2	6
27	и в частности	2	6
28	в то же	3	5
29	в какой мере	2	5
30	не совпадает с	2	5
31	как мы увидим	3	5
32	не только в	2	5
33	но и в	2	4
34	имеет дело с	4	4
35	между тем как	5	4
36	мы имеем дело	2	4
37	так и в	2	4
38	бы то ни	3	3
39	то ни было	2	3
40	в применении к	3	3
41	в нашем примере	2	3
42	мы можем говорить	2	3
43	имеет место в	2	3
44	того или иного	2	3
45	и во всех	2	3
46	то же время	3	3
47	том же самом	2	2
48	как и для	2	2
49	только по отношению	4	2
50	можем говорить о	2	2
51	не входит в	4	2
52	и в области	2	2
53	в большинстве случаев	5	2
54	никогда не может	2	2
55	точки зрения самого	2	2
