N	2gram	Ircho_Kome	VelikijI
1	и не	19	20
2	и в	40	16
3	так как	6	9
4	то что	8	9
5	еще не	7	8
6	в истории	10	8
7	что они	4	7
8	к людям	2	6
9	в мире	3	5
10	как бы	3	5
11	на себя	5	5
12	но и	14	5
13	все это	7	5
14	хотя и	6	5
15	это еще	2	4
16	и все	4	4
17	как и	12	4
18	в котором	6	4
19	потому что	8	4
20	все что	3	4
21	в нем	8	4
22	в образе	4	4
23	в ней	2	4
24	и я	2	4
25	в его	8	4
26	говорить о	3	4
27	в этом	9	4
28	что он	11	4
29	так и	17	4
30	что в	12	3
31	в том	19	3
32	и для	4	3
33	от этого	2	3
34	тому что	4	3
35	за то	4	3
36	но в	6	3
37	к тому	15	3
38	ни в	9	3
39	то это	3	3
40	но это	2	3
41	хотя бы	2	3
42	в своей	3	3
43	во всех	4	3
44	в конце	7	3
45	за ним	2	3
46	в них	7	3
47	жизни и	4	3
48	что и	10	3
49	и что	2	3
50	не в	8	3
51	в этих	5	3
52	в чем	3	3
53	тот же	5	3
54	с его	4	3
55	когда в	3	2
56	с тем	5	2
57	да и	5	2
58	одна из	4	2
59	но не	3	2
60	нет и	2	2
61	не могли	2	2
62	по которым	6	2
63	и это	3	2
64	это не	2	2
65	ее в	2	2
66	эти люди	2	2
67	не только	12	2
68	а в	9	2
69	том что	19	2
70	государства и	2	2
71	и во	4	2
72	а к	2	2
73	во всяком	4	2
74	вслед за	4	2
75	могут быть	3	2
76	я думаю	2	2
77	не к	2	2
78	в духе	3	2
79	один из	9	2
80	т д	4	2
81	для их	3	2
82	для них	2	2
83	того чтобы	4	2
84	и теперь	3	2
85	более чем	4	2
86	мира в	5	2
87	тем что	5	2
88	мы не	4	2
89	земли и	2	2
90	можно было	5	2
91	только в	6	2
92	и сам	5	2
93	и за	3	2
94	в форме	2	2
95	в себя	3	2
96	прежде всего	8	2
97	и т	11	2
98	всего в	5	2
99	между тем	9	2
100	в число	3	2
