N	2gram	Vinokur_Vv	Tragedij
1	и в	35	18
2	в этом	35	9
3	не только	26	8
4	и не	13	7
5	он сам	3	7
6	и на	3	7
7	как бы	7	7
8	и с	2	7
9	может быть	30	7
10	же время	6	6
11	что он	5	6
12	но в	10	6
13	и его	6	6
14	несмотря на	2	5
15	что это	3	5
16	все же	9	5
17	это не	8	5
18	то же	11	5
19	как и	7	5
20	в дальнейшем	2	5
21	так и	2	5
22	не может	19	5
23	в то	6	5
24	что в	13	4
25	еще не	4	4
26	в целом	5	4
27	но и	7	4
28	прежде всего	10	4
29	об этом	6	4
30	том что	30	4
31	в этой	3	4
32	и что	6	4
33	так же	3	4
34	все это	6	4
35	в нем	13	4
36	то что	19	4
37	но это	2	4
38	и даже	6	4
39	в себе	4	4
40	один из	6	3
41	своего рода	3	3
42	и как	9	3
43	уже в	5	3
44	к нему	3	3
45	в своем	3	3
46	при этом	3	3
47	в его	12	3
48	что с	3	3
49	все эти	3	3
50	мог бы	2	3
51	о чем	4	3
52	и сам	3	3
53	как будто	3	3
54	должно быть	2	3
55	как в	3	3
56	как это	5	3
57	в конце	3	3
58	никогда не	3	2
59	в самом	13	2
60	и то	7	2
61	но все	4	2
62	данном случае	5	2
63	до конца	3	2
64	с тем	6	2
65	одна из	3	2
66	точно так	2	2
67	тем что	6	2
68	вопрос о	10	2
69	в одном	4	2
70	его в	6	2
71	не имеет	4	2
72	в виде	4	2
73	ничего не	2	2
74	в данном	11	2
75	не могут	6	2
76	в ее	11	2
77	вряд ли	3	2
78	к тому	4	2
79	а как	5	2
80	говорит о	3	2
81	о том	16	2
82	что и	5	2
83	не в	10	2
84	и здесь	3	2
85	это уже	2	2
86	потому что	18	2
87	не просто	5	2
88	в известной	3	2
89	в частности	3	2
90	только о	2	2
91	еще раз	2	2
92	так что	5	2
93	и ее	4	2
94	в первом	5	2
95	бы и	3	2
96	уже не	6	2
97	что она	3	2
98	и это	6	2
99	отличие от	4	2
100	в том	38	2
101	и до	2	2
102	в отличие	4	2
103	не мог	2	2
104	он и	2	2
105	времени в	3	2
106	отношение к	3	2
