N	2gram	Propp_Isto	VerxiiNi
1	и в	43	26
2	таким образом	15	22
3	с тем	3	18
4	в этом	25	15
5	вместе с	12	15
6	точки зрения	3	13
7	как бы	5	12
8	в том	13	11
9	не только	28	10
10	из этих	5	10
11	и с	10	10
12	может быть	22	10
13	после смерти	2	10
14	что в	29	9
15	так как	13	9
16	связи с	9	9
17	но и	24	9
18	но не	10	8
19	с другой	10	8
20	главным образом	3	8
21	и у	6	8
22	и не	16	8
23	но все	5	7
24	к нему	12	7
25	потому что	8	7
26	одной стороны	2	7
27	из них	7	7
28	то что	20	7
29	с одной	2	7
30	но в	15	7
31	том что	12	7
32	представление о	3	6
33	все же	13	6
34	к тому	9	6
35	о том	4	6
36	мы должны	9	6
37	в себе	2	6
38	всяком случае	2	6
39	что и	17	6
40	все эти	8	6
41	все это	4	6
42	и потому	2	6
43	так и	6	6
44	во всяком	2	6
45	никогда не	9	5
46	и для	3	5
47	не имеет	3	5
48	так же	16	5
49	и к	4	5
50	в силу	2	5
51	друг с	2	5
52	отношение к	4	5
53	к жизни	2	5
54	в его	7	5
55	с другом	2	5
56	а не	13	5
57	тому же	4	5
58	образом в	2	5
59	сих пор	7	5
60	до сих	7	5
61	и от	3	4
62	далеко не	3	4
63	боги и	2	4
64	а в	13	4
65	в котором	5	4
66	в нем	11	4
67	не может	8	4
68	в которых	7	4
69	попадает в	14	4
70	целый ряд	3	4
71	в виде	2	4
72	то же	11	4
73	должен был	5	4
74	и что	6	4
75	и по	6	4
76	в этих	18	4
77	только в	8	4
78	что он	17	4
79	и только	6	4
80	он не	11	4
81	ничем не	2	4
82	во время	8	4
83	в течение	6	4
84	в этой	7	4
85	в то	2	4
86	к богу	2	3
87	что это	4	3
88	на нее	4	3
89	в своем	2	3
90	а после	2	3
91	оказывается что	2	3
92	не вполне	7	3
93	точно так	8	3
94	и если	3	3
95	уже не	11	3
96	хотя бы	3	3
97	к этому	10	3
98	с ней	6	3
99	тем не	6	3
100	представляет собой	6	3
101	и даже	4	3
102	и как	6	3
103	из которого	3	3
104	если бы	7	3
105	уже с	3	3
106	же как	8	3
107	в других	6	3
108	при этом	4	3
109	не менее	6	3
110	когда он	2	3
111	в качестве	4	3
112	и при	2	3
113	с этой	3	3
114	в связи	5	3
115	и другие	6	3
116	так что	8	3
117	ясно что	2	3
118	и о	2	3
119	но по	4	3
120	можно сказать	3	3
121	отношению к	2	3
122	в одном	9	3
123	того что	8	3
124	мы видели	18	2
125	одно из	2	2
126	сказать что	5	2
127	так например	3	2
128	связан с	5	2
129	от них	5	2
130	эти черты	2	2
131	по сравнению	2	2
132	и это	5	2
133	а также	5	2
134	на то	4	2
135	утверждать что	2	2
136	или по	5	2
137	относится к	3	2
138	ли это	2	2
139	он в	3	2
140	можно только	3	2
141	состоит в	4	2
142	мы имеем	24	2
143	ни один	2	2
144	мы можем	10	2
145	они в	2	2
146	из этой	2	2
147	в начале	2	2
148	с того	5	2
149	связь с	12	2
150	ему в	2	2
151	вплоть до	2	2
152	между тем	2	2
153	одним из	4	2
154	только что	3	2
155	особенно в	2	2
156	в свою	5	2
157	связанных с	4	2
158	не могла	3	2
159	должно было	2	2
160	конечно не	3	2
161	из человеческих	2	2
162	если не	2	2
163	с одним	2	2
164	еще на	2	2
165	в образе	2	2
166	но если	2	2
167	те же	2	2
168	что мы	5	2
169	в них	6	2
170	только не	2	2
171	очень много	3	2
172	и на	7	2
173	в русском	3	2
174	и здесь	8	2
175	и действительно	5	2
176	с целью	2	2
177	еще не	15	2
178	к которому	6	2
179	все что	4	2
180	жизни и	2	2
181	не было	2	2
182	превращается в	10	2
183	к которым	3	2
184	не в	9	2
185	из него	3	2
186	не всегда	7	2
187	на все	2	2
188	и все	4	2
189	один из	7	2
190	уже давно	2	2
191	в виду	2	2
192	в русских	5	2
193	сравнению с	2	2
194	связано с	4	2
195	прежде всего	3	2
196	его не	3	2
197	тот же	2	2
198	связана с	4	2
199	его от	3	2
200	быть и	3	2
201	не с	2	2
202	по существу	3	2
